Year_Month,Year,Month,CPI,Inflation,ALL_Genios_Deflation,ALL_Genios_der_Country=Deutschland,ALL_Genios_der,ALL_Genios_Inflation_Country=Deutschland,ALL_Genios_Inflation,ALL_Genios_inflationär,ALL_Genios_Inflationsangst,ALL_Genios_Inflationsbekämpfung,ALL_Genios_Inflationsdruck,ALL_Genios_Inflationsrate,ALL_Genios_Inflationsrisiko,ALL_Genios_Kaufkraft,ALL_Genios_Kaufkraftverlust,ALL_Genios_Preisanstieg,ALL_Genios_Preisniveau,ALL_Genios_Preisstabilität,ALL_Genios_Preissteigerung,ALL_Genios_Stagflation,ALL_Genios_steigende+Preise,ALL_Genios_Teuerung,ALL_Genios_Teuerungsrate,ALL_Genios_Verteuerung,IWord,DWord,Preisanstieg,Steigende_Preise,Preissteigerung,Teuerung,Teuerungsrate,Verteuerung,Preisstabilitaet,Kaufkraft,Kaufkraftverlust,Inflationsrate,inflationaer,Inflationsrisiko,Preisniveau,Inflationsbekaempfung,Inflationsangst,Inflationsdruck,Stagflation,AllinflationWords
1991 01,1991,1,68.6,,5,434,28083,0,137,2,1,9,5,64,0,34,0,30,44,15,6,2,4,13,14,47,0.487839618,0.017804366,0.106826194,0.014243493,0.021365239,0.046291351,0.049852224,0.167361037,0.053413097,0.121069686,0,0.22789588,0.007121746,0,0.156678418,0.032047858,0.003560873,0.017804366,0.007121746,1.53829719
1991 02,1991,2,68.9,,2,446,30495,0,98,1,0,13,3,68,1,42,2,28,34,20,11,3,4,21,17,35,0.321364158,0.006558452,0.091818331,0.013116904,0.036071487,0.068863748,0.055746844,0.114772914,0.065584522,0.137727496,0.006558452,0.222987375,0.003279226,0.003279226,0.111493687,0.042629939,0,0.009837678,0.009837678,1.321528119
1991 03,1991,3,68.9,,0,430,35638,1,100,1,3,8,5,75,0,50,2,36,29,24,19,1,5,16,21,34,0.28059936,0,0.10101577,0.014029968,0.053313878,0.044895898,0.058925866,0.095403782,0.067343846,0.14029968,0.005611987,0.21044952,0.002805994,0,0.081373814,0.022447949,0.008417981,0.014029968,0.002805994,1.203771255
1991 04,1991,4,69.2,,4,512,33754,2,138,3,1,10,4,94,0,53,3,23,36,20,25,0,10,18,28,44,0.408840434,0.011850447,0.068140072,0.029626118,0.074065296,0.053327013,0.082953131,0.130354921,0.059252237,0.157018427,0.008887836,0.278485513,0.008887836,0,0.106654026,0.029626118,0.002962612,0.011850447,0,1.522782485
1991 05,1991,5,69.4,,2,385,33907,0,140,3,0,9,2,91,1,43,1,21,47,28,23,0,4,21,28,41,0.412894093,0.005898487,0.061934114,0.011796974,0.067832601,0.061934114,0.082578819,0.120918984,0.082578819,0.126817471,0.002949244,0.26838116,0.008847731,0.002949244,0.138614445,0.026543192,0,0.005898487,0,1.489367977
1991 06,1991,6,69.8,,3,457,33858,1,132,0,0,6,7,78,2,49,4,26,42,22,17,3,6,15,21,35,0.389863548,0.008860535,0.076791305,0.01772107,0.050209699,0.044302676,0.062023746,0.10337291,0.064977258,0.144722075,0.011814047,0.230373915,0,0.005907023,0.124047492,0.01772107,0,0.020674582,0.008860535,1.382243488
1991 07,1991,7,70.6,,1,217,32934,1,146,5,0,3,4,115,0,41,3,36,52,26,34,2,12,16,22,37,0.443310864,0.003036376,0.109309528,0.036436509,0.103236777,0.048582013,0.066800267,0.112345904,0.07894577,0.124491407,0.009109127,0.349183215,0.015181879,0,0.157891541,0.009109127,0,0.012145503,0.006072752,1.685188559
1991 08,1991,8,70.6,,0,320,34890,1,116,1,0,4,6,105,0,29,3,36,52,16,10,2,2,18,21,43,0.332473488,0,0.103181427,0.005732302,0.028661508,0.051590714,0.060189166,0.123244483,0.045858412,0.083118372,0.008598452,0.30094583,0.002866151,0,0.149039839,0.011464603,0,0.017196905,0.005732302,1.329893952
1991 09,1991,9,70.6,,2,259,27904,0,146,5,1,5,2,110,0,40,8,23,39,36,15,2,13,25,20,39,0.523222477,0.007167431,0.082425459,0.046588303,0.053755734,0.08959289,0.071674312,0.139764908,0.129013761,0.143348624,0.028669725,0.394208716,0.017918578,0,0.139764908,0.017918578,0.003583716,0.007167431,0.007167431,1.902952982
1991 10,1991,10,71.7,,0,317,35009,3,179,4,0,8,6,118,0,37,2,22,54,23,15,0,7,27,38,38,0.511297095,0,0.062840984,0.019994858,0.042846125,0.077123026,0.108543517,0.108543517,0.065697392,0.105687109,0.005712817,0.337056186,0.011425633,0,0.154246051,0.022851267,0,0.01713845,0,1.651004028
