"title","number","date","keywords","link"
"Wolf Schneider (39)","1998.31.18282","1998-07-23","Politik, , Alte, Lebensstil, Prozess, Seele","http://www.zeit.de/1998/31/Wolf_Schneider_39_"
"Alter Meister","1998.31.18283","1998-07-23","Politik, , Charles Pasqua, Ausländerfeindlichkeit, Innenminister, Regierung","http://www.zeit.de/1998/31/Alter_Meister"
"Das Konkubinat der zwei Stimmen","1998.31.18284","1998-07-23","Politik, , SPD, Tony Blair, DVU, Schizophrenie, Verhältniswahlrecht, Wahlrecht, Bonn, Sachsen-Anhalt","http://www.zeit.de/1998/31/Das_Konkubinat_der_zwei_Stimmen"
"Pflücken und hoffen","1998.31.18285","1899-12-31","Politik, , Islam Karimow, Usbekistan, Kasachstan, Rohstoff, Weltbank, Russland, Sowjetunion, Turkmenistan, USA, Washington D.C., Zentralasien","http://www.zeit.de/1998/31/199831.usbekistan_.xml"
"Wirtschaftsgrafik: Direktinvestionen","1998.31.18286","1899-12-31","Politik","http://www.zeit.de/1998/31/199831.wochengraphik.xml"
"Marienborn","1998.31.18287","1998-07-23","Politik, , Recht, Bundespräsident, DDR, Gebäude, Opfer","http://www.zeit.de/1998/31/Marienborn"
"Weltbürger, gebt den Staat nicht auf!","1998.31.18288","1899-12-31","Politik, , Tony Blair, Adam Smith, Ulrich Beck, Jean-Marie Le Pen, Mick Jagger, WTO, Freihandel, Front National, Globalisierung, Shell AG, Weltbank, USA","http://www.zeit.de/1998/31/199831.t_global_.xml"
"Richtung Abstellgleis","1998.31.18289","1899-12-31","Politik, , Verkehr, Transport_und_Verkehr, Schienenverkehr, Werbung_und_Marketing, Verkehrspolitik, Preissystem, Vhb_Preispolitik, Werbung, Umgangsformen, Sozialverhalten, Kultur, Verkehr, Transport und Verkehr, Schienenverkehr, Werbung und Marketing, Verkehrspolitik, Preissystem, Preispolitik, Werbung, Umgangsformen, Sozialverhalten, Helmut Kohl, Johannes Ludewig, Matthias Wissmann, SPD, Gerhard Schröder, Grüne, Peter Fischer, Fernverkehr, ICE, Bingen, Bonn, Ingolstadt, München, Nürnberg","http://www.zeit.de/1998/31/199831.bahn_.xml"
"Im Leseland","1998.31.18290","1998-07-23","Länderspiegel, , Leseland, DDR, Berlin, Neukölln","http://www.zeit.de/1998/31/Im_Leseland"
"Sie August!","1998.31.18291","1998-07-23","Politik, , CDU, CSU, SPD-Fraktion, FDP, Grüne, SPD, Wahl, Urlaub, Bonn, Rügen","http://www.zeit.de/1998/31/Sie_August_"
