"title","number","date","keywords","link"
"Ben Witter: Sein letztes Angetippt |","1993.51.6221","1993-12-17","DIE ZEIT, , Bank, Kirche, Museum, Obdachlose, Religionsunterricht, Winter","http://www.zeit.de/1993/51/ben-wittner-sein-letztes-angetippt"
"Worte der Woche |","1993.51.6222","1993-12-17","DIE ZEIT, , CSU, Nato, Ausländer, Benazir Bhutto, Henning Voscherau, Jacques Delors, Jassir Arafat, Flipper, Islam, Jegor Gajdar, Leoluca Orlando, Mafia, Mentalität, PDS, Präsident, Regierungschef, Tansu Çiller, Vereinte Nationen, Russland, Florida, Hamburg, Palermo, Palästina","http://www.zeit.de/1993/51/worte-der-woche"
"Verpaßte Reformen und eine verfehlte Wirtschaftspolitik haben Algerien ins Elend gestürzt. Armut und Ohnmacht treiben die Gewaltspirale an: Der lautlose Krieg |","1993.51.6223","1993-12-17","DIE ZEIT, Verpaßte Reformen und eine verfehlte Wirtschaftspolitik haben Algerien ins Elend gestürzt. Armut und Ohnmacht treiben die Gewaltspirale an, Krieg, Wirtschaftspolitik, Armut, Algerien, Ausländer, Frankreich, Gewalt, Parlamentswahl, Marokko, Europa","http://www.zeit.de/1993/51/der-lautlose-krieg"
"Zum Tode von Ben Witter: vierzig Jahre für die ZEIT: Ein Grenzgänger |","1993.51.6224","1993-12-17","DIE ZEIT, Zum Tode von Ben Witter: vierzig Jahre für die ZEIT, Ben Witter, Ernst Jünger, Brigitte Kronauer, Willy Brandt, Heinrich Böll, Siegfried Lenz , Theo Sommer, Axel Springer, Oskar Kokoschka, Hamburg, Heidelberg, Ostberlin","http://www.zeit.de/1993/51/ein-grenzgaenger"
"Serbien wählt am 19. Dezember. Für die Not im Lande hat Präsident Miloševic eine Ausrede: die UN-Sanktionen: „Der dritte Genozid des Jahrhunderts“ |","1993.51.6225","1993-12-17","DIE ZEIT, Serbien wählt am 19. Dezember. Für die Not im Lande hat Präsident Miloševic eine Ausrede: die UN-Sanktionen, Präsident, Slobodan Miloševic, Serbien, Genozid, UN-Sicherheitsrat, Bosnien und Herzegowina, Sanktion, Zoran Djindjic, Kroatien, Belgrad, Europa","http://www.zeit.de/1993/51/der-dritte-genozid-des-jahrhunderts"
"Markt-Report: Aufwärtstrend blieb intakt |","1993.51.6226","1993-12-17","DIE ZEIT, Markt-Report, Commerzbank, Dax, Ausländer, Mannesmann, Aktie, Aktienindex, Devisenmarkt, Gewinn, Liquidität, Sparquote, Russland","http://www.zeit.de/1993/51/aufwaertstrend-blieb-intakt"
"Brüssel will die Arbeitslosigkeit bekämpfen: Viele Ideen |","1993.51.6227","1993-12-17","DIE ZEIT, Brüssel will die Arbeitslosigkeit bekämpfen, Brüssel, Arbeitslosigkeit, Jacques Delors, EU-Kommission, Europäische Union, Staatsfinanzen, Binnenmarkt, Feiertag, Produktivität, Weißbuch, Europa, Japan, Portugal","http://www.zeit.de/1993/51/viele-ideen"
"Zeitliches aus Frankreich: Geschmacksachen |","1993.51.6228","1993-12-17","DIE ZEIT, Zeitliches aus Frankreich, Frankreich, Yves Saint Laurent, Bernard Arnault, Dior, Duft, Opium, Parfum, Paris","http://www.zeit.de/1993/51/geschmacksachen"
"Magazine: Gruner + Jahr plant ein neues Blatt: Bedrohter stern |","1993.51.6229","1993-12-17","DIE ZEIT, Magazine: Gruner + Jahr plant ein neues Blatt, Gerd Schulte-Hillen, Helmut Markwort, Stern, Hubert Burda, Focus, Hans-Hermann Tiedje, Heinz Bauer, Privatfernsehen, Spiegel, tSpringer Verlag","http://www.zeit.de/1993/51/bedrohter-stern"
"Bonner Kulisse |","1993.51.6230","1993-12-17","DIE ZEIT, , Helmut Schmidt, Michael Bürsch, Rudolf Scharping, Existenzminimum, Friedrich-Ebert-Stiftung, Minister, Ministerium, Staatssekretär, Berlin, Bonn, Spree","http://www.zeit.de/1993/51/bonner-kulisse"
"Kali-Markt: Brüssel billigt die umstrittene Fusion: Gesalzene Auflagen |","1993.51.6231","1993-12-17","DIE ZEIT, Kali-Markt: Brüssel billigt die umstrittene Fusion, Brüssel, Fusion, Günter Rexrodt, BASF, Karel van Miert, Allianz, Bundeswirtschaftsminister, Privatisierung, Treuhandanstalt, Berlin","http://www.zeit.de/1993/51/gesalzene-auflagen"
"Chemieindustrie: Ein Plädoyer gegen die Genehmigungsverfahren in der Bundesrepublik: „Fesseln und Fallstricke“ |","1993.51.6232","1993-12-17","DIE ZEIT, Chemieindustrie: Ein Plädoyer gegen die Genehmigungsverfahren in der Bundesrepublik, Chemie, Chemieprodukt, Forschung, Industrie, Dänemark, Schweiz, Sowjetunion, USA, Osteuropa, Westeuropa","http://www.zeit.de/1993/51/fesseln-und-fallstricke"
"Konjunktur: Sparförderung |","1993.51.6233","1993-12-17","DIE ZEIT, Konjunktur, Konjunktur, Brot, Einkommen, Geld, Mode, Privathaushalt, Rezession, Sozialstaat, Wirtschaftswachstum, Wohnungsbau","http://www.zeit.de/1993/51/sparfoerderung"
"Welthandel: Sieben Jahre lang wurde über den Abbau von Handelsschranken gefeilscht – eine lohnende Mühe: Das Spiel ist aus |","1993.51.6234","1993-12-17","DIE ZEIT, Welthandel: Sieben Jahre lang wurde über den Abbau von Handelsschranken gefeilscht – eine lohnende Mühe, Ronald Reagan, Dienstleistung, Frankreich, Landwirtschaft, Textilindustrie, Urheberrecht, Weltbank, Zoll, Indien, Japan, Kanada, Portugal, Sowjetunion, Genf, Asien, Brüssel, Europa","http://www.zeit.de/1993/51/das-spiel-ist-aus"
"Südafrika: Ein bayerischer Mittelständler will seine Biermarke am Kap etablieren: Prinz Poldi und der schwarze Markt |","1993.51.6235","1993-12-17","DIE ZEIT, Südafrika: Ein bayerischer Mittelständler will seine Biermarke am Kap etablieren, Bier, Brauerei, Südafrika, Namibia, Sambia, Taiwan, Bayern, Fernost, München, Pretoria","http://www.zeit.de/1993/51/prinz-poldi-und-der-schwarze-markt"
"Pflegeversicherung: Der Bundesrat ist nicht die letzte Hürde – tritt das Gesetz in Kraft, droht ihm ein schnelles Ende durch das Bundesverfassungsgericht: Schlag gegen die Familie |","1993.51.6236","1993-12-17","DIE ZEIT, Pflegeversicherung: Der Bundesrat ist nicht die letzte Hürde – tritt das Gesetz in Kraft, droht ihm ein schnelles Ende durch das Bundesverfassungsgericht, Bundesrat, Bundesverfassungsgericht, Familie, CDU, SPD, Roman Herzog, Altersversorgung, Bundesarbeitsministerium, Pflege, Bonn, Karlsruhe, Trier","http://www.zeit.de/1993/51/schlag-gegen-die-familie"
"Bundesbank: Flüssig |","1993.51.6237","1993-12-17","DIE ZEIT, Bundesbank, Bundesbank, Deutsche Bank, Hilmar Kopper, Chor, Geld, Gewinn, Präsident","http://www.zeit.de/1993/51/fluessig"
"Investmentfonds: Auch beim Verkauf von Fondsanteilen wird künftig Quellensteuer fällig: Täglich neuer Zwist |","1993.51.6238","1993-12-17","DIE ZEIT, Investmentfonds: Auch beim Verkauf von Fondsanteilen wird künftig Quellensteuer fällig, Bundesfinanzministerium, Bundesregierung, Bundesanleihe, Bundesfinanzminister, Bundesrat, Bundestag, DWS, Investmentfonds, Investmentgesellschaft, Rechtslage, Wertpapierhandel, Bahamas, Luxemburg, Bonn, Europa","http://www.zeit.de/1993/51/taeglich-neuer-zwist"
"Weihnachten: Überflüssig |","1993.51.6239","1993-12-17","DIE ZEIT, Weihnachten, Norbert Blüm, VW, Feiertag, Fest, Getränk, Pflegeversicherung, Wein, Weihnachten","http://www.zeit.de/1993/51/ueberfluessig"
"Obdachlosigkeit: Das erfolgreiche Projekt Mühltal in Wiesbaden setzt auf Motivation und Selbstwertgefühl: Raus aus dem Ghetto |","1993.51.6240","1993-12-17","DIE ZEIT, Obdachlosigkeit: Das erfolgreiche Projekt Mühltal in Wiesbaden setzt auf Motivation und Selbstwertgefühl, Wiesbaden, Bundesregierung, CDU, SPD, Arbeitsbeschaffungsmaßnahme, Evangelische Kirche, Miete, Obdachlose, Sanierung, Wohngeld, Dänemark, Bonn","http://www.zeit.de/1993/51/raus-aus-dem-ghetto"
