"id","qdap_value_ampl","qdap_nword"
"42095","-1.0803","657"
"42096","-7.39308","1881"
"42097","1.23386","815"
"42098","0.98136","604"
"42099","-1.7156","342"
"42100","2.4673","282"
"42101","-0.3166","208"
"42102","-10.32988","2203"
"42103","-1.12976","221"
"42104","-7.30404","946"
"42105","-6.2249","572"
"42106","-1.9416","352"
"42107","0.6502","236"
"42108","0.1124","159"
"42109","1.19346","773"
"42110","-2.25","1801"
"42111","0.83186","213"
"42112","-3.1853","415"
"42113","-13.80834","2093"
"42114","-1.12522","1221"
"42115","-0.1222","89"
"42116","0.0500199999999999","618"
"42117","-1.4536","87"
"42118","-4.35294","1169"
"42119","2.22018","1086"
"42120","-0.02414","1526"
"42121","1.07962","1245"
"42122","-2.66176","660"
"42123","1.0659","398"
"42124","-6.75538","1558"
"42125","1.5459","637"
"42126","-3.05128","1669"
"42127","0.004","66"
"42128","-4.0981","454"
"42129","-6.681","518"
"42130","-3.5404","346"
"42131","2.0441","1261"
"42132","-4.83812","1061"
"42133","-5.94966","820"
"42134","-7.80174","1156"
"42135","-4.61252","1212"
"42136","-3.15688","2025"
"42137","-1.6446","1125"
"42138","-1.03542","846"
"42139","-1.8625","139"
"42140","-1.6483","233"
"42141","-3.15132","1625"
"42142","-8.07928","1225"
"42143","-0.96666","183"
"42144","-0.45522","179"
"42145","-3.99068","1092"
"42146","-5.76094","1188"
"42147","0.5672","141"
"42148","-2.63488","850"
"42149","-0.4872","179"
"42150","-8.52224","2253"
"42151","-3.43828","1051"
"42152","-2.0611","215"
"42153","0.5065","249"
"42154","0.89836","1112"
"42155","-0.7438","270"
"42156","-2.57026","1026"
"42157","0.3677","115"
"42158","-3.49252","325"
"42159","0","23"
"42160","3.49934","1030"
"42161","3.15122","1159"
