"title","number","date","keywords","link"
"Handwerker, nicht Missionare |","1992.11.3619","1992-03-06","DIE ZEIT, , Lech Wa??sa, SPD, Willy Brandt, Polen, Adam Michnik, DDR, Edward Gierek, Entspannungspolitik, Herbert Wehners, Ostpolitik, Vatikan, Sowjetunion, Berlin, Danzig, Europa, Moskau, Warschau","http://www.zeit.de/1992/11/handwerker-nicht-missionare"
"Bonner Bühne: Lauter Aschermittwochs |","1992.11.3620","1992-03-06","DIE ZEIT, Bonner Bühne, Franz Josef Strauß, Oskar Lafontaine, Bühne, CDU, CSU, Michail Gorbatschow, SPD, Theo Waigel, Aschermittwoch, Bild-Zeitung, Kanzleramt, Max Streibl, Renate Schmidt, Wienerwald, Bonn, München, Passau, Sonthofen, Vilshofen","http://www.zeit.de/1992/11/lauter-aschermittwochs"
"Der irische Streit um die Abtreibung: Die Meisterin der sanften Subversion |","1992.11.3621","1992-03-06","DIE ZEIT, Der irische Streit um die Abtreibung, Mary Robinson, Abtreibung, Irland, Impotenz, Luxemburg, Cambridge, Dublin, Europa, New York, Nordirland, Straßburg","http://www.zeit.de/1992/11/die-meisterin-der-sanften-subversion"
"„Ich bin Hans im Glück“ |","1992.11.3622","1992-03-06","DIE ZEIT, , Helmut Schmidt, DDR, Evangelische Kirche, Stasi, Arbeitslose, Spanien, Berlin, Leipzig, Mecklenburg-Vorpommern, Rostock","http://www.zeit.de/1992/11/ich-bin-hans-im-glueck"
"Wirtschaftsreformen in China: Die Greise streiten über den Kurs |","1992.11.3623","1992-03-06","DIE ZEIT, Wirtschaftsreformen in China, China, Deng Xiaoping, Kommunistische Partei, Industriebetrieb, Kapitalismus, Shanghai, Sowjetunion, Peking, Osteuropa, Shenzhen","http://www.zeit.de/1992/11/die-freise-streiten-ueber-den-kurs"
"Vor einem Jahr sprach George Bush noch hochgemut von der „Neuen Weltordnung Inzwischen ist der schöne Traum an der Wirklichkeit zuschanden geworden.: Neue Welt, neue Unordnung |","1992.11.3624","1992-03-06","DIE ZEIT, Vor einem Jahr sprach George Bush noch hochgemut von der „Neuen Weltordnung Inzwischen ist der schöne Traum an der Wirklichkeit zuschanden geworden., George W.  Bush, Saddam Hussein, Traum, Vereinte Nationen, Sowjetunion, Theo Sommer, Winston Churchill, Golfkrieg, Krieg, USA, Irak, Jugoslawien, Kambodscha, Russland, Europa, Afrika, Kuwait","http://www.zeit.de/1992/11/neue-welt-neue-unordung"
"Im Mittelalter |","1992.11.3625","1992-03-06","DIE ZEIT, , Bevölkerung, Golfkrieg, Monarch, Reform, Regierungschef, Staatsoberhaupt, Wüste, Saudi Arabien","http://www.zeit.de/1992/11/im-mittelalter"
"Worte der Woche |","1992.11.3626","1992-03-06","DIE ZEIT, , Augusto Pinochet, Erich Honecker, Erich Mielke, Michail Gorbatschow, Norbert Blüm, Rainer Eppelmann, François Mitterrand, Nelson Mandela, Apartheid, DDR, Präsident, Untersuchungshaft, Vertreibung, Václav Havel, Sowjetunion, Kiew, Moskau, Santiago","http://www.zeit.de/1992/11/worte-der-woche"
"KOLUMNE: Europas Schweigen |","1992.11.3627","1992-03-06","DIE ZEIT, KOLUMNE, PLO, Saddam Hussein, Israel, Abrüstung, Frieden, Golfkrieg, Horst Teltschik, Nahost, Ostdeutschland, Siedlungspolitik, Irak, Jordanien, Saudi Arabien, Sowjetunion, Syrien, Türkei, Ungarn, Europa, Afrika, Asien","http://www.zeit.de/1992/11/europas-schweigen"
"Syriens Tanz auf vielen Hochzeiten: Verändern, ohne zu ändern |","1992.11.3628","1992-03-06","DIE ZEIT, Syriens Tanz auf vielen Hochzeiten, Alois Brunner, Saddam Hussein, Tanzen, Syrien, DDR, Europaparlament, Israel, Moschee, Damaskus, Irak, USA, Beirut, Europa","http://www.zeit.de/1992/11/veraendern-ohne-zu-aendern"
"Rückblick: Sanktionen gegen den Irak: Der Zorn des Volkes |","1992.11.3629","1992-03-06","DIE ZEIT, Rückblick: Sanktionen gegen den Irak, Irak, Saddam Hussein, Vereinte Nationen, Weltsicherheitsrat, Diplomat, Drohung, Konflikt, Menschenrechtsverletzung, Sanktion, Wahlkampf, Bagdad, New York, Washington D.C","http://www.zeit.de/1992/11/der-zorn-des-volkes"
"Deutsche Vergangenheit: Stasi im Westen |","1992.11.3630","1992-03-06","DIE ZEIT, Deutsche Vergangenheit, Erich Honecker, Petra Kelly, Grüne, Robert Havemann, SED, SPD, Stasi, DKP, Egon Bahr, Arzt, DDR, Debatte, Deutschlandpolitik, Hilfsorganisation, Pilz, Türkei, Berlin","http://www.zeit.de/1992/11/stasi-im-westen"
