"title","number","date","keywords","link"
"Verhärtete Fronten nach den Wahlen in Serbien und Montenegro: Titos Staatsgebilde zerbricht |","1991.2.1660","1991-01-04","DIE ZEIT, Verhärtete Fronten nach den Wahlen in Serbien und Montenegro, Bundesregierung, Serbien, Jugoslawien, Slowenien, Kosovo, Montenegro, Parlament, Kroatien, Serbien und Montenegro, Belgrad, Ljubljana, Zagreb","http://www.zeit.de/1991/02/titos-staatsgebilde-zerbricht"
"Einheit auf kleiner Flamme |","1991.2.1661","1991-01-04","DIE ZEIT, , Theo Waigel, CSU, FDP, CDU, Edmund Stoiber, Norbert Blüm, Volker Rühe, DDR, Peter Gauweiler, Bayern, Bonn","http://www.zeit.de/1991/02/einheit-auf-kleiner-flamme"
"Worte der Woche |","1991.2.1662","1991-01-04","DIE ZEIT, , Helmut Kohl, Michail Gorbatschow, Saddam Hussein, Abenteuer, Aggression, Bischof, Bundeskanzler, Bundespräsident, Bärbel Bohley, Dan Quayle, Demokratisierung, Finanzminister, Johannes Paul II., Papst, Rakete, Richard Freiherr von Weizsäcker, Spiegel, Tageszeitung, Vizepräsident, Irak, Saudi Arabien, Kuwait","http://www.zeit.de/1991/02/worte-der-woche"
"Rückblick: Parteitag der KPF: Lauter Leninisten |","1991.2.1663","1991-01-04","DIE ZEIT, Rückblick: Parteitag der KPF, Alter, Diktatur, Frühling, Kapitalismus, Parteitag, Proletariat, Sozialismus, Stalinismus, Frankreich","http://www.zeit.de/1991/02/lauter-leninisten"
"Ein Bündnis ohne Alternative |","1991.2.1664","1991-01-04","DIE ZEIT, , Helmut Kohl, CSU, FDP, CDU, Franz Josef Strauß, Hans-Dietrich Genscher, Konrad Adenauer, SPD","http://www.zeit.de/1991/02/ein-buendnis-ohne-alternative"
"Ein Jahr nach dem Sturz des Diktatorst Nicolae Ceausescu: Fluch auf Fluch |","1991.2.1665","1991-01-04","DIE ZEIT, Ein Jahr nach dem Sturz des Diktatorst Nicolae Ceausescu, Ion Iliescu, Rumänien, Kommunistische Partei, Bukarest, Europa","http://www.zeit.de/1991/02/fluch-auf-fluch"
"Die Bastion Albanien öffnet sich: Aus Stalins Schatten getreten |","1991.2.1666","1991-01-04","DIE ZEIT, Die Bastion Albanien öffnet sich, Enver Hodscha, Michail Gorbatschow, Albanien, Religionsfreiheit, Griechenland, Jugoslawien, Polen, Rumänien, Tschechoslowakei, Ungarn, Osteuropa, Paris","http://www.zeit.de/1991/02/aus-stalins-schatten-getreten"
"Weltbühne: Himmlischer Frieden |","1991.2.1667","1991-01-04","DIE ZEIT, Weltbühne, Deng Xiaoping, Frieden, Bundesregierung, George W.  Bush, China, Dogma, Ethik, Kommunistische Partei, Li Peng, Liu Xiaobo, Weltbank, Zhao Ziyang, Peking","http://www.zeit.de/1991/02/himmlischer-frieden"
"In Südafrika verhandelt Präsident de Klerk mit der Befreiungsbewegung ANC über ein Ende der Apartheid: Keine Angst vor der Zukunft |","1991.2.1668","1991-01-04","DIE ZEIT, In Südafrika verhandelt Präsident de Klerk mit der Befreiungsbewegung ANC über ein Ende der Apartheid, Nelson Mandela, Präsident, Südafrika, Apartheid, ANC, Bevölkerungsgruppe, Entlassung, Gefängnis, Grundrecht, Presse, Regierung, Training, Verfassung, Wahl, Kanada, MIT, USA, Afrika, Asien, Europa, Kapstadt","http://www.zeit.de/1991/02/keine-agnst-vor-der-zukunft"
"Wolfgang Ebert: Im Stau bei Hof |","1991.2.1669","1991-01-04","DIE ZEIT, Wolfgang Ebert, CIA, Bundesnachrichtendienst, Auswärtiges Amt, Hochzeit, Kunstmarkt, Urzeit, Wolfgang Ebert, Marseille, Sizilien","http://www.zeit.de/1991/02/im-stau-bei-hof"
"Ben Witter: Angetippt |","1991.2.1670","1991-01-04","DIE ZEIT, Ben Witter, Ben Witter, Erbschaft, Publikum, Sonne, Vertrag","http://www.zeit.de/1991/02/angetippt"
