"id","qdap_value_ampl","qdap_nword"
"46233","0.5901","880"
"46234","0.008","24"
"46235","-0.54182","177"
"46236","0.008","28"
"46237","1.1069","67"
"46238","-0.2438","123"
"46239","0","4"
"46240","0","4"
"46241","-0.1705","89"
"46242","-2.2288","349"
"46243","0.016","106"
"46244","0","6"
"46245","-4.85478","984"
"46246","0.1327","22"
"46247","-0.44554","225"
"46248","0","6"
"46249","0.004","23"
"46250","-3.12872","611"
"46251","0.1799","105"
"46252","-5.09854","1866"
"46253","0","4"
"46254","0","25"
"46255","-0.2644","28"
"46256","-1.2211","389"
"46257","0","31"
"46258","0","6"
"46259","0","19"
"46260","0.62778","1910"
"46261","-0.7514","243"
"46262","0.004","24"
"46263","0","6"
"46264","-0.6743","32"
"46265","-2.98364","1871"
"46266","1.98902","308"
"46267","-0.5372","29"
"46268","0","4"
"46269","-0.7778","40"
"46270","0","32"
"46271","0","6"
"46272","0.4445","75"
"46273","0","4"
"46274","0.4798","59"
"46275","-4.9942","353"
"46276","0.5286","40"
"46277","-0.9355","146"
"46278","-0.2763","25"
"46279","-4.00846","453"
"46280","0.6127","375"
"46281","-2.09074","781"
"46282","-0.06872","30"
"46283","-0.61802","35"
"46284","0","6"
"46285","-0.6641","621"
"46286","0.2267","23"
"46287","0.5","35"
"46288","0","26"
"46289","-1.53376","1167"
"46290","-4.46618","490"
"46291","0.004","166"
"46292","-1.80158","736"
"46293","-0.3974","229"
"46294","-0.4266","136"
"46295","0.24826","755"
"46296","-3.6824","652"
"46297","-1.08416","1412"
"46298","-3.81922","887"
"46299","-10.61022","1712"
"46300","-0.323000000000001","856"
"46301","0.13278","160"
"46302","0.008","33"
"46303","-1.2061","141"
"46304","5.63802","1797"
"46305","0.2068","32"
"46306","-0.73082","359"
"46307","0","6"
"46308","-0.46054","139"
"46309","0.5763","38"
"46310","-7.1679","1430"
"46311","-0.2939","139"
"46312","0.852","136"
"46313","-0.87486","951"
"46314","-0.26726","142"
"46315","0","23"
"46316","0.02","157"
"46317","0.0621","46"
"46318","0","4"
"46319","-0.9059","138"
"46320","0","6"
"46321","0","4"
"46322","0","5"
"46323","-0.5292","132"
"46324","-0.5482","288"
"46325","-5.13094","1059"
"46326","1.48486","753"
"46327","-2.47684","753"
"46328","0.4839","604"
"46329","-1.49898","1412"
"46330","-1.97362","612"
"46331","-0.6064","239"
