"id","qdap_value_ampl","qdap_nword"
"29828","-5.23774","4995"
"29829","-5.90776","3020"
"29830","-7.06462","892"
"29831","0.5498","351"
"29832","0","192"
"29833","-6.60964","640"
"29834","-1.6624","211"
"29835","-7.2169","978"
"29836","-3.13996","566"
"29837","0.79992","534"
"29838","-3.589","317"
"29839","-2.32736","390"
"29840","0.1389","355"
"29841","-1.65846","181"
"29842","-9.7467","1903"
"29843","-6.04612","742"
"29844","0.08582","238"
"29845","-13.84398","1993"
"29846","0.61396","259"
"29847","-6.11338","508"
"29848","1.03088","1846"
"29849","-9.32242","1029"
"29850","-7.21248","998"
"29851","-0.2535","275"
"29852","-3.41906","596"
"29853","0.65144","388"
"29854","-8.19892","2131"
"29855","0.6455","205"
"29856","1.53464","1275"
"29857","-1.3426","195"
"29858","-4.1737","1821"
"29859","2.2672","395"
"29860","1.63132","765"
"29861","0","34"
"29862","-0.5826","188"
"29863","-4.11924","1420"
"29864","-0.66844","190"
"29865","-5.69392","833"
"29866","0.6808","308"
"29867","0.86456","1703"
"29868","0.5128","152"
