"title","number","date","keywords","link"
"Bonner Bühne: Kicken nach Kanzlerart |","1990.20.582","1990-05-11","DIE ZEIT, Bonner Bühne, Helmut Kohl, Norbert Blüm, Bühne, CDU, Oskar Lafontaine, SPD, FC Bayern München, Hans-Jochen Vogel, Bundesliga, Journalismus, Karsten Voigt, Mode, Regierungssprecher, Renaissance, Wahl, Nordrhein-Westfalen","http://www.zeit.de/1990/20/kicken-nach-kanzlerart"
"In Leipzig soll ein Verwaltungsexperte aus der Bundesrepublik zum Chef im Rathaus gewählt werden: Import aus der Partnerstadt |","1990.20.583","1990-05-11","DIE ZEIT, In Leipzig soll ein Verwaltungsexperte aus der Bundesrepublik zum Chef im Rathaus gewählt werden, SPD, CDU, Grüne, Import, Leipzig, Abenteuerurlaub, Altbausanierung, DDR, Oberbürgermeister, Chef, Hannover, Berlin","http://www.zeit.de/1990/20/import-aus-der-partnerstadt"
"Weltbühne: Ein Platz für Amerika |","1990.20.584","1990-05-11","DIE ZEIT, Weltbühne, USA, George W.  Bush, Nato, Allianz, Europapolitik, Präsident, Streitkräfte, Europa, USA, Atlantik, Moskau, New York, Oklahoma","http://www.zeit.de/1990/20/ein-platz-fuer-amerika"
"Worte der Woche |","1990.20.585","1990-05-11","DIE ZEIT, , Helmut Kohl, Karl Marx, Richard Freiherr von Weizsäcker, Gregor Gysi, Manfred Stolpe, Antisemitismus, Bronis?aw Geremek, DDR, Eduard Schewardnadse, Emotion, Hauptstadt, Kommunalwahl, Papst, Schicksal, Staatsbesuch, Umweltminister, Walter Momper, Zirkus, Polen, Berlin, Bonn, Buxtehude, Lüneburg, Mexiko-Stadt","http://www.zeit.de/1990/20/worte-der-woche"
"Staatsbesuch in Polen: Durchbruch zu neuem Verständnis? |","1990.20.586","1990-05-11","DIE ZEIT, Staatsbesuch in Polen, Polen, Richard Freiherr von Weizsäcker, Staatsbesuch, Medien, Adam Michnik, Bundespräsident, Schwarzarbeit, Tadeusz Mazowiecki, Tageszeitung, Danzig, Europa, Warschau","http://www.zeit.de/1990/20/durchbruch-zu-neuem-verstaendnis"
"Sich nur nicht fritzen lassen |","1990.20.587","1990-05-11","DIE ZEIT, , CDU, SED, SPD, DDR, Landespolitik, Oberbürgermeister, PDS, Bayern, Dresden, Sachsen, Berlin, Bonn, Chemnitz, Elbe, München","http://www.zeit.de/1990/20/sich-nur-nicht-fritzen-lassen"
"Eine Premiere der Presse |","1990.20.588","1990-05-11","DIE ZEIT, , CDU, Presse, SPD, Grüne, DDR, Forum, Kommunalwahl, Redakteur, Redaktion, Zeitung, Bremen, Uelzen","http://www.zeit.de/1990/20/eine-premiere-der-presse"
"Äpfel mit Birnen verglichen |","1990.20.589","1990-05-11","DIE ZEIT, , CDU, SPD, CSU, Bauernverband, DDR, Konsumgenossenschaft, Wahl, MIT, Ost-Berlin","http://www.zeit.de/1990/20/aepfel-mit-birnen-verglichen"
"Entmutigender Zypernkonflikt: Nikosia ist nicht Berlin |","1990.20.590","1990-05-11","DIE ZEIT, Entmutigender Zypernkonflikt, Berlin, Zypern, Spanien, Türkei, Ankara, Nordzypern, Europa","http://www.zeit.de/1990/20/nikosia-ist-nicht-berlin"
"Wolfgang Ebert: Grund und Boden |","1990.20.591","1990-05-11","DIE ZEIT, Wolfgang Ebert, Mercedes, Recht, Brief, Dienstleistung, Fahrzeug, Familie, Haushalt, Herz, Landrover, Landwirtschaft, Lebensstil, Vertreibung, Wolfgang Ebert","http://www.zeit.de/1990/20/grund-und-boden"
"Britische Kommunalwahlen: Zeitgewinn für die Eiserne Lady |","1990.20.592","1990-05-11","DIE ZEIT, Britische Kommunalwahlen, Michael Heseltine, Neil Kinnock, Eigenheim, Kommunalwahl, Labour Partei, Großbritannien, London","http://www.zeit.de/1990/20/zeitgewinn-fuer-die-eiserne-lady"
"Wachsende Kritik am französischen Präsidenten: Zwischen Geist und Macht |","1990.20.593","1990-05-11","DIE ZEIT, Wachsende Kritik am französischen Präsidenten, François Mitterrand, Jacques Attali, Eliteschule, Essay, Pfadfinder, Präsident, Japan, USA, Europa, Kalifornien, London, Paris","http://www.zeit.de/1990/20/zwischen-geist-und-macht"
"Der Geselle vor dem Meisterstück? |","1990.20.594","1990-05-11","DIE ZEIT, , Gerhard Schröder, Ernst Albrecht, SPD, Grüne, Jürgen Trittin, SPD-Fraktion, CDU, Oskar Lafontaine, Willy Brandt, Björn Engholm, Bundestag, Clown, DDR, Junge Union, Landespolitik, Landtag, Müllverbrennung, Wahlkampf, Niedersachsen, Hannover, Saarland","http://www.zeit.de/1990/20/der-geselle-vor-dem-meisterstueck"
"Ben Witter: Angetippt |","1990.20.595","1990-05-11","DIE ZEIT, Ben Witter, Archiv, Ben Witter, Eltern, Gedächtnis, Linde, Revolution, England, Krieg, Stadt, Tod, Berlin, London","http://www.zeit.de/1990/20/angetippt"
"Landtagswahl in Niedersachsen: Seit 14 Jahren regiert Ernst Albrecht. Kann Gerhard Schröder ihn ablösen?: Des Autokraten letzter Kampf |","1990.20.596","1990-05-11","DIE ZEIT, Landtagswahl in Niedersachsen: Seit 14 Jahren regiert Ernst Albrecht. Kann Gerhard Schröder ihn ablösen?, Gerhard Schröder, Rita Süssmuth, CDU, FDP, Landtagswahl, SPD, Grüne, Helmut Kohl, Landesregierung, Walter Hirche, Niedersachsen, Bonn, Hannover, Elbe, Hessen, Schleswig-Holstein, Sibirien","http://www.zeit.de/1990/20/des-autokraten-letzter-kampf"
"Zeitspiegel |","1990.20.597","1990-05-11","DIE ZEIT, , George W.  Bush, Muammar al-Gaddafi, Dalai Lama, Diplomat, Echo, Estland, Fabrik, Präsident, Treibhauseffekt, Libyen, Litauen, Osteuropa, Sofia, Tripolis, Warschau","http://www.zeit.de/1990/20/zeitspiegel"
"Rückblick: Regionalwahlen in Italien: Systemkrise |","1990.20.598","1990-05-11","DIE ZEIT, Rückblick: Regionalwahlen in Italien, Italien, Bettino Craxi, Erbe, Europawahl, Giulio Andreotti, Hoffnung, Kommunistische Partei, Opfer, Reform, Regierungschef, Wahlrecht","http://www.zeit.de/1990/20/systemkrise"
"Nachlese: Baltikum: Neue Hiobsbotschaften |","1990.20.599","1990-05-11","DIE ZEIT, Nachlese: Baltikum, Michail Gorbatschow, Baltikum, Estland, Gespräch, Hauptstadt, Ivars Godmanis, Kommunistische Partei, Ministerpräsident, Sanktion, Souveränität, Verfassung, Litauen, Rumänien, Sowjetunion, Moskau, Riga, Washington D.C","http://www.zeit.de/1990/20/neue-hiobsbotschaften"
"Bücher als Mittler |","1990.20.600","1990-05-11","DIE ZEIT, , Günter Grass, Karl Dedecius, Thomas Mann, Bertolt Brecht, Gerhart Hauptmann, Literatur, Arnold Zweig, Ausstellung, Band, Bundespräsident, Hut, Polen, Richard Freiherr von Weizsäcker, Schriftsteller, Schüleraustausch, Schweiz, Österreich, Warschau, Darmstadt","http://www.zeit.de/1990/20/buecher-als-mittler"
