"title","number","date","keywords","link"
"Woran glaubt China?: Die Partei baut ein Paradies","2008.24.45449","2008-06-08","Politik, Woran glaubt China?, Politik, Internationale_Beziehungen, Ausland, Politik, Internationale_Beziehungen, Ausland, China, China, Tibet, Buddhismus, Bus, Schule, Indien, Lhasa, Himalaya","http://www.zeit.de/2008/24/China"
"Münchner Flughafen: Kein Anschluss","2008.24.45450","2008-06-09","Politik, Münchner Flughafen, Politik, Innenpolitik, Bayern, Politik, Innenpolitik, Bayern, Transrapid, Edmund Stoiber, CSU, Christian Ude, SPD, Emilia Müller, Flughafen, Ministerpräsident, Oberbürgermeister, S-Bahn, München, Bayern, Isar","http://www.zeit.de/2008/24/LS-Flughafenanbindung"
"US-Vorwahlen: Obama, der Erlöser?","2008.24.45451","2008-06-04","Politik, US-Vorwahlen, Politik, Wahl, Wahlkampf, Us-wahlkampf, Politik, Wahl, Wahlkampf, Us-wahlkampf, Obama, Barack Obama, George W.  Bush, CIA, Helmut Schmidt, Jimmy Carter, USA, Hans Magnus Enzensberger, UN-Sicherheitsrat, Avantgarde, Cowboy, Entspannungspolitik, Globalisierung, Lateinamerika, Protektionismus, Republikaner (USA), Sanktion, US-Präsident, Afghanistan, Irak, Iran, Pakistan, USA, Afrika, Asien, Europa, Moskau, Westeuropa","http://www.zeit.de/2008/24/Zeitgeist-24"
"US-Wahl: Ein Hauch von Menschheit","2008.24.45452","2008-06-09","Politik, US-Wahl, Politik, Wahl, Wahlkampf, Politik, Wahl, Wahlkampf, Us-wahlkampf, Barack Obama, Bill Clinton, John McCain, USA, Callcenter, Präsident, US-Präsident, Bangladesch, Indien, Russland, US-Wahl, Europa, Washington D.C., Asien, Iowa, Ohio, Texas","http://www.zeit.de/2008/24/Obama"
"Eisernes Kreuz: Orden für Massenmord","2008.24.45453","2008-06-08","Zeitl?ufte, Eisernes Kreuz, Politik, Politik, Militaer, Karl Friedrich Schinkel, Polen, Auszeichnung, Sowjetunion, Vernichtungskrieg, Waffen-SS, Wehrmacht, Weißrussland, Berlin, Kiew, München","http://www.zeit.de/2008/24/Eisernes-Kreuz"
"Präsidentschaftskandidatur: Ist er ein echter Mann?","2008.24.45454","2008-06-09","Politik, Präsidentschaftskandidatur, Politik, Wahl, Wahlkampf, Us-wahlkampf, Kandidat, Politik, Wahl, Wahlkampf, Us-wahlkampf, Kandidat, Obama, Barack Obama, George W.  Bush, Bill Clinton, Hillary Clinton, John McCain, UN, John Kerry, Iran, Präsidentschaftskandidat, Todesstrafe, Israel, Pakistan, Panama, USA, Vietnam, Arkansas, Europa","http://www.zeit.de/2008/24/Obama_Kandidat"
"Irland: Stimmung gegen Brüssel","2008.24.45455","2008-06-10","Politik, Irland, Politik, Internationale_Beziehungen, Politik, Internationale_Beziehungen, Ausland, Brüssel, Europäische Union, Irland, Brian Cowen, Dick Roche, EU-Verfassung, José Manuel Durão Barroso, US-Militär, Europa, USA, Lissabon, Belfast, Dublin","http://www.zeit.de/2008/24/Irland"
"Schweiz: Tribun ohne Volk","2008.24.45456","2008-06-07","Politik, Schweiz, Politik, Internationale_Beziehungen, Ausland, Europa, Politik, Internationale_Beziehungen, Ausland, Europa, Schweiz, Schweiz, Christoph Blocher, Eveline Widmer-Schlumpf, NPD, Roland Koch, Jura, Pakistan, Fernost, Rosenheim, Württemberg","http://www.zeit.de/2008/24/Essay-Schweiz"
"US-Wahl: Obamania global","2008.24.45457","2008-06-09","Politik, US-Wahl, Politik, Wahl, Wahlkampf, Politik, Wahl, Wahlkampf, Us-wahlkampf, Barack Obama, Jimmy Carter, John McCain, Bill Clinton, Hillary Clinton, USA, Antiamerikanismus, Irak, Iran, Israel, Kenia, Kuba, Präsident, Türkei, Indonesien, Syrien, Thailand, US-Wahl, Tel Aviv","http://www.zeit.de/2008/24/Obama-Welt"
"Nahost: Die Golanhöhen? Niemals!","2008.24.45458","2008-06-07","Politik, Nahost, Jassir Arafat, Nahost, Israel, Syrien, Anwar al-Sadat, Frieden, Iran, Premierminister, Präsident, Rafiq al-Hariri, Gazastreifen, Libanon, Damaskus, Jerusalem, Westjordanland","http://www.zeit.de/2008/24/Golan"
"Umweltpolitik: Adieu, Klimadonna","2008.24.45459","2008-06-10","Politik, Umweltpolitik, Politik, Umweltpolitik, Klima, Klimaschutz, Politik, Umweltpolitik, Klima, Klimaschutz, Automobilindustrie, Angela Merkel, Umweltpolitik, Bundesregierung, ADAC, Auto, Benzinverbrauch, Bundestag, Energiesparlampe, Erderwärmung, Fahrzeug, Geländewagen, Glühbirne, Klimawandel, Regenwald, Sportwagen, Bangladesch, Brüssel, Europa, Heiligendamm","http://www.zeit.de/2008/24/01-Klima"
"Intellektuelle: Diktatoren verstehen","2008.24.45460","2008-06-06","Politik, Intellektuelle, Politik, Internationale_Beziehungen, Politik, Internationale_Beziehungen, Militaer, Alice Schwarzer, Peter Handke, China, Demokratie, GTZ, Zyklon, Afghanistan, Birma, Bosnien und Herzegowina, Irak, Iran, Jugoslawien, Myanmar, Russland, Tibet","http://www.zeit.de/2008/24/Kommentar-Diktatoren"
"Österreich: »Ärzte wollen immer nur mehr Geld «","2008.24.45461","1899-12-31","Politik, Österreich, Wirtschaft, Arbeit, Arbeitsmarkt, Einkommen, Wirtschaft, Arbeit, Arbeitsmarkt, Einkommen","http://www.zeit.de/2008/24/Aerzte"
"Österreich: Schadensbegrenzung","2008.24.45462","1899-12-31","Politik, Österreich, Gesellschaft, Gesellschaft_und_soziales_Leben, Sozialpolitik, Gesellschaft, Gesellschaft_und_soziales_Leben, Sozialpolitik","http://www.zeit.de/2008/24/Donnerstalk"
"Grüne: Angenehm, Özdemir","2008.24.45463","1899-12-31","Politik, Grüne","http://www.zeit.de/2008/24/Gruene-Parteivorsitz"
"hand: und fuß","2008.24.45464","2009-04-01","Politik, hand, Barack Obama, Bill Clinton, John McCain, Umfrage, Arbeit, Arizona, Illinois","http://www.zeit.de/online/2008/24/test"
"EM 2008: testtitel","2008.24.45465","2009-04-01","Politik, EM 2008, Sportler","http://www.zeit.de/online/2008/25/em"
"axcsc: dsghdfsghdfs","2008.24.45466","2008-06-30","Politik, axcsc","http://www.zeit.de/online/2008/24/test"
"Deutschland/Russland: Besuch aus Schein-Europa","2008.24.45467","2009-04-23","Politik, Deutschland/Russland, Politik, Internationale_Beziehungen, Russland, Deutschland, Politik, Internationale_Beziehungen, Russland, UN-Sicherheitsrat, Wladimir Putin, Russland, China, Diversifizierung, Erdgas, Friedenstruppe, Gas, Kasachstan, Pipeline, Versace, Moskau, USA, Ukraine, Berlin, Asien, Europa, Krim, Teheran, Wilhelmshaven","http://www.zeit.de/online/2008/24/russland"
"Rechtsextremismus: Braune Welle im Web","2008.24.45468","2008-06-06","Politik, Rechtsextremismus, NPD, Blog, Bundeszentrale für politische Bildung, Internet, MySpace, Rassismus, Rechtsextremismus, SchülerVZ, Video, YouTube, Zivilcourage, Missbrauch, Personal, Berlin, Hessen","http://www.zeit.de/online/2008/24/nazis"
"Milchboykott: Auf einmal ist er wieder wer","2008.24.45469","2008-06-07","Wirtschaft, Milchboykott, Wirtschaft, Wirtschaft_und_Konjunktur, Verbraucher, Agrarpolitik, Wirtschaft, Wirtschaft_und_Konjunktur, Verbraucher, Agrarpolitik, Agrarprodukt, Renate Künast, Gerd Sonnleitner, Grüne, Biokraftstoff, Lebensmittelskandal, Finnland, Jugoslawien, Ungarn, Bamberg, Bayern, Brüssel","http://www.zeit.de/2008/24/P-Sonnleitner"
"Konjunktur: Die Siebziger kommen nicht zurück","2008.24.45470","2008-07-11","Wirtschaft, Konjunktur, Wirtschaft, Wirtschaft_und_Konjunktur, Volkswirtschaft, Inflation, Wirtschaft, Wirtschaft_und_Konjunktur, Volkswirtschaft, Konjunktur, Jean-Claude Trichet, Internationaler Währungsfonds, Nahrungsmittel, Notenbank, Paul Krugmann, Rezession, Schwellenland, Vereinte Nationen, Ölpreis, China, Indien, USA, New York, Princeton","http://www.zeit.de/2008/24/Stagflation"
"Geldpolitik: Schreckgespenst Inflation","2008.24.45471","2008-06-10","Wirtschaft, Geldpolitik, Wirtschaft, Finanzen, Geld_und_Boerse, Wirtschaft_und_Konjunktur, Volkswirtschaft, Wirtschaft, Finanzen, Geld_und_Boerse, Wirtschaft_und_Konjunktur, Volkswirtschaft, Inflation, Inflation, Geldpolitik, Anleihe, Bundesanleihe, Finanzdienstleister, Fonds, Frühjahrsgutachten, Rendite, Statistisches Bundesamt, Frankreich, Großbritannien, USA, Baden-Württemberg","http://www.zeit.de/2008/24/F-Inflationsanleihen"
"Unternehmen: Kohle für die Kohle","2008.24.45472","2008-06-07","Wirtschaft, Unternehmen, Unternehmen, Kohle, Werner Müller, E.on, Aufsichtsrat, England, USA, Brüssel","http://www.zeit.de/2008/24/Evonik"
"Ausbildung: Lehrstellen lassen sich nicht kaufen","2008.24.45473","1899-12-31","Wirtschaft, Ausbildung, Wirtschaft, Arbeit, Arbeitsmarkt, Lehrstellenmarkt, Wirtschaft, Arbeit, Arbeitsmarkt, Lehrstellenmarkt","http://www.zeit.de/2008/24/Ausbildungsbonus"
"Milchkrise: No milk today","2008.24.45474","2008-06-04","Wirtschaft, Milchkrise, Wirtschaft, Wirtschaft_und_Konjunktur, Verbraucher, Agrarpolitik, Agrarprodukt, Wirtschaft, Wirtschaft_und_Konjunktur, Verbraucher, Agrarpolitik","http://www.zeit.de/2008/24/Milchbauern"
"Überwachungsaffäre: Die Angst der Chefs","2008.24.45475","1899-12-31","Politik, Überwachungsaffäre, Wirtschaft, Betriebswirtschaft, Management, Vorstand, Bespitzelung, Wirtschaft, Betriebswirtschaft, Management, Vorstand, Bespitzelung","http://www.zeit.de/2008/24/01-Telekom"
"Einzelhandel: Jetzt ist Schluss","2008.24.45476","1899-12-31","Wirtschaft, Einzelhandel, Wirtschaft, Einzelhandel, Textileinzelhandel, Wirtschaft, Einzelhandel, Textileinzelhandel","http://www.zeit.de/2008/24/W-chter"
