"","qdap_rel_val_total","qdap_value_rel_25","qdap_value_rel_mean","qdap_value_rel_50","qdap_value_rel_75","qdap_value_rel_sd","qdap_value_rel_sum","qdap_value_rel_infl_mean"
"1",-0.00228151240875912,-0.00504931158065276,-0.00149787091685189,-0.00102377591648205,0.000659241346195818,0.00391914274019051,-46.88508,-0.00089561726566496
"2",-0.00189883704464191,-0.00403186544342508,-0.00197024684127708,-0.0013642962962963,0.000465573770491803,0.00393802837483147,-107.2729,-0.000361005767363277
"3",-0.00204224691565254,-0.00377599804507142,-0.00181447456185726,-0.00197117033440992,0,0.00374330661049899,-121.66686,-0.000184435532010106
"4",-0.00205087602818044,-0.00386640814888078,-0.0015450421982937,-0.000858985534909583,0.00100638738162013,0.00394234884434169,-166.8039,-0.000244146484239018
"5",-0.00202130597314252,-0.00458318168050229,-0.00261445339496155,-0.00201042105263158,0.000595965736488873,0.0062047534588288,-125.98598,-0.000425872085476419
"6",-0.00160611893065689,-0.00370650291784958,-0.00147663606148814,-0.000755152761457109,0.00198521453379642,0.00532851067722005,-121.29892,-0.000251229290462209
"7",-0.00193438467275778,-0.00393064186846412,-0.00190305902556774,-0.0011101312858694,0.00077532660866438,0.00488857216276025,-124.48926,-0.000184378177219354
"8",-0.00135339321434067,-0.00276925681115424,-0.00046940948351021,-0.000792287234042553,0.00120512147786084,0.00339177512714596,-70.36562,-7.97440775488892e-05
"9",-0.00149264657790236,-0.00342347295822943,-0.00147549397651343,-0.00097101196369637,0.00107745452464202,0.00449164284738552,-89.46028,-0.000233245780538076
"10",-0.00211721735268376,-0.00390417056116023,-0.00213715516929495,-0.00164241027216027,-6.45772865058128e-05,0.00442923174384665,-162.07934,-0.000398431719364702
"11",-0.00177714011902002,-0.00539486187845304,-0.00181789586631639,-0.00165169260700389,0.00165055762081784,0.00595119048586916,-114.97208,-0.000293164255436424
"12",-0.00211140158573099,-0.00458073797316461,-0.0018497583383673,-0.0017253164556962,0.0010596164470181,0.00593581002277912,-164.30716,-0.000257784051437621
"13",-0.00179898371182196,-0.00493246549290805,-0.00222453627957072,-0.00127970526315789,0.00125275963631707,0.00601421027280554,-107.02334,-0.000499874464146814
"14",-0.00268924076832311,-0.00532051083591331,-0.00208707971289153,-0.00125528158295282,0.000462566844919786,0.00509520354072101,-139.02568,-0.00034763964351876
"15",-0.00251538296937391,-0.00493225,-0.00222712249162804,-0.00174297520661157,0.00160039735099338,0.00533977593218073,-131.65766,-0.000319673773084264
"16",-0.0023634353821634,-0.00476134759931199,-0.00188903049699704,-0.00121382436811955,0.00140858040648957,0.00536388596391545,-170.53368,-0.000429088939455171
"17",-0.00185214557034877,-0.00466773026315789,-0.00166755119521618,-0.000766929133858268,0.00157429731925264,0.00586071130245346,-96.54494,-0.000524498790598828
"18",-0.00184987774825999,-0.00488792834467845,-0.00233028040613311,-0.00182611528822055,0.000665770851818988,0.00480201983918113,-153.88948,-0.000462328252617082
"19",-0.00172912959787212,-0.00380853661989074,-0.00175254049252941,-0.000527304033176126,0.000796442381414844,0.00423755521648582,-98.81284,-0.000397817243855723
"20",-0.00193520900043271,-0.00483259161788992,-0.00240465277250648,-0.00188610284041572,0.00016723636149405,0.00427760437029119,-111.8067,0
"21",-0.00250847223204311,-0.00520829268292683,-0.0030751358257637,-0.00238863033873343,-0.000424288537549407,0.00510621313693472,-177.37658,-0.000398293792626254
"22",-0.00270960346681438,-0.00537768581358758,-0.00279349924980919,-0.00307894921190893,0.000161694382928442,0.0044851209370652,-166.32088,-0.000361506921012645
"23",-0.00346151447190251,-0.00688959895455881,-0.00370499655747054,-0.00299155597410198,-7.85967755693936e-05,0.00529738478140129,-327.21004,-0.000382943160081863
"24",-0.00208952412364605,-0.00508449569409706,-0.00198374948648277,-0.00210791233835025,0.000715505354199329,0.00486669783338812,-158.37966,-0.000223751061672206
"25",-0.00301295710853698,-0.00491838023714641,-0.00313810788373833,-0.00206614592818103,-0.000427747584541063,0.00425516119005645,-196.89976,-0.000635952009976834
"26",-0.00266477683474788,-0.00593522388059702,-0.00262401113947049,-0.00260175698802054,0.000997839506172839,0.00514840899292052,-186.81418,-0.000928879802960575
"27",-0.0021009984358707,-0.00493513791217378,-0.00211007064855346,-0.00249390769693906,0.000756795999032024,0.00519886712790628,-112.83202,-0.000138908501134731
"28",-0.0023225992981476,-0.00456646750990552,-0.00202253674249854,-0.00205877697841727,0.00109497055230691,0.0046248259601906,-133.03152,-0.000140591057170502
"29",-0.00165802192383553,-0.00411420394505107,-0.00190816253824404,-0.00126834101382488,0.000448358058285763,0.00404600682852528,-87.42418,-0.00016553486953891
"30",-0.00238313259741596,-0.00534681691988529,-0.00285537693752461,-0.00240399931864301,0.000356514620840153,0.00529263617283857,-162.13166,-0.000378364361399592
"31",-0.00199674175102388,-0.0044527183908046,-0.00229142771812841,-0.00146945569149655,0.000575289230530321,0.00520918998848623,-103.35934,-0.000229006012333785
"32",-0.00323914100843366,-0.00630475572690944,-0.00323162860185091,-0.00316878048780488,-0.000273414786018601,0.00483037884779558,-161.69468,-0.000284338090883108
"33",-0.0034293750612342,-0.00586842975206612,-0.00316392209141348,-0.00302594444444444,-3.52083333333331e-05,0.00413056378761225,-245.01856,-0.000230209160078961
"34",-0.00252359575672263,-0.00597233053455249,-0.00281599535641048,-0.00260217162425545,2.75770472508251e-05,0.00588522053881699,-173.89846,-8.93475884893288e-05
"35",-0.00233500241545894,-0.00478433566433566,-0.00255493784071372,-0.0020681935483871,5.54140127388535e-05,0.00474376068076286,-174.00438,-0.000617976351777403
"36",-0.00212884342221224,-0.00569165946378551,-0.00242184013228775,-0.00308188774256939,0.000740691908042257,0.00511607468548228,-123.19404,-0.000333178971024983
"37",-0.00243586381434438,-0.00537453831417625,-0.00264939102613795,-0.00195458769661084,2.5e-05,0.00363030677432825,-102.02372,-0.000218442977586707
"38",-0.00333956856702619,-0.00502495001418037,-0.00391802514606823,-0.00303094922737307,0.000127503890170285,0.00645635330244622,-106.20162,-0.000356035481561417
"39",-0.0028107214172785,-0.00576533771888754,-0.00253418144890331,-0.00293905224986422,0.000758686815258175,0.00487812014737043,-129.77944,-0.000359997056894804
"40",-0.00257211125111177,-0.00617412633990634,-0.00210022138562623,-0.00162694586991096,0.00147949136987966,0.00474081867360342,-138.8117,-0.0002507077309386
"41",-0.0026615627618665,-0.00524446544967158,-0.00260910475393894,-0.0026262300141538,0.000364872113395055,0.0050866296291019,-231.86204,-2.88888033681007e-05
"42",-0.00332171259078561,-0.00581841849148419,-0.00340263644598737,-0.0026181054512958,-0.0010296417604913,0.00374057770126241,-239.65492,-0.00115908129942415
"43",-0.00214590390050876,-0.00435621523276969,-0.00232968348766204,-0.00218711436170213,0.000391988209913491,0.00453814926222179,-132.86364,-0.000183418088315481
"44",-0.00208457876605074,-0.00486597510373444,-0.00213014140332237,-0.00247655462184874,0.000507668819729888,0.00411645998686802,-153.08938,0
"45",-0.00189133987900426,-0.00411068367346939,-0.00177491448287448,-0.0010232814572316,0.00129843815807946,0.00514008572558289,-114.42228,-0.000150799462321195
"46",-0.0022925262012485,-0.00583764304013664,-0.00272813971788127,-0.00268970815961882,0.00053777166437414,0.00502366807570878,-160.1192,-0.000207350054369636
"47",-0.00215486393201948,-0.0043789900943265,-0.00195037694868342,-0.00193293466223699,0.000952655896868226,0.00397931488545761,-221.63422,-0.000417555671402069
"48",-0.0012676841528057,-0.00299886976059129,-0.00146245599594713,-0.00143564042175784,0.00062447185664626,0.00337057448706103,-69.355,-0.000473761003209995
"49",-0.00153279536508289,-0.00326851503492027,-0.00181709511383668,-0.00182274076719037,0.000601040577644015,0.00331518383749503,-110.58812,-5.18433069166251e-05
"50",-0.0018672639120499,-0.00437784421596174,-0.00196263009964632,-0.00194386776859504,0.000306824606364184,0.00520688604607873,-120.93148,-0.000304557548670782
"51",-0.00205944811555703,-0.00455990374331551,-0.00218954359537509,-0.00165122950819672,0.000584480286223346,0.00542657576692302,-124.04056,-9.96217000043931e-05
"52",-0.00277688143509182,-0.00644305285623467,-0.00357841623832629,-0.00312578431372549,4.61828801989256e-05,0.00508906301463172,-183.127,-0.00017695714249162
"53",-0.00205762374255543,-0.00419116777451657,-0.00159106837760738,-0.00122697046040692,0.000967786936515159,0.00443232965644911,-205.5669,-0.000134722582661088
"54",-0.00178198078423409,-0.00416061970766129,-0.00202946329820775,-0.00151252693169682,0.000333890298663325,0.00455535211770584,-166.73816,-0.000458962835164698
"55",-0.00204950763123674,-0.00443841059602649,-0.00241070102365587,-0.0018017793594306,0.000165993265993266,0.00412199869967272,-149.72678,-0.000341364208052006
"56",-0.00260834681091822,-0.00505288749738,-0.00290152769216395,-0.00242813676035063,0.000106138051782682,0.0045682820344158,-189.01646,-0.000182008339582932
"57",-0.00294411683214038,-0.00600572634116938,-0.00346716439736001,-0.00312833824975418,-0.000621295641931684,0.0056476844544276,-204.01552,-0.000154865757298387
"58",-0.00207889170446843,-0.00489947611710324,-0.00222001471029916,-0.00231487179487179,0.000521636363636364,0.00501897392090455,-199.35532,-0.000198839980749861
"59",-0.00249156490530617,-0.00468658530405405,-0.00293119532583735,-0.00254310796610548,-0.000903174268457774,0.00384735525253804,-225.62366,-0.000271153655879757
"60",-0.00246778288845634,-0.00483188105148855,-0.00272297323729474,-0.00218762727556934,5.869051173769e-05,0.0041523440834982,-199.0489,-0.00012189148237343
"61",-0.00171330281580695,-0.0044919391025641,-0.00167016051867392,-0.00137636363636364,0.000893959007551241,0.00440256771751575,-121.26586,-9.10889299540041e-05
"62",-0.00249567789349198,-0.00473238681318681,-0.00227982583248842,-0.0023683939038687,0.000864548494983278,0.00448364330510023,-206.80934,-0.000387124358109853
"63",-0.00296041265038542,-0.00599290304523063,-0.00318896917959824,-0.00298662103733748,-0.000420407457552693,0.00498767732467379,-205.46744,-0.000486501632040264
"64",-0.00277324704096494,-0.00600589108910891,-0.0035715409920482,-0.00283453712190651,7.35294117647059e-05,0.00577425056822989,-270.38604,-0.00013350741378265
"65",-0.00215465599426306,-0.00642746955345061,-0.00343556118910478,-0.00205391785150079,-0.000452097334878331,0.00519909946524005,-204.3131,-0.000345077828861011
"66",-0.0027320565423228,-0.00541732323232323,-0.00267332082427874,-0.00227559633027523,0.000170068634179822,0.00417408761380147,-244.10652,-0.000377422713906658
"67",-0.00313310718101838,-0.00585372902152314,-0.00329753294285301,-0.00291152246091997,-7.3469387755102e-05,0.00490333004901915,-313.74622,-0.000222743545011664
"68",-0.00323186580177164,-0.00733062447755871,-0.00380646142144752,-0.00340387093298858,-0.000306801842054745,0.00522395801801601,-231.6763,-0.000149336887941274
"69",-0.00216681948233415,-0.00491970501474926,-0.00241028649980943,-0.00192036469730124,0.000574252873563218,0.00547808397118703,-130.26052,-0.000289775130517663
"70",-0.00244382744691626,-0.00469611737218252,-0.00246765235537252,-0.00227747747747748,0.000323039365115004,0.00457842083338606,-207.51272,-0.000334852433132807
"71",-0.00155692581243143,-0.00470075865363662,-0.00231005976642448,-0.00169456613038703,0.000967087765957447,0.00559876949751836,-123.46266,-0.000106087292706845
"72",-0.00338974367232217,-0.00661182366230779,-0.0034215398408203,-0.00303377542783339,-0.00083187350571595,0.00462167483540823,-231.55678,-0.000177768363565118
"73",-0.00198283505944175,-0.00446135951005261,-0.00248595498469809,-0.00226978562421185,0.000256413790348354,0.00466743933291743,-168.28916,-0.000120329086038058
"74",-0.0015940688606159,-0.00372235769330903,-0.00180009876353387,-0.00139279000359583,0.000384600807290477,0.00620613323339155,-123.66308,-0.000258334874148081
"75",-0.00233715008589724,-0.00523034596796696,-0.00325821981090506,-0.00254861549649246,9.59305555555556e-05,0.00499302836497397,-149.64772,-9.94545201862275e-07
"76",-0.00215305156661821,-0.00483257918552036,-0.00201657014203076,-0.00218041484716157,0.000145615251299827,0.00472077682910368,-182.16754,-0.000152627759237034
"77",-0.00212626465080796,-0.00446773300095877,-0.00179987445167776,-0.00139127114020731,0.000443635568405056,0.00514008118091778,-122.63444,-7.9229492138413e-05
"78",-0.00105139542839372,-0.00466241134751773,-0.00135336359738938,-0.00114943582510578,0.00103888888888889,0.00389793853768716,-67.61524,-9.75791402587284e-05
"79",-0.00193097494757035,-0.00430148387096774,-0.00223548206384211,-0.00202112994350282,0.000363636363636364,0.00447505648394453,-118.7762,4.61391345923978e-06
"80",-0.00241129969178159,-0.00598632398753894,-0.00291554719163818,-0.00201084010840108,0.000327350427350427,0.00569452435265089,-107.17986,-0.000156163581575549
"81",-0.00262700647119917,-0.00423982899796676,-0.00167006102232948,-0.00176256939775238,0.000157002784868879,0.00480228408773644,-131.52896,-0.000271037706443457
"82",-0.00151045001518456,-0.00379755377281711,-0.00197352206362096,-0.00188669718770438,0.00033557596494064,0.00508312012480684,-109.42002,-2.2115951590248e-05
"83",-0.00248559882644686,-0.00449564404717829,-0.00190480222074003,-0.00255159146050026,0.00117405911606642,0.00484703880171364,-142.33036,-0.000325070976405798
"84",-0.00199178314015229,-0.00419792452830189,-0.00208335736761467,-0.00218022435897436,0.000603409795412275,0.00448982028685507,-176.30866,-0.000174792994360878
"85",-0.00170271926835829,-0.00411529721182393,-0.00259887939172995,-0.00153923028916888,5.91496705889024e-05,0.00476127319049976,-94.95214,-0.000149103761840439
"86",-0.00259509710812479,-0.00600546272985989,-0.00262843759190009,-0.00235724035608309,0.000418435713135095,0.00492067972278071,-109.3003,0
"87",-0.00221182915065547,-0.00496090766823161,-0.00255160251594992,-0.00209227326266196,0.000642372881355932,0.00441652620623164,-139.86944,-0.000339286279687538
"88",-0.00161236592587842,-0.00449620664739884,-0.00192594710917296,-0.00142605916983382,0.000747387165057835,0.00414265563943803,-150.83522,3.89926793668439e-05
"89",-0.00171942223850985,-0.0046316421056348,-0.00205199622068877,-0.00184625469566445,0.000823486488531074,0.00394029647720603,-136.06304,-9.78532959805531e-05
"90",-0.0022715153599059,-0.00473404282375678,-0.00238598057548447,-0.00193281725094578,0.000790419384492406,0.00461618011642203,-251.03652,-0.000152505181583899
"91",-0.00187684368060249,-0.00513007791421177,-0.00214376369771348,-0.001969302707137,0.00117996099427793,0.00469685926723467,-155.50776,-0.000170128100773648
"92",-0.00195131516274147,-0.00391074879723599,-0.00184602103203229,-0.00182229743992814,0.000134130695582627,0.00399253739121112,-162.22844,-0.000217906150525
"93",-0.00210989141248439,-0.00459933203878566,-0.00213524717049312,-0.00196888888888889,0.00101338327947708,0.00538483580240235,-199.3552,-3.05713392298758e-05
"94",-0.00165279558034042,-0.00407231145092136,-0.00212556447034074,-0.00200204301075269,-0.000105510821815065,0.00427625733976609,-158.8601,-0.000316824622904945
"95",-0.00202603398563459,-0.00478462668298654,-0.00204007556757345,-0.00170045921450151,0.000608202479338843,0.00440404929394234,-237.50386,-0.000198494393567181
"96",-0.00222907731200677,-0.00434145964849007,-0.00209758378688734,-0.00179466894218072,-3.0468164794008e-05,0.00401823015080902,-231.8976,-7.87083045799559e-05
"97",-0.00271867210276968,-0.00488655072463768,-0.00276703575779219,-0.0032165906362545,-0.000283164763458401,0.00338721816905377,-119.36058,-0.000656436828599537
"98",-0.00292117619268264,-0.00673056098964327,-0.00328488350417466,-0.00284241541482727,0.000245508038274483,0.00526277436567544,-321.5251,-0.000658459141003329
"99",-0.0025734846908208,-0.00587041493344211,-0.00365634946108959,-0.00292763226788432,-0.000831451147450873,0.00449727973802477,-244.83876,-0.000557823865811413
"100",-0.00207735331353167,-0.00484520636043805,-0.00213917543338118,-0.00159798596481239,0.00131348035614197,0.00492075753647091,-170.65042,-0.000983484545484295
"101",-0.00290845098905186,-0.00452942528532872,-0.00281116716475524,-0.00220198008835739,0.000125265756377642,0.00462938526014765,-250.24894,-0.000465498554248376
"102",-0.00271986817161023,-0.00532570561380625,-0.00342269765858056,-0.00284121528721402,-0.000345191724382739,0.0050640630432656,-186.51224,-0.000349561185459876
"103",-0.00194357372847943,-0.00413563809516987,-0.00240701729023908,-0.0022077119685752,0.00056627592546572,0.00475584540479765,-118.30922,-0.000497557663806421
"104",-0.00269523209087682,-0.0050281204016251,-0.00251680725514459,-0.00189345876162506,0.000295588461589483,0.00425984916063377,-189.81172,-0.00049290045666405
"105",-0.00316692064949223,-0.00576575674123451,-0.00362530602025969,-0.00189350633981403,0,0.00636843972348613,-165.58878,-0.000274646395786148
"106",-0.0019484790766611,-0.00393734995812785,-0.00197295025141283,-0.00148031104199067,0,0.0042085693366984,-185.36466,-0.000301329180614171
"107",-0.00292442178358576,-0.00527208447881104,-0.00282112214914329,-0.00271059829059829,0,0.00468212277307882,-213.939,-0.000174020516299537
"108",-0.00245794326010659,-0.00490782672895987,-0.00226186542296271,-0.001597466367713,0,0.00559516588857563,-151.27166,-0.000292945393280345
"109",-0.00327982012047195,-0.0048297265544309,-0.00293527652772554,-0.00258440402335089,0,0.00473131733241544,-277.14808,-0.000452210343859748
"110",-0.0032334562307818,-0.0054801756551793,-0.00253383709359466,-0.00148173072159606,0,0.00451569944541015,-217.67304,-0.000678252381044187
"111",-0.00268337551150367,-0.00579774837737113,-0.00304324323295733,-0.00279370254924585,0.000208207617354665,0.00450656493584583,-227.54756,-0.000163833420839155
"112",-0.00254803611126784,-0.00603797238331952,-0.00299056829243549,-0.00261981254040078,0.000180222578912677,0.00524914412950613,-225.79422,-0.000390155268527406
"113",-0.00280588915294314,-0.00536049436881188,-0.00368519842131702,-0.00321905971479501,-0.00117503565223338,0.00480114011004992,-234.95674,-0.00050600521434137
"114",-0.00278973882354957,-0.00495491663508905,-0.00283854318032024,-0.00250271153506448,0,0.00393889432672501,-325.6769,-0.000407582969564205
"115",-0.00320019442463332,-0.00644886256354394,-0.00371773781652845,-0.00330147530468249,-0.00107601881220606,0.00421471263218925,-206.40614,-0.00064624494987719
"116",-0.0029882141373178,-0.00503421383647799,-0.00323825365843206,-0.0026923494687131,-0.0012879511614056,0.00338488146949979,-179.79188,-0.000222519258986135
"117",-0.00236399086998508,-0.00419561280918857,-0.00259219610616923,-0.00220411239495798,-0.00121438757494909,0.00275107104004886,-80.78466,-0.000727681026840063
"118",-0.00308433364009035,-0.00579460355072464,-0.00336194991119077,-0.00272943964950352,-0.000669869001265649,0.00416321771366485,-184.3352,-0.000162252067844717
"119",-0.00222851379291583,-0.00484050962519761,-0.00291720656357157,-0.00243580176843879,6.34164555656173e-05,0.00434885412966051,-163.83142,-0.000173291590377378
"120",-0.00264562312517044,-0.00493026497978827,-0.00289471919059557,-0.0037383537502622,-0.000482832196380869,0.00387753213244861,-126.1195,-0.000402160479845444
