"id","qdap_value","qdap_nword","sent_nneg","sent_npos","sent_negv","sent_posv","sent_nwords","sent_val","posextind","negextind","valuext"
"50363",0.0401031968371888,1629,29,35,-8.3548,4.479,1629,-3.8758,3.1449,-6.7514,-3.6065
"50364",0.0291957422397327,1055,25,24,-8.1153,0.6965,1057,-7.4188,0.4481,-7.8899,-7.4418
"50365",0.0745074677398446,1255,30,55,-10.9673,2.4045,1253,-8.5628,2.1498,-9.6502,-7.5004
"50366",0.0629671817646418,1261,38,22,-10.0947,0.9252,1260,-9.1695,0.8492,-8.4403,-7.5911
"50367",-0.0598201237619628,1160,17,37,-3.6947,2.5214,1159,-1.1733,1.8403,-2.8865,-1.0462
"50368",-0.0214864768917047,473,12,14,-1.185,0.4652,474,-0.7198,0.3398,-1.0305,-0.6907
"50369",-0.0936860768472289,402,8,12,-2.0557,0.4047,409,-1.651,0.3607,-1.9734,-1.6127
"50370",-0.000490747728811182,768,22,31,-5.7569,4.4993,771,-1.2576,3.3541,-5.5932,-2.2391
"50371",-0.0294060879305642,542,12,16,-4.0914,1.2737,542,-2.8177,1.1645,-4.0335,-2.869
"50372",0.0531691041605563,1042,50,28,-11.6673,3.0261,1045,-8.6412,2.3027,-8.657,-6.3543
"50373",0.00933044233651392,882,21,33,-7.1499,4.6229,880,-2.527,3.4792,-3.3929,0.0863
"50374",-0.0355207051834846,1530,35,48,-7.7503,2.2968,1530,-5.4535,2.1368,-6.6824,-4.5456
"50375",-0.0721148342545221,1084,31,31,-8.5371,3.008,1087,-5.5291,2.6,-5.7468,-3.1468
"50376",-0.103529706151365,717,19,34,-5.3181,1.3772,720,-3.9409,1.0386,-4.892,-3.8534
"50377",0.0103749989814329,1656,23,47,-5.8563,2.293,1655,-3.5633,1.9777,-4.4965,-2.5188
"50378",-0.025976520789993,1632,39,38,-10.1484,4.8115,1636,-5.3369,4.4454,-8.66,-4.2146
"50379",-0.123787946508121,1577,28,47,-6.7713,2.8598,1577,-3.9115,2.1887,-6.2278,-4.0391
"50380",0.0162853388596311,1771,37,74,-12.0508,7.8717,1771,-4.1791,4.8463,-8.9722,-4.1259
"50381",-0.0652194259002186,1525,60,51,-9.8835,4.7257,1529,-5.1578,3.8279,-7.6079,-3.78
"50382",0.0652530865708094,912,22,45,-5.2077,6.1469,915,0.9392,5.2719,-4.2317,1.0402
"50383",0.0157158862614461,1099,14,42,-5.022,1.7392,1097,-3.2828,1.2734,-4.3069,-3.0335
