"title","number","date","keywords","link"
"Ces Allemands!","2002.36.28196","2002-08-29","Politik, , Edmund Stoiber, Gerhard Schröder, Helmut Kohl, Dialekt, Eliteschule, Jeans, Kanzleramt, U-Bahn, Frankreich","http://www.zeit.de/2002/36/Ces_Allemands_"
"Im Krebsgang","2002.36.28197","2002-08-29","Politik, , CDU, CSU, Bundesanstalt für Arbeit, Günther Beckstein, Brot, Geld, Innenminister, Karriere, Wahl, USA, Großbritannien","http://www.zeit.de/2002/36/Im_Krebsgang"
"Krieg gegen die Armen","2002.36.28198","2002-08-29","Politik, , Entwicklungsplan, Krieg, CDU, CSU, Flutkatastrophe, Freihandel, Mosambik, Protektionismus, Weltbank, Simbabwe, Thailand, USA, Afrika, Europa, Johannesburg, Chicago, Elbe","http://www.zeit.de/2002/36/Krieg_gegen_die_Armen"
"Demokratie aus dem Kanonenrohr","2002.36.28199","2002-08-29","Politik, , Kriegsgegner, George W.  Bush, Saddam Hussein, Demokratie, Dick Cheney, Henry Kissinger, Winston Churchill, James Baker, Zbigniew Brzezinski, Irak, Saudi Arabien, USA, Massenvernichtungswaffe, Terrorismus, Vizepräsident, Iran, Israel, Washington D.C., Europa","http://www.zeit.de/2002/36/Demokratie_aus_dem_Kanonenrohr"
"WORTE DER WOCHE","2002.36.28200","2002-08-29","Politik, , CDU, Gerhard Schröder, SPD, Jürgen Möllemann, Bundeskanzler, Bundestagswahl, Krieg, Ministerpräsident, Präsident, Wladimir Putin, Regierung, Richard Cheney, Schauspieler, TV-Duell, Terrorismus, Vizepräsident, Walter Döring, USA","http://www.zeit.de/2002/36/WORTE_DER_WOCHE"
"Die Deutschen","2002.36.28201","2002-08-29","Politik, , Tier, Bonn, Mallorca, Oder","http://www.zeit.de/2002/36/Die_Deutschen"
"Der Kuss des großen Onkels","2002.36.28202","2002-08-29","Politik, , Weißrussland, Wladimir Putin, Alexander Lukaschenko, Dialekt, Diesel, Präsident, Weißrussland, Russland, Sowjetunion, Tschetschenien, Sowjetunion, Minsk, Moskau","http://www.zeit.de/2002/36/Der_Kuss_des_grossen_Onkels"
"Auf frecher Mission","2002.36.28203","2002-08-29","Politik, , Gerhard Schröder, Ludwig Stiegler, Friedrich Merz, Peter Struck, Rudolf Scharping, SPD, CSU, Helmut Schmidt, Bayern, Berlin","http://www.zeit.de/2002/36/Auf_frecher_Mission"
"Altmacht","2002.36.28204","2002-08-29","Politik, , Erhard Eppler, Heiner Geißler, Horst Ehmke, MTV, Nike, Peter Glotz, Alter, Fernsehen, Friedrich Nowottny, Peter Boenisch, Edmund Stoiber, Viva, Oder","http://www.zeit.de/2002/36/Altmacht"
"Terror verboten","2002.36.28205","2002-08-29","Politik, , Parteiverbot, Baltasar Garzón, NPD, Eta, Attentat, Demokratie, Drama, Drehbuch, Müll, Parlament, Strafrecht, Terrorismus, Regisseur, Spanien, Verfassung","http://www.zeit.de/2002/36/Terror_verboten"
"Vergesst Johannesburg ...","2002.36.28206","2002-08-29","Politik, , Gerhard Schröder, Umweltpolitik, Vereinte Nationen, Armut, Bevölkerungswachstum, Dollar, Energiewirtschaft, Entwicklungshilfe, Freihandel, Gletscher, Klimaschutz, Treibhausgas, Umwelt, Südafrika, Johannesburg, Elbe, Rio de Janeiro, Woodstock","http://www.zeit.de/2002/36/Vergesst_Johannesburg_"
"Wahl$treet","2002.36.28207","2002-08-29","Politik, , Gerhard Schröder, SPD, CDU, CSU, Edmund Stoiber, FDP, Aktie, Information, Internet, PDS, TV-Duell, Wahl","http://www.zeit.de/2002/36/Wahl$treet"
"Die heimliche Hausmacht","2002.36.28208","2002-08-29","Politik, , Beamtenmacht, Renate Künast, Edmund Stoiber, Hermann Scheer, CDU, Gregor Gysi, Grüne, Bundeswirtschaftsministerium, CSU, Finanzministerium, Andrea Fischer, Europaparlament, Kanzleramt, Staatssekretär, Brüssel","http://www.zeit.de/2002/36/Die_heimliche_Hausmacht"
"Die Wippelbrüder","2002.36.28209","2002-08-29","Politik, , Gerhard Schröder, SPD, FDP, Grüne, Guido Westerwelle, Joschka Fischer, Bundesanstalt für Arbeit, Peter Hartz, Arbeitslose, Rentenreform, Staatsverschuldung, Vertrauensfrage, Edmund Stoiber, Sachsen-Anhalt","http://www.zeit.de/2002/36/Die_Wippelbrueder"
"Sekundäre Flutopfer","2002.36.28210","2002-08-29","Politik, , Bühne, FDP, Guido Westerwelle, Flut, Gaststätte, Katastrophe, PDS, Patriotismus, Solidarität, Volksparteien, Wasser","http://www.zeit.de/2002/36/Sekundaere_Flutopfer"
