"title","number","date","keywords","link"
"ANC-Führer Nelson Mandela und Südafrikas Präsident Frederik de Klerk: Zwei Rivalen, die Frieden wollen |","1994.1.6262","1993-12-31","DIE ZEIT, ANC-Führer Nelson Mandela und Südafrikas Präsident Frederik de Klerk, Präsident, Frederik Willem de Klerk, Frieden, Südafrika, ANC, Apartheid, Afrika, Damaskus, Johannesburg, Oslo, Osteuropa","http://www.zeit.de/1994/01/zwei-rivalen-die-frieden-wollen"
"In Bosnien gibt es keine Sieger |","1994.1.6263","1993-12-31","DIE ZEIT, , Cyrus Vance, Slobodan Miloševic, Bosnien und Herzegowina, CIA, David Owen, Europäische Union, Aufsteiger, Baseball, Bosnien und Herzegowina, Gewalt, Intervention, Parlamentswahl, Radovan Karadžic, Sanktion, Serbien, Balkan","http://www.zeit.de/1994/01/in-bosnien-gibt-es-keine-sieger"
"BUCH IM GESPRÄCH: Im Dschungel der Computer |","1994.1.6264","1993-12-31","DIE ZEIT, BUCH IM GESPRÄCH, Buch, Gespräch, Computer, Cartoon, Dschungel, Informatik, Körper, München","http://www.zeit.de/1994/01/im-dschungel-der-computer"
"Hinweis |","1994.1.6265","1993-12-31","DIE ZEIT, , Biografie, Jugendliche, Sachsenring, Vertrieb, Hamburg, Köln, Reinbek","http://www.zeit.de/1994/01/hinweis"
"Hillary Rodham Clinton prägt die amerikanische Präsidentschaft wie keine First Lady vor ihr: Power-Frau im Weißen Haus |","1994.1.6266","1993-12-31","DIE ZEIT, Hillary Rodham Clinton prägt die amerikanische Präsidentschaft wie keine First Lady vor ihr, Bill Clinton, Barbara Bush, Bill Clinton, George McGovern, Jura, Präsidentschaft, USA, Arkansas, Europa, Texas, Washington D.C","http://www.zeit.de/1994/01/power-frau-im-weissen-haus"
"Das Menetekel von Mogadischu |","1994.1.6267","1993-12-31","DIE ZEIT, , Vereinte Nationen, Mogadischu, Frieden, Hungersnot, Jagd, Krieg, Somalia, Völkerbund, Waffenstillstand, Nordkorea, Serbien, Sudan, Afrika, Balkan, New York","http://www.zeit.de/1994/01/das-menetekel-von-mogadischu"
"Eine Insel, im Meer versunken: Zur Rezeptionsgeschichte eines Mythos: Auf der Suche nach Atlantis |","1994.1.6268","1993-12-31","DIE ZEIT, Eine Insel, im Meer versunken: Zur Rezeptionsgeschichte eines Mythos, Platon, Atlantis, Francis Bacon, Thomas Morus, U-Boot, Ägypten, Athen, Gibraltar, Helgoland, Köln, München","http://www.zeit.de/1994/01/auf-der-suche-nach-atlantis"
"Wolfgang Ebert: Killer-Wähler |","1994.1.6269","1993-12-31","DIE ZEIT, Wolfgang Ebert, Interpol, Kommunalwahl, Parlamentswahl, Superwahljahr, Demokratie, Italien, Japan, Kanada, Litauen, Polen, Russland, Wolfgang Ebert, Bonn, Washington D.C","http://www.zeit.de/1994/01/killer-waehler"
"Israels Ministerpräsident Jitzhak Rabin und Palästinenserführer Jassir Arafat: Zwei Einsame, die sich durchsetzen |","1994.1.6270","1993-12-31","DIE ZEIT, Israels Ministerpräsident Jitzhak Rabin und Palästinenserführer Jassir Arafat, Jassir Arafat, Ministerpräsident,  Jitzchak Rabin, PLO, Israel, Abu Nidal, Israel, Jizchak Rabin, Palästinenser, Siedlungspolitik, Jassir Arafat, Jizchak Rabin, USA, Palästina, Gaza, Jerusalem, Kairo, Kuwait, Washington D.C., Westjordanland","http://www.zeit.de/1994/01/zwei-einsame-die-sich-durchsetzen"
"Tomaten: Fauler Trick |","1994.1.6271","1993-12-31","DIE ZEIT, Tomaten, Niederlande, Jahreszeit, Waren","http://www.zeit.de/1994/01/fauler-trick"
