"id","qdap_value_ampl","qdap_nword"
"49915","-3.5373","1154"
"49916","3.17464","1732"
"49917","-3.52678","3533"
"49918","0.3035","229"
"49919","-6.1715","822"
"49920","-1.97618","1617"
"49921","-3.01956","1254"
"49922","-2.64412","1711"
"49923","-7.26268","1038"
"49924","0.97252","1497"
"49925","-5.99116","1378"
"49926","-10.96828","692"
"49927","2.5014","648"
"49928","-13.41866","1706"
"49929","-0.36418","865"
"49930","3.39134","2447"
"49931","-0.87568","748"
"49932","2.78208","1671"
"49933","-4.0187","898"
"49934","-3.0017","419"
"49935","-0.9192","2210"
