"id","qdap_value_ampl","qdap_nword"
"52354","-3.1717","503"
"52355","-7.3431","678"
"52356","-2.4027","1116"
"52357","-0.2044","254"
"52358","-9.26234","2114"
"52359","-4.24862","3873"
"52360","-3.4281","390"
"52361","-3.46032","794"
"52362","-0.8458","793"
"52363","-4.88858","352"
"52364","-2.59012","2072"
"52365","2.28492","1388"
"52366","-7.2302","2159"
"52367","-0.94496","543"
"52368","-1.62126","2666"
"52369","2.6571","1025"
"52370","-6.0786","720"
"52371","-7.194","1470"
"52372","-4.63618","827"
"52373","-1.06774","611"
"52374","-17.70606","1450"
"52375","-7.52518","1132"
"52376","-1.26138","584"
"52377","-4.1679","445"
