"id","qdap_value","qdap_nword","sent_nneg","sent_npos","sent_negv","sent_posv","sent_nwords","sent_val","posextind","negextind","valuext","issue","year"
"5643",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"26","1993"
"5644",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"26","1993"
"5645",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"26","1993"
"5646",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"26","1993"
"5647",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"26","1993"
"5648",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"26","1993"
"5649",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"26","1993"
"5650",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"26","1993"
"5651",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"26","1993"
"5652",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"26","1993"
"5653",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"26","1993"
"5654",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"26","1993"
"5655",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"26","1993"
"5656",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"26","1993"
"5657",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"26","1993"
"5658",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"26","1993"
"5659",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"26","1993"
"5660",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"26","1993"
"5661",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"26","1993"
"5662",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"26","1993"
"5663",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"26","1993"
