"","mse","rank.mean","rmse","rank.rmse","rank.rank.mean","cw.p"
"MT.all",206.875099356909,81.2181818181818,14.3831533175764,51,57,0.291176852116172
"MT.de",217.102216964298,79.7454545454545,14.7343889240205,77,49,0.88326197873908
"MT.presence",208.162726472538,80.2272727272727,14.4278455242818,54,53,0.361937290580928
"MT.future",214.377417949408,85.4727272727273,14.641633035608,70,93,0.284467613402206
"MT.climate",203.571632758491,82.1454545454545,14.2678531236655,32,66,0.186037340016845
"MT.de.present",217.852314127667,82.5909090909091,14.759820938198,78,68,0.84828089902428
"MT.de.future",206.497127189652,77.2909090909091,14.3700079049962,49,31,0.119854910792359
"MT.de.climate",215.305411606833,78.4363636363636,14.6732890521121,75,42,0.88687060073943
"MT.currency",211.584100224444,78.3,14.5459307101486,64,40,0.561461467930308
"MT.taxation",210.946813172424,83.4545454545455,14.5240081648429,60,79,0.272600691581516
"MT.cycle",189.599538973345,73.6363636363636,13.769514841611,10,13,0.0519235099341037
"MT.labor",213.7197529975,78.3181818181818,14.619157054957,68,41,0.484289473106093
"MT.budget",200.523932227877,86.0818181818182,14.1606473096351,24,97,0.417663661164536
"MT.de.taxation",206.479702933127,77.2909090909091,14.3694016205661,48,31,0.15027763267485
"MT.de.cycle",205.525125978605,83.8272727272727,14.3361475291867,42,82,0.184259188826968
"MT.de.labor",214.980975138402,75.2272727272727,14.6622295418672,72,21,0.327067031353632
"MT.de.budget",205.080329453252,85.1090909090909,14.3206260147122,37,91,0.654879032680931
"DMT.all",204.092204976977,78.9818181818182,14.2860843122592,33,44,0.232507995817642
"DMT.future",219.116317400798,81.9090909090909,14.8025780660261,82,64,0.73607455903651
"DMT.presence",200.609452458299,76.5727272727273,14.1636666318541,25,28,0.171220736581048
"DMT.climate",201.603199545158,75.7181818181818,14.1987041502089,26,23,0.243155294754254
"DMT.de",214.718636611686,73.4363636363636,14.653280745679,71,8,0.862061788749633
"DMT.de.future",221.947177330383,87.2363636363636,14.8978917075666,91,104,0.669856394230356
"DMT.de.present",208.293853579366,76.0454545454545,14.4323890461477,55,26,0.823182115301103
"DMT.de.climate",223.752198502282,79.5909090909091,14.9583487892976,93,47,0.927680400484641
"DMT.budget",199.545791829288,82.8636363636364,14.1260678120023,21,71,0.0993566822481757
"DMT.currency",205.383996553229,77.2909090909091,14.3312245308358,41,31,0.0327635166579031
"DMT.labor",215.239292220521,74.9181818181818,14.6710358264344,74,20,0.340386964172206
"DMT.cycle",209.980017692452,71.9363636363636,14.4906872746758,58,6,0.303472876362614
"DMT.taxation",253.257592055138,94.7272727272727,15.9140689974355,138,141,0.732581825124406
"DMT.de.budget",208.629296755441,79.9363636363636,14.4440055647816,56,51,0.724803423037743
"DMT.de.labor",214.169079829686,73.5909090909091,14.6345167268922,69,12,0.339067836021862
"DMT.de.cycle",202.886005665726,73.5727272727273,14.2438058701221,29,11,0.891902953972795
"DMT.de.taxation",226.784046382492,84.0636363636364,15.0593507955188,95,85,0.453908668834256
