"","mse","rank.mean","rmse","rank.rmse","rank.rank.mean","cw.p"
"MT.all",1081.39285829349,89.6415094339623,32.8845382861534,149,115,0.853927792244683
"MT.de",1130.36685713627,80.6981132075472,33.6209288559414,158,67,0.845638858833124
"MT.presence",1102.10843984513,86.1698113207547,33.1980186132414,155,91,0.807227964707354
"MT.future",1029.20100989993,89.0849056603774,32.0811628514293,119,105,0.160725516317074
"MT.climate",1083.50842828445,90.6698113207547,32.9166892060008,151,118,0.795756485634564
"MT.de.present",1112.57567469451,79.6509433962264,33.355294552657,156,62,0.789302831917312
"MT.de.future",1121.87481867875,86.7358490566038,33.494399810696,157,94,0.83776716319608
"MT.de.climate",1135.30417115469,87.1603773584906,33.694275050143,159,96,0.852402315946272
"MT.currency",1044.68766448565,81.0849056603774,32.3216284318357,132,69,0.062836157123773
"MT.taxation",1035.97964558088,61.811320754717,32.186637686793,125,1,0.946716238234445
"MT.cycle",916.144760792905,77.2358490566038,30.2678833219785,93,53,0.101576049793416
"MT.labor",1001.34281958658,62.1603773584906,31.6440013207334,105,2,0.129236807557119
"MT.budget",1037.34524291624,94.1603773584906,32.2078444313841,128,127,0.455801109656359
"MT.de.taxation",1009.75618274791,65.7830188679245,31.7766609754378,107,4,0.167966337823159
"MT.de.cycle",1060.93218605616,86.6132075471698,32.5719539797072,142,93,0.550686001546528
"MT.de.labor",1003.83575098152,70.6037735849057,31.6833671029693,106,28,0.108074566249688
"MT.de.budget",1097.76549792752,84.3490566037736,33.1325443925987,154,84,0.811984497115701
"DMT.all",1040.6867091162,67,32.2596762091036,130,9,0.747034241577922
"DMT.future",1065.97483119021,72,32.649269994752,145,34,0.865549789948122
"DMT.presence",1029.94760274689,67.2358490566038,32.0927967423672,121,12,0.0868658187745253
"DMT.climate",1047.89524524522,68.2358490566038,32.3712101294533,135,15,0.825558755811583
"DMT.de",1043.03109703404,66.4433962264151,32.2959919654753,131,7,0.74279839017161
"DMT.de.future",1063.05406584288,71.2924528301887,32.6045099003631,144,31,0.850138759137591
"DMT.de.present",1036.06016479049,66.4245283018868,32.1878884798381,126,6,0.316563461307365
"DMT.de.climate",1045.33787957267,67.9056603773585,32.3316853809489,133,14,0.753091155754056
"DMT.budget",936.142749647393,66.7735849056604,30.5964499517083,96,8,0.126880650719842
"DMT.currency",1019.96883696964,68.9811320754717,31.9369509654514,110,20,0.113650672061335
"DMT.labor",1025.03340684091,72.1981132075472,32.0161429101151,115,37,0.140712134962134
"DMT.cycle",1059.24686787764,72.1037735849057,32.5460730024014,141,36,0.840509772686618
"DMT.taxation",1048.39794218282,74.3584905660377,32.3789737666718,136,40,0.885302464825059
"DMT.de.budget",1011.54017294633,69.2264150943396,31.8047193502211,108,21,0.111469089732298
"DMT.de.labor",1028.50932913657,73.0471698113208,32.0703808698396,117,38,0.155128595690019
"DMT.de.cycle",1077.23799614435,78.7641509433962,32.8213039982319,148,59,0.64287704287349
"DMT.de.taxation",1021.51627232863,73.5377358490566,31.9611681940544,112,39,0.158236728720687
