"","mse","rank.mean","rmse","rank.rmse","rank.rank.mean","cw.p"
"MT.all",646.735476352372,94.5096153846154,25.43099440353,136,129,0.215177980318683
"MT.de",664.927801102568,83.5769230769231,25.7861940018795,149,83,0.585402845574054
"MT.presence",670.740156240233,107.115384615385,25.8986516297709,154,157,0.0267285654675175
"MT.future",605.775690876977,83.3173076923077,24.6125108608808,90,76,0.154193456092387
"MT.climate",653.166442490067,91.1730769230769,25.5571211698436,142,117,0.480740038325757
"MT.de.present",668.853516178991,92.2884615384615,25.8622024618746,152,123,0.0095779168879182
"MT.de.future",669.371373551297,80.6923076923077,25.8722123822316,153,64,0.856556912740503
"MT.de.climate",663.271153559937,82.3942307692308,25.7540512067507,148,74,0.786214989008977
"MT.currency",603.355367845242,77.7019230769231,24.5632930985493,88,49,0.0780085752821672
"MT.taxation",624.891298483615,68.1057692307692,24.9978258751359,111,14,0.122606728296302
"MT.cycle",512.098377527401,76.4326923076923,22.6295907503296,67,47,0.118863605319632
"MT.labor",619.631166272354,68.8461538461538,24.8923917346717,106,18,0.177155410903248
"MT.budget",656.734988700733,93.7211538461538,25.6268411767961,146,124,0.768605867250512
"MT.de.taxation",622.296681747594,67.0769230769231,24.9458750447362,108,10,0.343514327350336
"MT.de.cycle",625.393621382248,86.8942307692308,25.0078711885328,113,105,0.0430624006369255
"MT.de.labor",619.287148356709,77.2884615384615,24.8854806736118,105,48,0.123371290227685
"MT.de.budget",665.271336994853,83.375,25.7928543785843,150,78,0.69177299679876
"DMT.all",648.608377547301,78.3076923076923,25.4677909828729,138,50,0.454021564972177
"DMT.future",654.939639519338,68.2403846153846,25.5917885174002,144,15,0.865166970339519
"DMT.presence",630.211546535284,81.0576923076923,25.1040145501727,121,65,0.0561477897898116
"DMT.climate",639.366179988159,65.9615384615385,25.2856912104091,132,4,0.783304160348113
"DMT.de",615.920701342942,64.6057692307692,24.8177497235938,98,2,0.0924355178087536
"DMT.de.future",648.491215679025,66.5769230769231,25.4654906820785,137,6,0.851975329979575
"DMT.de.present",609.769962818675,65.125,24.6935206647144,92,3,0.0967151737920851
"DMT.de.climate",635.844125942838,67.0769230769231,25.2159498322557,127,10,0.538624859916298
"DMT.budget",608.607135928822,66.8076923076923,24.6699642466061,91,8,0.13036691940135
"DMT.currency",624.965873524353,69.4807692307692,24.9993174611699,112,20,0.122066461766638
"DMT.labor",628.372369473118,71.7884615384615,25.0673566510934,114,36,0.523646651194208
"DMT.cycle",635.206806199081,70.1153846153846,25.2033094294992,126,22,0.606226161041259
"DMT.taxation",634.665586377451,71.2980769230769,25.192570062966,125,34,0.856021339736782
"DMT.de.budget",630.111157167754,70.2980769230769,25.1020150021418,120,23,0.249907123318129
"DMT.de.labor",628.406452602735,70.5,25.068036472822,115,25,0.486919596020919
"DMT.de.cycle",657.900984018395,86.2788461538462,25.6495805817248,147,103,0.0259465352126621
"DMT.de.taxation",622.627346453194,71.0192307692308,24.9525018074981,109,31,0.208489316912946
