"","mse","rank.mean","rmse","rank.rmse","rank.rank.mean","cw.p"
"MT.all",943.976899446992,84.3364485981308,30.7242070596947,153,86,0.873464313361859
"MT.de",995.775110840035,84.9719626168224,31.5559045321163,161,89,0.87545852940917
"MT.presence",948.759653328222,82.018691588785,30.8019423629131,154,73,0.865173234463717
"MT.future",883.177263670421,88.7570093457944,29.7182984652625,134,112,0.298891770387021
"MT.climate",941.746962804354,87.1869158878505,30.6878960309167,152,99,0.863177181995504
"MT.de.present",967.039406304534,83.5327102803738,31.0972572151393,156,80,0.873855017311964
"MT.de.future",965.592313236866,87.8130841121495,31.0739812904119,155,106,0.845652331491876
"MT.de.climate",991.676051806131,87.2990654205608,31.4908883934088,159,101,0.872304752015947
"MT.currency",889.40309601948,78.6635514018692,29.8228619689573,136,58,0.546112136660513
"MT.taxation",871.082794392392,64.785046728972,29.5141117838974,122,2,0.881159431789748
"MT.cycle",858.287223084418,74.3457943925234,29.296539438719,109,41,0.201223946049203
"MT.labor",864.188053664278,70.1121495327103,29.3970755971453,115,19,0.356725914674007
"MT.budget",921.561696672899,88.1869158878505,30.3572346677509,151,108,0.907319012308314
"MT.de.taxation",850.355084062306,67.4579439252336,29.1608484798078,106,10,0.195483273127522
"MT.de.cycle",993.119166760005,83.2990654205608,31.5137932778649,160,76,0.835591040300016
"MT.de.labor",861.711957176206,72.5981308411215,29.3549307131904,114,30,0.231930722252634
"MT.de.budget",916.831125690095,79.4392523364486,30.2792193705534,148,64,0.871521784017695
"DMT.all",871.500527080259,68.5794392523364,29.5211877654043,123,14,0.47101820310546
"DMT.future",893.465101912505,70.7102803738318,29.890886602985,139,21,0.862442710219206
"DMT.presence",858.714901272207,68.196261682243,29.303837654345,111,12,0.102797262641404
"DMT.climate",872.729447436713,66.3551401869159,29.5419946421482,124,6,0.430367326084407
"DMT.de",874.636517604757,66.3457943925234,29.5742543034437,125,5,0.766155988605153
"DMT.de.future",899.799553060768,72.3551401869159,29.996659031645,143,27,0.855712788911612
"DMT.de.present",865.325584510868,63.0560747663551,29.416416921693,116,1,0.0416729295424256
"DMT.de.climate",878.559126263356,66.5794392523364,29.6404980771808,132,8,0.701303758055767
"DMT.budget",796.659555725624,68.3457943925234,28.2251582055021,97,13,0.126225176797027
"DMT.currency",858.646939154284,72,29.302678020179,110,26,0.0882548455099648
"DMT.labor",854.020754963538,75.3551401869159,29.223633500363,108,44,0.167137487483113
"DMT.cycle",894.656639115641,71.1869158878505,29.9108114085132,140,24,0.834186615098915
"DMT.taxation",866.687244402259,72.8598130841121,29.4395523811463,118,33,0.297490993114987
"DMT.de.budget",841.893826155093,69.7570093457944,29.0154067032515,104,16,0.136242986760436
"DMT.de.labor",859.506031402803,73.0093457943925,29.3173332928287,112,34,0.164189540904551
"DMT.de.cycle",908.183000083858,71.0747663551402,30.1360747291988,146,23,0.835111281841096
"DMT.de.taxation",852.78565970747,72.7383177570093,29.20249406656,107,32,0.185443044289863
