"",BBK01.SU0316,BBK01.SU0316_FLAGS
"",Money market rates / EURIBOR three-month funds / Monthly average,
unit,% p.a. (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-02 15:04:55,
1999-01,3.13,
1999-02,3.09,
1999-03,3.05,
1999-04,2.70,
1999-05,2.58,
1999-06,2.63,
1999-07,2.68,
1999-08,2.70,
1999-09,2.73,
1999-10,3.38,
1999-11,3.47,
1999-12,3.45,
2000-01,3.34,
2000-02,3.54,
2000-03,3.75,
2000-04,3.93,
2000-05,4.36,
2000-06,4.50,
2000-07,4.58,
2000-08,4.78,
2000-09,4.85,
2000-10,5.04,
2000-11,5.09,
2000-12,4.94,
2001-01,4.77,
2001-02,4.76,
2001-03,4.71,
2001-04,4.68,
2001-05,4.64,
2001-06,4.45,
2001-07,4.47,
2001-08,4.35,
2001-09,3.98,
2001-10,3.60,
2001-11,3.39,
2001-12,3.34,
2002-01,3.34,
2002-02,3.36,
2002-03,3.39,
2002-04,3.41,
2002-05,3.47,
2002-06,3.46,
2002-07,3.41,
2002-08,3.35,
2002-09,3.31,
2002-10,3.26,
2002-11,3.12,
2002-12,2.94,
2003-01,2.83,
2003-02,2.69,
2003-03,2.53,
2003-04,2.53,
2003-05,2.40,
2003-06,2.15,
2003-07,2.13,
2003-08,2.14,
2003-09,2.15,
2003-10,2.14,
2003-11,2.16,
2003-12,2.15,
2004-01,2.09,
2004-02,2.07,
2004-03,2.03,
2004-04,2.05,
2004-05,2.09,
2004-06,2.11,
2004-07,2.12,
2004-08,2.11,
2004-09,2.12,
2004-10,2.15,
2004-11,2.17,
2004-12,2.17,
2005-01,2.15,
2005-02,2.14,
2005-03,2.14,
2005-04,2.14,
2005-05,2.13,
2005-06,2.11,
2005-07,2.12,
2005-08,2.13,
2005-09,2.14,
2005-10,2.20,
2005-11,2.36,
2005-12,2.47,
2006-01,2.51,
2006-02,2.60,
2006-03,2.72,
2006-04,2.79,
2006-05,2.89,
2006-06,2.99,
2006-07,3.10,
2006-08,3.23,
2006-09,3.34,
2006-10,3.50,
2006-11,3.60,
2006-12,3.68,
2007-01,3.75,
2007-02,3.82,
2007-03,3.89,
2007-04,3.98,
2007-05,4.07,
2007-06,4.15,
2007-07,4.22,
2007-08,4.54,
2007-09,4.74,
2007-10,4.69,
2007-11,4.64,
2007-12,4.85,
2008-01,4.48,
2008-02,4.36,
2008-03,4.60,
2008-04,4.78,
2008-05,4.86,
2008-06,4.94,
2008-07,4.96,
2008-08,4.97,
2008-09,5.02,
2008-10,5.11,
2008-11,4.24,
2008-12,3.29,
2009-01,2.46,
2009-02,1.94,
2009-03,1.64,
2009-04,1.42,
2009-05,1.28,
2009-06,1.23,
2009-07,0.97,
2009-08,0.86,
2009-09,0.77,
2009-10,0.74,
2009-11,0.72,
2009-12,0.71,
2010-01,0.68,
2010-02,0.66,
2010-03,0.64,
2010-04,0.64,
2010-05,0.69,
2010-06,0.73,
2010-07,0.85,
2010-08,0.90,
2010-09,0.88,
2010-10,1.00,
2010-11,1.04,
2010-12,1.02,
2011-01,1.02,
2011-02,1.09,
2011-03,1.18,
2011-04,1.32,
2011-05,1.43,
2011-06,1.49,
2011-07,1.60,
2011-08,1.55,
2011-09,1.54,
2011-10,1.58,
2011-11,1.48,
2011-12,1.43,
2012-01,1.22,
2012-02,1.05,
2012-03,0.86,
2012-04,0.74,
2012-05,0.68,
2012-06,0.66,
2012-07,0.50,
2012-08,0.33,
2012-09,0.25,
2012-10,0.21,
2012-11,0.19,
2012-12,0.19,
2013-01,0.20,
2013-02,0.22,
2013-03,0.21,
2013-04,0.21,
2013-05,0.20,
2013-06,0.21,
2013-07,0.22,
2013-08,0.23,
2013-09,0.22,
2013-10,0.23,
2013-11,0.22,
2013-12,0.27,
2014-01,0.29,
2014-02,0.29,
2014-03,0.31,
2014-04,0.33,
2014-05,0.32,
2014-06,0.24,
2014-07,0.21,
2014-08,0.19,
2014-09,0.10,
2014-10,0.08,
2014-11,0.08,
2014-12,0.08,
2015-01,0.06,
"",General: Euro Interbank Offered Rate: unweighted average rate calculated by Reuters since 30 December 1998 according to the act/360 method. Monthly averages are Bundesbank calculations. Data become fee liable from 1 January 2014 and therefore will be published with the delay of one working day.,
