"",BBDG1.M.HWWI.N.EURO.ENERGY00.INDBEU.HE.A,BBDG1.M.HWWI.N.EURO.ENERGY00.INDBEU.HE.A_FLAGS
"",HWWI Commodity Price Index / Energy raw materials / Euro area / Index based on Euro,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-03 13:08:20,
1978-09,18.1,
1978-10,17.5,
1978-11,19.9,
1978-12,20.3,
1979-01,23.2,
1979-02,30.1,
1979-03,29.3,
1979-04,28.1,
1979-05,38.3,
1979-06,45.0,
1979-07,41.1,
1979-08,42.2,
1979-09,43.2,
1979-10,46.9,
1979-11,50.5,
1979-12,49.1,
1980-01,44.8,
1980-02,42.7,
1980-03,45.3,
1980-04,46.5,
1980-05,44.6,
1980-06,43.5,
1980-07,41.8,
1980-08,38.9,
1980-09,41.2,
1980-10,46.1,
1980-11,52.0,
1980-12,52.7,
1981-01,52.2,
1981-02,52.9,
1981-03,52.3,
1981-04,53.2,
1981-05,52.4,
1981-06,51.5,
1981-07,56.2,
1981-08,58.4,
1981-09,55.6,
1981-10,55.3,
1981-11,56.3,
1981-12,56.7,
1982-01,56.6,
1982-02,50.5,
1982-03,48.9,
1982-04,56.3,
1982-05,57.1,
1982-06,59.6,
1982-07,58.7,
1982-08,57.9,
1982-09,61.6,
1982-10,62.6,
1982-11,60.4,
1982-12,55.1,
1983-01,53.2,
1983-02,51.5,
1983-03,50.4,
1983-04,53.8,
1983-05,53.8,
1983-06,56.9,
1983-07,57.9,
1983-08,60.2,
1983-09,58.8,
1983-10,56.8,
1983-11,56.5,
1983-12,57.4,
1984-01,60.2,
1984-02,58.6,
1984-03,57.2,
1984-04,58.1,
1984-05,59.9,
1984-06,58.2,
1984-07,58.5,
1984-08,60.0,
1984-09,63.1,
1984-10,62.5,
1984-11,61.4,
1984-12,62.3,
1985-01,63.7,
1985-02,69.0,
1985-03,69.1,
1985-04,63.3,
1985-05,61.5,
1985-06,60.0,
1985-07,57.5,
1985-08,57.0,
1985-09,58.3,
1985-10,56.6,
1985-11,58.0,
1985-12,50.2,
1986-01,40.1,
1986-02,31.6,
1986-03,26.3,
1986-04,22.8,
1986-05,25.2,
1986-06,21.8,
1986-07,17.6,
1986-08,23.7,
1986-09,23.9,
1986-10,23.3,
1986-11,24.6,
1986-12,26.3,
1987-01,27.9,
1987-02,25.9,
1987-03,27.0,
1987-04,26.3,
1987-05,26.7,
1987-06,27.5,
1987-07,29.6,
1987-08,28.5,
1987-09,27.0,
1987-10,27.4,
1987-11,24.6,
1987-12,23.8,
1988-01,23.1,
1988-02,22.1,
1988-03,21.0,
1988-04,23.0,
1988-05,23.0,
1988-06,22.6,
1988-07,23.6,
1988-08,23.4,
1988-09,21.1,
1988-10,19.6,
1988-11,19.8,
1988-12,22.8,
1989-01,25.9,
1989-02,25.8,
1989-03,28.7,
1989-04,30.4,
1989-05,29.5,
1989-06,29.0,
1989-07,28.1,
1989-08,27.6,
1989-09,29.0,
1989-10,29.6,
1989-11,28.8,
1989-12,28.7,
1990-01,28.8,
1990-02,27.6,
1990-03,26.9,
1990-04,24.8,
1990-05,24.4,
1990-06,23.1,
1990-07,24.6,
1990-08,33.3,
1990-09,41.6,
1990-10,42.7,
1990-11,38.4,
1990-12,33.3,
1991-01,29.1,
1991-02,23.3,
1991-03,25.2,
1991-04,27.3,
1991-05,28.0,
1991-06,27.7,
1991-07,29.1,
1991-08,29.0,
1991-09,29.0,
1991-10,30.8,
1991-11,28.7,
1991-12,24.6,
1992-01,24.0,
1992-02,24.7,
1992-03,25.0,
1992-04,26.3,
1992-05,26.9,
1992-06,27.6,
1992-07,25.3,
1992-08,24.2,
1992-09,25.0,
1992-10,26.1,
1992-11,26.4,
1992-12,25.3,
1993-01,25.0,
1993-02,26.5,
1993-03,27.1,
1993-04,26.3,
1993-05,26.1,
1993-06,25.7,
1993-07,25.3,
1993-08,25.5,
1993-09,23.8,
1993-10,24.9,
1993-11,23.8,
1993-12,21.3,
1994-01,21.9,
1994-02,21.5,
1994-03,20.6,
1994-04,22.6,
1994-05,23.9,
1994-06,24.5,
1994-07,24.9,
1994-08,24.2,
1994-09,22.8,
1994-10,22.7,
1994-11,23.7,
1994-12,23.3,
1995-01,23.4,
1995-02,23.6,
1995-03,22.5,
1995-04,23.8,
1995-05,24.2,
1995-06,22.7,
1995-07,21.1,
1995-08,22.0,
1995-09,22.7,
1995-10,21.5,
1995-11,22.2,
1995-12,23.8,
1996-01,23.6,
1996-02,23.6,
1996-03,25.3,
1996-04,27.5,
1996-05,26.1,
1996-06,25.2,
1996-07,26.3,
1996-08,27.0,
1996-09,30.2,
1996-10,32.3,
1996-11,30.4,
1996-12,31.9,
1997-01,32.5,
1997-02,30.5,
1997-03,29.5,
1997-04,27.6,
1997-05,28.8,
1997-06,27.4,
1997-07,28.6,
1997-08,30.1,
1997-09,29.2,
1997-10,30.7,
1997-11,29.1,
1997-12,27.3,
1998-01,25.0,
1998-02,23.6,
1998-03,22.4,
1998-04,22.9,
1998-05,22.8,
1998-06,21.6,
1998-07,20.9,
1998-08,19.9,
1998-09,20.7,
1998-10,19.4,
1998-11,18.0,
1998-12,15.8,
1999-01,17.0,
1999-02,16.9,
1999-03,20.8,
1999-04,24.8,
1999-05,25.4,
1999-06,26.7,
1999-07,30.4,
1999-08,32.1,
1999-09,36.1,
1999-10,34.4,
1999-11,38.7,
1999-12,40.7,
2000-01,40.9,
2000-02,45.2,
2000-03,46.6,
2000-04,40.7,
2000-05,50.0,
2000-06,51.4,
2000-07,50.2,
2000-08,54.8,
2000-09,61.0,
2000-10,60.5,
2000-11,62.2,
2000-12,48.8,
2001-01,46.0,
2001-02,50.0,
2001-03,47.2,
2001-04,49.7,
2001-05,54.3,
2001-06,54.5,
2001-07,49.2,
2001-08,48.0,
2001-09,48.1,
2001-10,40.3,
2001-11,36.7,
2001-12,36.3,
2002-01,38.0,
2002-02,39.3,
2002-03,45.7,
2002-04,48.5,
2002-05,46.1,
2002-06,42.5,
2002-07,42.5,
2002-08,44.0,
2002-09,47.2,
2002-10,45.8,
2002-11,40.4,
2002-12,44.2,
2003-01,46.4,
2003-02,48.8,
2003-03,45.0,
2003-04,37.6,
2003-05,36.2,
2003-06,38.3,
2003-07,41.0,
2003-08,43.6,
2003-09,39.8,
2003-10,41.1,
2003-11,41.0,
2003-12,40.4,
2004-01,40.9,
2004-02,40.4,
2004-03,45.1,
2004-04,46.8,
2004-05,52.1,
2004-06,50.4,
2004-07,52.4,
2004-08,57.6,
2004-09,58.8,
2004-10,65.3,
2004-11,57.4,
2004-12,50.2,
2005-01,55.6,
2005-02,58.1,
2005-03,66.2,
2005-04,67.9,
2005-05,65.0,
2005-06,75.0,
2005-07,79.0,
2005-08,84.7,
2005-09,83.2,
2005-10,78.8,
2005-11,75.9,
2005-12,77.8,
2006-01,84.2,
2006-02,82.2,
2006-03,84.6,
