"",BBEE1.M.I7.AAA.XZE02A.R.AACPE.M00,BBEE1.M.I7.AAA.XZE02A.R.AACPE.M00_FLAGS
"","Real effective exchange rate of the euro against the currencies of the EER-39 group, based on consumer price indices",
unit,1Q99=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-12 15:35:18,
1993-01,112.4783,
1993-02,111.3664,
1993-03,109.5904,
1993-04,110.3929,
1993-05,109.8352,
1993-06,107.8526,
1993-07,103.9410,
1993-08,102.4315,
1993-09,104.9990,
1993-10,104.3226,
1993-11,101.6763,
1993-12,100.8514,
1994-01,101.3998,
1994-02,101.6957,
1994-03,103.3124,
1994-04,103.7455,
1994-05,105.0761,
1994-06,105.2333,
1994-07,107.6230,
1994-08,107.4271,
1994-09,107.3443,
1994-10,108.2836,
1994-11,106.5835,
1994-12,105.0510,
1995-01,106.3907,
1995-02,107.2372,
1995-03,109.3559,
1995-04,109.3222,
1995-05,108.1687,
1995-06,108.2520,
1995-07,109.3068,
1995-08,108.0084,
1995-09,107.3460,
1995-10,108.7805,
1995-11,109.1595,
1995-12,108.3803,
1996-01,108.0014,
1996-02,107.6675,
1996-03,107.2698,
1996-04,106.2080,
1996-05,105.3153,
1996-06,105.5733,
1996-07,106.6259,
1996-08,107.3193,
1996-09,106.4439,
1996-10,105.5439,
1996-11,105.6005,
1996-12,104.1654,
1997-01,102.3015,
1997-02,99.4387,
1997-03,98.3650,
1997-04,97.4824,
1997-05,97.2860,
1997-06,95.6682,
1997-07,93.2141,
1997-08,92.4740,
1997-09,95.0962,
1997-10,96.4180,
1997-11,98.0479,
1997-12,98.3743,
1998-01,97.8439,
1998-02,96.5700,
1998-03,95.4794,
1998-04,95.8660,
1998-05,98.3903,
1998-06,98.7641,
1998-07,98.4089,
1998-08,99.7704,
1998-09,103.0532,
1998-10,104.4336,
1998-11,102.0418,
1998-12,102.3261,
1999-01,101.5886,
1999-02,99.9722,
1999-03,98.4365,
1999-04,97.0629,
1999-05,96.3073,
1999-06,94.3621,
1999-07,94.2950,
1999-08,95.4700,
1999-09,94.0657,
1999-10,95.0370,
1999-11,92.6504,
1999-12,90.6998,
2000-01,90.6916,
2000-02,89.1310,
2000-03,87.6364,
2000-04,86.3436,
2000-05,84.6719,
2000-06,87.6708,
2000-07,86.9745,
2000-08,84.5900,
2000-09,82.8352,
2000-10,81.7612,
2000-11,82.3124,
2000-12,85.3154,
2001-01,88.2623,
2001-02,87.5662,
2001-03,87.7717,
2001-04,87.2554,
2001-05,85.4821,
