"",BBK01.WU9553,BBK01.WU9553_FLAGS
"",Yields on debt securities outstanding issued by residents / Listed Federal securities / Residual maturity of more than 5 and up to 8 years / Monthly average,
unit,Prozent (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-02 10:10:05,
1982-01,.,No value available
1982-02,9.79,
1982-03,9.48,
1982-04,8.98,
1982-05,8.74,
1982-06,9.10,
1982-07,9.29,
1982-08,9.02,
1982-09,8.61,
1982-10,8.18,
1982-11,8.06,
1982-12,7.81,
1983-01,7.61,
1983-02,7.64,
1983-03,7.40,
1983-04,7.43,
1983-05,7.61,
1983-06,8.00,
1983-07,8.10,
1983-08,8.29,
1983-09,8.34,
1983-10,8.14,
1983-11,8.12,
1983-12,8.24,
1984-01,8.22,
1984-02,8.04,
1984-03,7.91,
1984-04,7.96,
1984-05,8.09,
1984-06,8.12,
1984-07,8.12,
1984-08,7.96,
1984-09,7.74,
1984-10,7.51,
1984-11,7.30,
1984-12,7.10,
1985-01,7.19,
1985-02,7.49,
1985-03,7.60,
1985-04,7.34,
1985-05,7.19,
1985-06,7.02,
1985-07,6.80,
1985-08,6.53,
1985-09,6.38,
1985-10,6.55,
1985-11,6.69,
1985-12,6.59,
1986-01,6.49,
1986-02,6.33,
1986-03,5.98,
1986-04,5.70,
1986-05,5.85,
1986-06,6.03,
1986-07,5.96,
1986-08,5.79,
1986-09,5.78,
1986-10,6.00,
1986-11,6.12,
1986-12,6.00,
1987-01,5.89,
1987-02,5.77,
1987-03,5.70,
1987-04,5.53,
1987-05,5.41,
1987-06,5.66,
1987-07,5.93,
1987-08,6.13,
1987-09,6.28,
1987-10,6.51,
1987-11,6.10,
1987-12,6.03,
1988-01,6.07,
1988-02,5.85,
1988-03,5.75,
1988-04,5.82,
1988-05,6.14,
1988-06,6.15,
1988-07,6.41,
1988-08,6.55,
1988-09,6.33,
1988-10,6.16,
1988-11,6.10,
1988-12,6.33,
1989-01,6.51,
1989-02,6.87,
1989-03,6.95,
1989-04,6.92,
1989-05,7.08,
1989-06,6.95,
1989-07,6.83,
1989-08,6.84,
1989-09,7.07,
1989-10,7.28,
1989-11,7.63,
1989-12,7.64,
1990-01,7.98,
1990-02,8.75,
1990-03,8.98,
1990-04,8.93,
1990-05,8.97,
1990-06,9.00,
1990-07,8.76,
1990-08,9.01,
1990-09,9.17,
1990-10,9.15,
1990-11,9.07,
1990-12,8.98,
1991-01,9.08,
1991-02,8.58,
1991-03,8.53,
1991-04,8.51,
1991-05,8.50,
1991-06,8.48,
1991-07,8.77,
1991-08,8.76,
1991-09,8.64,
1991-10,8.54,
1991-11,8.56,
1991-12,8.46,
1992-01,8.08,
1992-02,8.00,
1992-03,8.05,
1992-04,8.13,
1992-05,8.20,
1992-06,8.25,
1992-07,8.31,
1992-08,8.32,
1992-09,7.99,
1992-10,7.43,
1992-11,7.28,
1992-12,7.22,
1993-01,6.97,
1993-02,6.75,
1993-03,6.38,
1993-04,6.48,
1993-05,6.61,
1993-06,6.63,
1993-07,6.43,
1993-08,6.19,
1993-09,6.03,
1993-10,5.81,
1993-11,5.64,
1993-12,5.50,
1994-01,5.50,
1994-02,5.80,
1994-03,6.21,
1994-04,6.36,
1994-05,6.56,
1994-06,7.00,
1994-07,6.86,
1994-08,7.08,
1994-09,7.46,
1994-10,7.50,
1994-11,7.44,
1994-12,7.45,
1995-01,7.55,
1995-02,7.33,
1995-03,7.12,
1995-04,6.86,
1995-05,6.58,
1995-06,6.53,
1995-07,6.62,
1995-08,6.48,
1995-09,6.25,
1995-10,6.22,
1995-11,5.93,
1995-12,5.69,
1996-01,5.44,
1996-02,5.82,
1996-03,5.99,
1996-04,5.88,
1996-05,5.92,
1996-06,6.04,
1996-07,6.04,
1996-08,5.84,
1996-09,5.75,
1996-10,5.50,
1996-11,5.42,
1996-12,5.32,
1997-01,5.28,
1997-02,5.02,
1997-03,5.20,
1997-04,5.29,
1997-05,5.20,
1997-06,5.12,
1997-07,4.99,
1997-08,5.16,
1997-09,5.13,
1997-10,5.28,
1997-11,5.29,
1997-12,5.10,
1998-01,4.85,
1998-02,4.73,
1998-03,4.67,
1998-04,4.73,
1998-05,4.78,
1998-06,4.63,
1998-07,4.55,
1998-08,4.31,
1998-09,3.98,
1998-10,3.94,
1998-11,3.96,
1998-12,3.68,
1999-01,3.51,
1999-02,3.62,
1999-03,3.76,
1999-04,3.52,
1999-05,3.61,
1999-06,4.00,
1999-07,4.40,
1999-08,4.65,
1999-09,4.82,
1999-10,5.11,
1999-11,4.87,
1999-12,4.93,
2000-01,5.34,
2000-02,5.38,
2000-03,5.21,
2000-04,5.12,
2000-05,5.35,
2000-06,5.17,
2000-07,5.29,
2000-08,5.27,
2000-09,5.27,
2000-10,5.18,
2000-11,5.12,
2000-12,4.80,
2001-01,4.67,
2001-02,4.67,
2001-03,4.53,
2001-04,4.66,
2001-05,4.86,
2001-06,4.78,
2001-07,4.81,
2001-08,4.61,
2001-09,4.50,
2001-10,4.27,
2001-11,4.18,
2001-12,4.48,
2002-01,4.67,
2002-02,4.74,
2002-03,5.00,
2002-04,4.98,
2002-05,4.99,
2002-06,4.81,
2002-07,4.66,
2002-08,4.35,
2002-09,4.09,
2002-10,4.12,
2002-11,4.09,
2002-12,3.93,
2003-01,3.78,
2003-02,3.53,
2003-03,3.57,
2003-04,3.70,
2003-05,3.34,
2003-06,3.11,
2003-07,3.53,
2003-08,3.78,
2003-09,3.77,
2003-10,3.83,
2003-11,3.96,
2003-12,3.89,
2004-01,3.76,
2004-02,3.67,
2004-03,3.44,
2004-04,3.62,
2004-05,3.80,
2004-06,3.89,
2004-07,3.87,
2004-08,3.70,
2004-09,3.64,
2004-10,3.50,
2004-11,3.38,
2004-12,3.20,
2005-01,3.23,
2005-02,3.23,
2005-03,3.35,
2005-04,3.13,
2005-05,2.96,
2005-06,2.78,
2005-07,2.88,
2005-08,2.91,
2005-09,2.77,
2005-10,2.98,
2005-11,3.22,
2005-12,3.16,
2006-01,3.19,
2006-02,3.34,
2006-03,3.53,
2006-04,3.77,
2006-05,3.81,
2006-06,3.83,
2006-07,3.90,
2006-08,3.79,
2006-09,3.69,
2006-10,3.74,
2006-11,3.69,
2006-12,3.77,
2007-01,3.99,
2007-02,4.03,
2007-03,3.92,
2007-04,4.14,
2007-05,4.27,
2007-06,4.55,
2007-07,4.51,
2007-08,4.25,
2007-09,4.16,
2007-10,4.21,
2007-11,4.00,
2007-12,4.11,
2008-01,3.87,
2008-02,3.68,
2008-03,3.57,
2008-04,3.90,
2008-05,4.10,
2008-06,4.55,
2008-07,4.50,
2008-08,4.11,
2008-09,3.99,
2008-10,3.69,
2008-11,3.17,
2008-12,2.78,
2009-01,2.75,
2009-02,2.73,
2009-03,2.64,
2009-04,2.73,
2009-05,2.90,
2009-06,3.04,
2009-07,2.92,
2009-08,2.90,
2009-09,2.80,
2009-10,2.74,
2009-11,2.72,
2009-12,2.63,
2010-01,2.79,
2010-02,2.63,
2010-03,2.55,
2010-04,2.50,
2010-05,2.10,
2010-06,1.91,
2010-07,2.10,
2010-08,1.86,
2010-09,1.81,
2010-10,1.87,
2010-11,2.03,
2010-12,2.34,
2011-01,2.56,
2011-02,2.77,
2011-03,2.83,
2011-04,2.98,
2011-05,2.71,
2011-06,2.47,
2011-07,2.36,
2011-08,1.78,
2011-09,1.38,
2011-10,1.54,
2011-11,1.36,
2011-12,1.34,
2012-01,1.26,
2012-02,1.26,
2012-03,1.25,
2012-04,1.05,
2012-05,0.81,
2012-06,0.80,
2012-07,0.73,
2012-08,0.80,
2012-09,0.91,
2012-10,0.89,
2012-11,0.75,
2012-12,0.69,
2013-01,0.95,
2013-02,0.94,
2013-03,0.72,
2013-04,0.58,
2013-05,0.66,
2013-06,0.89,
2013-07,0.95,
2013-08,1.13,
2013-09,1.23,
2013-10,1.08,
2013-11,0.97,
2013-12,1.12,
2014-01,1.18,
2014-02,0.95,
2014-03,0.91,
2014-04,0.88,
2014-05,0.72,
2014-06,0.63,
2014-07,0.60,
2014-08,0.48,
2014-09,0.44,
2014-10,0.35,
2014-11,0.29,
2014-12,0.22,
2015-01,0.09,
