"",BBEE1.M.I7.AAA.XZE02A.A.AABAN.M00,BBEE1.M.I7.AAA.XZE02A.A.AABAN.M00_FLAGS
"",Nominal effective exchange rate of the euro against the currencies of the EER-39 group,
unit,1Q99=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-12 15:35:16,
1993-01,72.3169,
1993-02,72.6845,
1993-03,72.4898,
1993-04,74.0734,
1993-05,74.6492,
1993-06,73.9202,
1993-07,72.3334,
1993-08,72.3050,
1993-09,75.1311,
1993-10,75.6136,
1993-11,74.6877,
1993-12,75.0423,
1994-01,76.2479,
1994-02,77.4944,
1994-03,79.3403,
1994-04,80.8840,
1994-05,82.8163,
1994-06,83.4705,
1994-07,86.1542,
1994-08,86.4382,
1994-09,86.8331,
1994-10,88.2459,
1994-11,87.5581,
1994-12,86.8390,
1995-01,88.9457,
1995-02,90.0340,
1995-03,92.2918,
1995-04,92.8165,
1995-05,91.7600,
1995-06,92.7145,
1995-07,94.0134,
1995-08,93.1505,
1995-09,92.9152,
1995-10,94.6010,
1995-11,95.1919,
1995-12,94.7271,
1996-01,94.7893,
1996-02,94.8835,
1996-03,94.8533,
1996-04,94.4395,
1996-05,93.9032,
1996-06,94.5031,
1996-07,95.6937,
1996-08,96.7015,
1996-09,96.2072,
1996-10,95.5578,
1996-11,96.0547,
1996-12,95.0602,
1997-01,93.6892,
1997-02,91.9629,
1997-03,91.2301,
1997-04,91.0304,
1997-05,90.8279,
1997-06,89.6863,
1997-07,87.6234,
1997-08,87.2511,
1997-09,89.8182,
1997-10,91.4331,
1997-11,93.0432,
1997-12,93.8255,
1998-01,93.9391,
1998-02,93.0662,
1998-03,92.2531,
1998-04,92.7248,
1998-05,95.3394,
1998-06,95.8748,
1998-07,95.7782,
1998-08,97.2267,
1998-09,101.0070,
1998-10,103.3043,
1998-11,101.1160,
1998-12,101.7774,
1999-01,101.4594,
1999-02,100.0370,
1999-03,98.6514,
1999-04,97.2216,
1999-05,96.7969,
1999-06,94.9727,
1999-07,94.9237,
1999-08,96.2626,
1999-09,95.1962,
1999-10,96.4921,
1999-11,94.0353,
1999-12,92.2151,
2000-01,92.3071,
2000-02,90.9996,
2000-03,89.5310,
2000-04,88.2656,
