"",BBK01.TVS301J,BBK01.TVS301J_FLAGS
"",Money stock M1/ Seasonally adjusted/ Annual percentage change/ EWU,
unit,PC (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-02 10:38:05,
1981-01,7.5,
1981-02,7.6,
1981-03,6.5,
1981-04,7.1,
1981-05,6.6,
1981-06,6.1,
1981-07,5.1,
1981-08,5.3,
1981-09,5.7,
1981-10,4.8,
1981-11,4.5,
1981-12,6.1,
1982-01,5.7,
1982-02,5.6,
1982-03,6.5,
1982-04,6.5,
1982-05,7.0,
1982-06,7.8,
1982-07,8.2,
1982-08,9.1,
1982-09,8.8,
1982-10,9.2,
1982-11,10.1,
1982-12,9.8,
1983-01,10.3,
1983-02,10.7,
1983-03,10.7,
1983-04,10.3,
1983-05,10.6,
1983-06,10.5,
1983-07,11.0,
1983-08,10.4,
1983-09,9.8,
1983-10,9.8,
1983-11,9.1,
1983-12,9.7,
1984-01,8.7,
1984-02,8.3,
1984-03,7.6,
1984-04,7.6,
1984-05,7.4,
1984-06,6.9,
1984-07,6.4,
1984-08,6.7,
1984-09,7.3,
1984-10,7.2,
1984-11,7.1,
1984-12,7.8,
1985-01,8.2,
1985-02,8.4,
1985-03,8.4,
1985-04,8.0,
1985-05,7.4,
1985-06,7.5,
1985-07,8.1,
1985-08,7.5,
1985-09,7.8,
1985-10,8.7,
1985-11,8.0,
1985-12,7.2,
1986-01,6.7,
1986-02,7.2,
1986-03,9.1,
1986-04,8.8,
1986-05,9.7,
1986-06,9.1,
1986-07,9.1,
1986-08,9.4,
1986-09,9.3,
1986-10,8.8,
1986-11,9.2,
1986-12,8.8,
1987-01,9.5,
1987-02,8.7,
1987-03,7.3,
1987-04,9.2,
1987-05,7.8,
1987-06,9.1,
1987-07,8.5,
1987-08,8.3,
1987-09,8.2,
1987-10,8.0,
1987-11,8.0,
1987-12,7.8,
1988-01,7.4,
1988-02,7.4,
1988-03,7.6,
1988-04,6.8,
1988-05,7.8,
1988-06,7.1,
1988-07,7.9,
1988-08,8.0,
1988-09,7.3,
1988-10,7.6,
1988-11,7.8,
1988-12,7.7,
1989-01,8.0,
1989-02,7.9,
1989-03,8.4,
1989-04,6.8,
1989-05,7.0,
1989-06,7.8,
1989-07,7.5,
1989-08,7.3,
1989-09,7.8,
1989-10,7.2,
1989-11,7.3,
1989-12,8.2,
1990-01,8.8,
1990-02,8.1,
1990-03,6.6,
1990-04,7.4,
1990-05,6.9,
1990-06,6.6,
1990-07,6.4,
1990-08,6.6,
1990-09,6.8,
1990-10,6.3,
1990-11,6.1,
1990-12,6.1,
1991-01,4.6,
1991-02,5.5,
1991-03,5.2,
1991-04,5.4,
1991-05,5.5,
1991-06,4.8,
1991-07,4.6,
1991-08,4.2,
1991-09,3.4,
1991-10,3.8,
1991-11,3.8,
1991-12,3.3,
1992-01,3.1,
1992-02,2.4,
1992-03,3.6,
1992-04,4.1,
1992-05,3.8,
1992-06,3.0,
1992-07,2.9,
1992-08,2.9,
1992-09,4.3,
1992-10,4.1,
1992-11,4.9,
1992-12,4.5,
1993-01,4.3,
1993-02,4.5,
1993-03,4.7,
1993-04,3.7,
1993-05,4.0,
1993-06,5.2,
1993-07,5.2,
1993-08,5.3,
1993-09,4.8,
1993-10,5.7,
1993-11,5.9,
1993-12,6.4,
1994-01,8.2,
1994-02,8.8,
1994-03,9.3,
1994-04,8.9,
