"",BBK01.SU0104,BBK01.SU0104_FLAGS
"",Money market rates reported by Frankfurt banks / One-month funds / Monthly average,
unit,% p.a. (hypothetically euro-based),
unit multiplier,one,
last update,2012-06-06 13:52:57,
1959-12,4.84,
1960-01,4.10,
1960-02,4.19,
1960-03,4.53,
1960-04,4.41,
1960-05,4.30,
1960-06,5.24,
1960-07,5.36,
1960-08,5.29,
1960-09,5.50,
1960-10,5.44,
1960-11,4.81,
1960-12,5.47,
1961-01,4.36,
1961-02,3.91,
1961-03,3.59,
1961-04,3.19,
1961-05,3.10,
1961-06,2.98,
1961-07,3.00,
1961-08,2.94,
1961-09,2.95,
1961-10,2.80,
1961-11,2.76,
1961-12,4.13,
1962-01,2.69,
1962-02,2.63,
1962-03,2.86,
1962-04,2.86,
1962-05,2.86,
1962-06,3.03,
1962-07,3.02,
1962-08,2.94,
1962-09,3.09,
1962-10,2.93,
1962-11,2.84,
1962-12,4.75,
1963-01,2.95,
1963-02,3.05,
1963-03,3.34,
1963-04,3.30,
1963-05,3.39,
1963-06,3.70,
1963-07,3.48,
1963-08,3.39,
1963-09,3.45,
1963-10,3.26,
1963-11,3.03,
1963-12,5.38,
1964-01,3.03,
1964-02,3.08,
1964-03,3.25,
1964-04,3.30,
1964-05,3.34,
1964-06,3.61,
1964-07,3.41,
1964-08,3.69,
1964-09,3.88,
1964-10,3.94,
1964-11,3.53,
1964-12,5.63,
1965-01,3.38,
1965-02,3.50,
1965-03,4.10,
1965-04,4.23,
1965-05,4.38,
1965-06,4.63,
1965-07,4.69,
1965-08,4.66,
1965-09,5.16,
1965-10,5.23,
1965-11,4.85,
1965-12,6.75,
1966-01,4.50,
1966-02,4.69,
1966-03,5.48,
1966-04,5.83,
1966-05,5.78,
1966-06,6.57,
1966-07,6.63,
1966-08,6.29,
1966-09,6.20,
1966-10,6.20,
1966-11,5.77,
1966-12,7.91,
1967-01,5.34,
1967-02,5.25,
1967-03,4.72,
1967-04,4.26,
1967-05,3.25,
1967-06,3.35,
1967-07,2.64,
1967-08,2.73,
1967-09,3.15,
1967-10,2.53,
1967-11,1.78,
1967-12,4.34,
1968-01,2.72,
1968-02,2.99,
1968-03,3.32,
1968-04,3.29,
1968-05,3.25,
1968-06,3.40,
1968-07,3.06,
1968-08,3.05,
1968-09,3.23,
1968-10,3.42,
1968-11,2.97,
1968-12,4.55,
1969-01,3.74,
1969-02,3.57,
1969-03,3.96,
1969-04,3.80,
1969-05,3.83,
1969-06,4.87,
1969-07,5.50,
1969-08,6.00,
1969-09,6.26,
1969-10,6.54,
1969-11,7.25,
1969-12,9.66,
1970-01,9.19,
1970-02,9.24,
1970-03,9.75,
1970-04,9.82,
1970-05,9.86,
1970-06,9.73,
1970-07,9.39,
1970-08,8.82,
1970-09,9.24,
1970-10,8.95,
1970-11,8.23,
1970-12,8.46,
1971-01,7.67,
1971-02,7.39,
1971-03,7.61,
1971-04,6.18,
1971-05,5.07,
1971-06,6.55,
1971-07,7.39,
1971-08,6.88,
1971-09,7.34,
1971-10,7.31,
1971-11,5.36,
1971-12,6.92,
1972-01,4.94,
1972-02,4.54,
1972-03,4.38,
1972-04,4.37,
1972-05,4.00,
1972-06,4.09,
1972-07,3.95,
1972-08,4.33,
1972-09,5.04,
1972-10,5.95,
1972-11,7.11,
1972-12,8.59,
1973-01,6.96,
1973-02,6.50,
1973-03,8.67,
1973-04,11.51,
1973-05,11.69,
1973-06,12.43,
1973-07,13.29,
1973-08,12.14,
1973-09,13.30,
1973-10,13.18,
1973-11,12.08,
1973-12,13.33,
1974-01,11.68,
1974-02,10.05,
1974-03,11.21,
1974-04,9.28,
1974-05,8.16,
1974-06,9.01,
1974-07,9.23,
1974-08,9.41,
1974-09,9.41,
1974-10,9.29,
1974-11,8.21,
1974-12,8.63,
1975-01,7.59,
1975-02,5.62,
1975-03,5.44,
1975-04,4.62,
1975-05,4.95,
1975-06,4.85,
1975-07,4.53,
1975-08,3.20,
1975-09,3.85,
1975-10,3.67,
1975-11,3.61,
1975-12,4.26,
1976-01,3.75,
1976-02,3.49,
1976-03,3.59,
1976-04,3.45,
1976-05,3.63,
1976-06,4.04,
1976-07,4.36,
1976-08,4.41,
1976-09,4.44,
1976-10,4.32,
1976-11,4.03,
1976-12,5.04,
1977-01,4.67,
1977-02,4.35,
1977-03,4.62,
1977-04,4.52,
1977-05,4.31,
1977-06,4.18,
1977-07,4.21,
1977-08,4.06,
1977-09,4.05,
1977-10,4.03,
1977-11,4.00,
1977-12,4.05,
1978-01,3.50,
1978-02,3.30,
1978-03,3.52,
1978-04,3.56,
1978-05,3.56,
1978-06,3.58,
1978-07,3.64,
1978-08,3.50,
1978-09,3.55,
1978-10,3.52,
1978-11,3.25,
1978-12,4.13,
1979-01,3.72,
1979-02,3.81,
1979-03,4.34,
1979-04,5.41,
1979-05,5.59,
1979-06,5.79,
1979-07,6.20,
1979-08,6.73,
1979-09,7.63,
1979-10,8.28,
1979-11,8.42,
1979-12,9.79,
1980-01,8.73,
1980-02,8.55,
1980-03,9.14,
1980-04,9.40,
1980-05,10.08,
1980-06,10.02,
1980-07,9.79,
