"","maximum","lag","p-val"
"var_perc_nword.zeit3.economic",0.54,3,0
"var_perc_nword.zeit3",0.51,4,0
"var_perc_dif.zeit3",0.48,5,0
"var_perc_pnword.zeit3",0.45,5,0
"var_perc_nword.zeit",0.44,5,0
"var_rvalue.zeit3",0.43,5,0
"var_perc_nword.zeit.economic",0.42,4,0
"var_perc_dif.zeit",0.42,6,0
"var_perc_pnword.zeit",0.41,6,0
"var_perc_pnword.zeit3.economic",0.4,3,0
"var_perc_pword.zeit3",0.4,5,0
"perc_dif.zeit3.economic",0.38,3,0
"var_perc_dif.zeit3.economic",0.37,3,0
"var_perc_pword.zeit",0.37,6,0
"perc_pword.zeit3",0.37,5,0
"var_rpvalue.zeit3",0.37,4,0
"var_rvalue.zeit",0.36,5,0
"rnvalue.zeit3",0.35,6,0
"var_perc_pnword.zeit.economic",0.33,4,0
"kur_perc_pword.zeit3",0.33,2,0
"perc_nword.zeit3.economic",0.32,1,0
"perc_pword.zeit",0.32,6,0
"var_rnvalue.zeit3",0.32,6,0
"rnvalue.zeit",0.31,6,0
"var_rpvalue.zeit",0.31,6,0
"perc_dif.zeit3",0.31,3,0
"perc_dif.zeit.economic",0.3,4,0
"perc_pnword.zeit3",0.3,7,0
"rvalue.zeit3.economic",0.29,2,0
"var_rnvalue.zeit",0.29,7,0
"perc_nword.zeit.economic",0.28,1,0
"var_perc_dif.zeit.economic",0.28,3,0
"perc_pword.zeit3.economic",0.28,5,0
"npword.zeit",0.26,6,0
"npword.zeit3",0.26,4,0
"kur_perc_dif.zeit3",0.26,4,0
"perc_dif.zeit",0.25,4,0
"perc_pnword.zeit",0.25,8,0
"pvalue.zeit3",0.25,5,0
"pvalue.zeit",0.24,6,0
"nword.zeit3",0.24,4,0
"rvalue.zeit.economic",0.23,4,0
"nword.zeit",0.23,5,0
"perc_nword.zeit3",0.23,11,0
"perc_pword.zeit.economic",0.21,5,0
"kur_perc_pword.zeit",0.21,4,0
"var_rpvalue.zeit3.economic",0.18,4,0
"kur_perc_pnword.zeit3.economic",0.18,3,0.01
"perc_nword.zeit",0.18,11,0
"kur_perc_dif.zeit",0.18,4,0
"nnword.zeit3",0.18,5,0
"kur_rpvalue.zeit3",0.18,2,0
"var_perc_pword.zeit3.economic",0.17,3,0.01
"kur_perc_pword.zeit3.economic",0.17,11,0.01
"nnword.zeit",0.17,6,0.01
"var_rvalue.zeit3.economic",0.16,4,0.01
"kur_perc_dif.zeit3.economic",0.16,2,0.01
"nvalue.zeit3",0.16,6,0.01
"nvalue.zeit",0.15,6,0.01
