"","N sign. lags","1. lag","2. lag","3. lag","4. lag"
"perc_dif.zeit.economic",1,1,NA,NA,NA
"perc_pnword.zeit.economic",2,5,10,NA,NA
"perc_pword.zeit.economic",3,1,3,10,NA
"npword.zeit.economic",2,1,12,NA,NA
"pvalue.zeit.economic",2,1,10,NA,NA
"rpvalue.zeit.economic",1,11,NA,NA,NA
"rvalue.zeit.economic",1,1,NA,NA,NA
"var_perc_dif.zeit.economic",3,2,3,11,NA
"var_perc_pword.zeit.economic",1,2,NA,NA,NA
"var_perc_nword.zeit.economic",3,1,2,3,NA
"var_perc_pnword.zeit.economic",2,2,7,NA,NA
"perc_dif.zeit3.economic",2,1,12,NA,NA
"perc_pword.zeit3.economic",4,1,4,9,12
"pvalue.zeit3.economic",2,1,11,NA,NA
"rvalue.zeit3.economic",1,1,NA,NA,NA
"var_perc_dif.zeit3.economic",2,1,11,NA,NA
"var_perc_nword.zeit3.economic",1,1,NA,NA,NA
"var_perc_pnword.zeit3.economic",1,1,NA,NA,NA
"var_rvalue.zeit3.economic",1,3,NA,NA,NA
"kur_rnvalue.zeit3.economic",1,8,NA,NA,NA
"perc_dif.zeit",1,1,NA,NA,NA
"perc_pnword.zeit",2,5,10,NA,NA
"perc_pword.zeit",2,3,10,NA,NA
"npword.zeit",2,1,12,NA,NA
"nword.zeit",2,1,12,NA,NA
"pvalue.zeit",2,1,10,NA,NA
"rpvalue.zeit",2,2,11,NA,NA
"rnvalue.zeit",1,3,NA,NA,NA
"var_perc_dif.zeit",3,2,3,11,NA
"var_perc_pword.zeit",2,2,11,NA,NA
"var_perc_nword.zeit",2,2,3,NA,NA
"var_perc_pnword.zeit",1,2,NA,NA,NA
"var_rpvalue.zeit",2,2,12,NA,NA
"var_rnvalue.zeit",2,1,12,NA,NA
"var_rvalue.zeit",2,2,12,NA,NA
"kur_perc_dif.zeit",1,2,NA,NA,NA
"kur_perc_pword.zeit",1,2,NA,NA,NA
"kur_perc_pnword.zeit",1,2,NA,NA,NA
"perc_dif.zeit3",2,1,12,NA,NA
"perc_pnword.zeit3",1,4,NA,NA,NA
"perc_nword.zeit3",1,4,NA,NA,NA
"perc_pword.zeit3",2,1,12,NA,NA
"npword.zeit3",2,1,12,NA,NA
"nword.zeit3",2,1,12,NA,NA
"pvalue.zeit3",2,1,11,NA,NA
"rpvalue.zeit3",2,1,11,NA,NA
"rnvalue.zeit3",2,1,12,NA,NA
"var_perc_dif.zeit3",2,2,12,NA,NA
"var_perc_pword.zeit3",2,2,12,NA,NA
"var_perc_nword.zeit3",2,1,12,NA,NA
"var_perc_pnword.zeit3",2,1,12,NA,NA
"var_rpvalue.zeit3",2,2,12,NA,NA
"var_rnvalue.zeit3",2,1,12,NA,NA
"var_rvalue.zeit3",2,1,12,NA,NA
"kur_perc_dif.zeit3",2,2,9,NA,NA
"kur_perc_pword.zeit3",1,2,NA,NA,NA
"kur_perc_nword.zeit3",1,2,NA,NA,NA
