"","difference","max","min","max borders","number of obs."
"1217",0.00257096581719407,0.534694555531771,0.527672832623359,"0.0611:0.0707",25
"1224",0.00220437701418774,0.59110333800697,0.584662835360104,"0.0701:0.0707",24
"1229",0.00240916423380033,0.620694798716831,0.614635729242002,"0.0701:0.0711",23
"1297",0.00255529796681342,0.603851038608463,0.597433995567949,"0.0701:0.0711",22
"1299",0.00253632780905455,0.604335504439498,0.597907671900145,"0.0701:0.0711",21
"1324",0.00250429025181853,0.60128533600215,0.595012071300691,"0.0701:0.0707",20
"1366",0.00259743342945096,0.60057326572104,0.594004605441214,"0.0701:0.0707",19
"1369",0.00255115155689278,0.648420548586417,0.641582039392729,"0.0701:0.0707",18
"1392",0.00270616962155057,0.627602799721303,0.61789385965222,"0.0701:0.0707",17
"1395",0.00393335288204,0.552291244653971,0.538322920951633,"0.0701:0.0707",16
"1427",0.00403939556906052,0.511755993570263,0.492590121914654,"0.0701:0.0707",15
"1485",0.00388046143474186,0.509174899980777,0.487555432325632,"0.0701:0.0707",14
"1491",0.00377642059277372,0.513918793153365,0.491481994804274,"0.0701:0.0707",13
"1569",0.00422796617425625,0.543449198414675,0.521783582428914,"0.0701:0.0707",12
"1607",0.00467435560851648,0.511316891767914,0.48830221855653,"0.0701:0.0707",11
"1613",0.0042709021674352,0.555100811509655,0.532298926316923,"0.0701:0.0707",10
"1681",0.00488734083117848,0.547671291436268,0.523453291013618,"0.0701:0.0711",9
"1706",0.00639758598132856,0.63330482039679,0.61071309372786,"0.0701:0.0711",8
"1761",0.00750539203915668,0.780496982740371,0.755890316756323,"0.0701:0.0707",7
"1800",0.00832789785875965,0.749483776531933,0.720759538114843,"0.0701:0.0707",6
