,m,month,m3,year,ym,ym3,OIL
1,1,1,Jan,1948,1948-01,1948Jan,NA
2,2,2,Feb,1948,1948-02,1948Feb,NA
3,3,3,Mar,1948,1948-03,1948Mar,NA
4,4,4,Apr,1948,1948-04,1948Apr,NA
5,5,5,May,1948,1948-05,1948May,NA
6,6,6,Jun,1948,1948-06,1948Jun,NA
7,7,7,Jul,1948,1948-07,1948Jul,NA
8,8,8,Aug,1948,1948-08,1948Aug,NA
9,9,9,Sep,1948,1948-09,1948Sep,NA
10,10,10,Oct,1948,1948-10,1948Oct,NA
11,11,11,Nov,1948,1948-11,1948Nov,NA
12,12,12,Dec,1948,1948-12,1948Dec,NA
13,1,1,Jan,1949,1949-01,1949Jan,NA
14,2,2,Feb,1949,1949-02,1949Feb,NA
15,3,3,Mar,1949,1949-03,1949Mar,NA
16,4,4,Apr,1949,1949-04,1949Apr,NA
17,5,5,May,1949,1949-05,1949May,NA
18,6,6,Jun,1949,1949-06,1949Jun,NA
19,7,7,Jul,1949,1949-07,1949Jul,NA
20,8,8,Aug,1949,1949-08,1949Aug,NA
21,9,9,Sep,1949,1949-09,1949Sep,NA
22,10,10,Oct,1949,1949-10,1949Oct,NA
23,11,11,Nov,1949,1949-11,1949Nov,NA
24,12,12,Dec,1949,1949-12,1949Dec,NA
25,1,1,Jan,1950,1950-01,1950Jan,NA
26,2,2,Feb,1950,1950-02,1950Feb,NA
27,3,3,Mar,1950,1950-03,1950Mar,NA
28,4,4,Apr,1950,1950-04,1950Apr,NA
29,5,5,May,1950,1950-05,1950May,NA
30,6,6,Jun,1950,1950-06,1950Jun,NA
31,7,7,Jul,1950,1950-07,1950Jul,NA
32,8,8,Aug,1950,1950-08,1950Aug,NA
33,9,9,Sep,1950,1950-09,1950Sep,NA
34,10,10,Oct,1950,1950-10,1950Oct,NA
35,11,11,Nov,1950,1950-11,1950Nov,NA
36,12,12,Dec,1950,1950-12,1950Dec,NA
37,1,1,Jan,1951,1951-01,1951Jan,NA
38,2,2,Feb,1951,1951-02,1951Feb,NA
39,3,3,Mar,1951,1951-03,1951Mar,NA
40,4,4,Apr,1951,1951-04,1951Apr,NA
41,5,5,May,1951,1951-05,1951May,NA
42,6,6,Jun,1951,1951-06,1951Jun,NA
43,7,7,Jul,1951,1951-07,1951Jul,NA
44,8,8,Aug,1951,1951-08,1951Aug,NA
45,9,9,Sep,1951,1951-09,1951Sep,NA
46,10,10,Oct,1951,1951-10,1951Oct,NA
47,11,11,Nov,1951,1951-11,1951Nov,NA
48,12,12,Dec,1951,1951-12,1951Dec,NA
49,1,1,Jan,1952,1952-01,1952Jan,NA
50,2,2,Feb,1952,1952-02,1952Feb,NA
51,3,3,Mar,1952,1952-03,1952Mar,NA
52,4,4,Apr,1952,1952-04,1952Apr,NA
53,5,5,May,1952,1952-05,1952May,NA
54,6,6,Jun,1952,1952-06,1952Jun,NA
55,7,7,Jul,1952,1952-07,1952Jul,NA
56,8,8,Aug,1952,1952-08,1952Aug,NA
57,9,9,Sep,1952,1952-09,1952Sep,NA
58,10,10,Oct,1952,1952-10,1952Oct,NA
59,11,11,Nov,1952,1952-11,1952Nov,NA
60,12,12,Dec,1952,1952-12,1952Dec,NA
61,1,1,Jan,1953,1953-01,1953Jan,NA
62,2,2,Feb,1953,1953-02,1953Feb,NA
63,3,3,Mar,1953,1953-03,1953Mar,NA
64,4,4,Apr,1953,1953-04,1953Apr,NA
65,5,5,May,1953,1953-05,1953May,NA
66,6,6,Jun,1953,1953-06,1953Jun,NA
67,7,7,Jul,1953,1953-07,1953Jul,NA
68,8,8,Aug,1953,1953-08,1953Aug,NA
69,9,9,Sep,1953,1953-09,1953Sep,NA
70,10,10,Oct,1953,1953-10,1953Oct,NA
71,11,11,Nov,1953,1953-11,1953Nov,NA
72,12,12,Dec,1953,1953-12,1953Dec,NA
73,1,1,Jan,1954,1954-01,1954Jan,NA
74,2,2,Feb,1954,1954-02,1954Feb,NA
75,3,3,Mar,1954,1954-03,1954Mar,NA
76,4,4,Apr,1954,1954-04,1954Apr,NA
77,5,5,May,1954,1954-05,1954May,NA
78,6,6,Jun,1954,1954-06,1954Jun,NA
79,7,7,Jul,1954,1954-07,1954Jul,NA
80,8,8,Aug,1954,1954-08,1954Aug,NA
81,9,9,Sep,1954,1954-09,1954Sep,NA
82,10,10,Oct,1954,1954-10,1954Oct,NA
83,11,11,Nov,1954,1954-11,1954Nov,NA
84,12,12,Dec,1954,1954-12,1954Dec,NA
85,1,1,Jan,1955,1955-01,1955Jan,NA
86,2,2,Feb,1955,1955-02,1955Feb,NA
87,3,3,Mar,1955,1955-03,1955Mar,NA
88,4,4,Apr,1955,1955-04,1955Apr,NA
89,5,5,May,1955,1955-05,1955May,NA
90,6,6,Jun,1955,1955-06,1955Jun,NA
91,7,7,Jul,1955,1955-07,1955Jul,NA
92,8,8,Aug,1955,1955-08,1955Aug,NA
93,9,9,Sep,1955,1955-09,1955Sep,NA
94,10,10,Oct,1955,1955-10,1955Oct,NA
95,11,11,Nov,1955,1955-11,1955Nov,NA
96,12,12,Dec,1955,1955-12,1955Dec,NA
97,1,1,Jan,1956,1956-01,1956Jan,NA
98,2,2,Feb,1956,1956-02,1956Feb,NA
99,3,3,Mar,1956,1956-03,1956Mar,NA
100,4,4,Apr,1956,1956-04,1956Apr,NA
101,5,5,May,1956,1956-05,1956May,NA
102,6,6,Jun,1956,1956-06,1956Jun,NA
103,7,7,Jul,1956,1956-07,1956Jul,NA
104,8,8,Aug,1956,1956-08,1956Aug,NA
105,9,9,Sep,1956,1956-09,1956Sep,NA
106,10,10,Oct,1956,1956-10,1956Oct,NA
107,11,11,Nov,1956,1956-11,1956Nov,NA
108,12,12,Dec,1956,1956-12,1956Dec,NA
109,1,1,Jan,1957,1957-01,1957Jan,NA
110,2,2,Feb,1957,1957-02,1957Feb,NA
111,3,3,Mar,1957,1957-03,1957Mar,NA
112,4,4,Apr,1957,1957-04,1957Apr,NA
113,5,5,May,1957,1957-05,1957May,NA
114,6,6,Jun,1957,1957-06,1957Jun,NA
115,7,7,Jul,1957,1957-07,1957Jul,NA
116,8,8,Aug,1957,1957-08,1957Aug,NA
117,9,9,Sep,1957,1957-09,1957Sep,NA
118,10,10,Oct,1957,1957-10,1957Oct,NA
119,11,11,Nov,1957,1957-11,1957Nov,NA
120,12,12,Dec,1957,1957-12,1957Dec,NA
121,1,1,Jan,1958,1958-01,1958Jan,NA
122,2,2,Feb,1958,1958-02,1958Feb,NA
123,3,3,Mar,1958,1958-03,1958Mar,NA
124,4,4,Apr,1958,1958-04,1958Apr,NA
125,5,5,May,1958,1958-05,1958May,NA
126,6,6,Jun,1958,1958-06,1958Jun,NA
127,7,7,Jul,1958,1958-07,1958Jul,NA
128,8,8,Aug,1958,1958-08,1958Aug,NA
129,9,9,Sep,1958,1958-09,1958Sep,NA
130,10,10,Oct,1958,1958-10,1958Oct,NA
131,11,11,Nov,1958,1958-11,1958Nov,NA
132,12,12,Dec,1958,1958-12,1958Dec,NA
133,1,1,Jan,1959,1959-01,1959Jan,NA
134,2,2,Feb,1959,1959-02,1959Feb,NA
135,3,3,Mar,1959,1959-03,1959Mar,NA
136,4,4,Apr,1959,1959-04,1959Apr,NA
137,5,5,May,1959,1959-05,1959May,NA
138,6,6,Jun,1959,1959-06,1959Jun,NA
139,7,7,Jul,1959,1959-07,1959Jul,NA
140,8,8,Aug,1959,1959-08,1959Aug,NA
141,9,9,Sep,1959,1959-09,1959Sep,NA
142,10,10,Oct,1959,1959-10,1959Oct,NA
143,11,11,Nov,1959,1959-11,1959Nov,NA
144,12,12,Dec,1959,1959-12,1959Dec,NA
145,1,1,Jan,1960,1960-01,1960Jan,NA
146,2,2,Feb,1960,1960-02,1960Feb,NA
147,3,3,Mar,1960,1960-03,1960Mar,NA
148,4,4,Apr,1960,1960-04,1960Apr,NA
149,5,5,May,1960,1960-05,1960May,NA
150,6,6,Jun,1960,1960-06,1960Jun,NA
151,7,7,Jul,1960,1960-07,1960Jul,NA
152,8,8,Aug,1960,1960-08,1960Aug,NA
153,9,9,Sep,1960,1960-09,1960Sep,NA
154,10,10,Oct,1960,1960-10,1960Oct,NA
155,11,11,Nov,1960,1960-11,1960Nov,NA
156,12,12,Dec,1960,1960-12,1960Dec,NA
157,1,1,Jan,1961,1961-01,1961Jan,NA
158,2,2,Feb,1961,1961-02,1961Feb,NA
159,3,3,Mar,1961,1961-03,1961Mar,NA
160,4,4,Apr,1961,1961-04,1961Apr,NA
161,5,5,May,1961,1961-05,1961May,NA
162,6,6,Jun,1961,1961-06,1961Jun,NA
163,7,7,Jul,1961,1961-07,1961Jul,NA
164,8,8,Aug,1961,1961-08,1961Aug,NA
165,9,9,Sep,1961,1961-09,1961Sep,NA
166,10,10,Oct,1961,1961-10,1961Oct,NA
167,11,11,Nov,1961,1961-11,1961Nov,NA
168,12,12,Dec,1961,1961-12,1961Dec,NA
169,1,1,Jan,1962,1962-01,1962Jan,NA
170,2,2,Feb,1962,1962-02,1962Feb,NA
171,3,3,Mar,1962,1962-03,1962Mar,NA
172,4,4,Apr,1962,1962-04,1962Apr,NA
173,5,5,May,1962,1962-05,1962May,NA
174,6,6,Jun,1962,1962-06,1962Jun,NA
175,7,7,Jul,1962,1962-07,1962Jul,NA
176,8,8,Aug,1962,1962-08,1962Aug,NA
177,9,9,Sep,1962,1962-09,1962Sep,NA
178,10,10,Oct,1962,1962-10,1962Oct,NA
179,11,11,Nov,1962,1962-11,1962Nov,NA
180,12,12,Dec,1962,1962-12,1962Dec,NA
181,1,1,Jan,1963,1963-01,1963Jan,NA
182,2,2,Feb,1963,1963-02,1963Feb,NA
183,3,3,Mar,1963,1963-03,1963Mar,NA
184,4,4,Apr,1963,1963-04,1963Apr,NA
185,5,5,May,1963,1963-05,1963May,NA
186,6,6,Jun,1963,1963-06,1963Jun,NA
187,7,7,Jul,1963,1963-07,1963Jul,NA
188,8,8,Aug,1963,1963-08,1963Aug,NA
189,9,9,Sep,1963,1963-09,1963Sep,NA
190,10,10,Oct,1963,1963-10,1963Oct,NA
191,11,11,Nov,1963,1963-11,1963Nov,NA
192,12,12,Dec,1963,1963-12,1963Dec,NA
193,1,1,Jan,1964,1964-01,1964Jan,NA
194,2,2,Feb,1964,1964-02,1964Feb,NA
195,3,3,Mar,1964,1964-03,1964Mar,NA
196,4,4,Apr,1964,1964-04,1964Apr,NA
197,5,5,May,1964,1964-05,1964May,NA
198,6,6,Jun,1964,1964-06,1964Jun,NA
199,7,7,Jul,1964,1964-07,1964Jul,NA
200,8,8,Aug,1964,1964-08,1964Aug,NA
201,9,9,Sep,1964,1964-09,1964Sep,NA
202,10,10,Oct,1964,1964-10,1964Oct,NA
203,11,11,Nov,1964,1964-11,1964Nov,NA
204,12,12,Dec,1964,1964-12,1964Dec,NA
205,1,1,Jan,1965,1965-01,1965Jan,NA
206,2,2,Feb,1965,1965-02,1965Feb,NA
207,3,3,Mar,1965,1965-03,1965Mar,NA
208,4,4,Apr,1965,1965-04,1965Apr,NA
209,5,5,May,1965,1965-05,1965May,NA
210,6,6,Jun,1965,1965-06,1965Jun,NA
