bloß,,,,,,,,,,
mit Mühe und Not,,,,,,,,,,
knapp,knapper,knappe,knappes,knapperer,knapperere,knappereres,knappster,knappste,knappstes,
schwach,schwacher,schwache,schwaches,schwächer,schwächere,schwächeres,schwächster,schwächste,schwächstes,
geringfügig,geringfügiger,geringfügige,geringfügiges,geringfügigerer,geringfügereres,geringfügigerere,geringfügigster,geringfügigste,geringfügigstes,
wenig,weniger,wenige,weniges,wenigerer,wenigereres,wenigerere,wenigster,wenigste,wenigstes,
kaum,,,,,,,,,,
fast nicht,,,,,,,,,,
klein,kleiner,kleine,kleines,kleinerer,kleinerere,kleinereres,kleinster,kleinste,kleinstes,
etwas,,,,,,,,,,
erst,,,,,,,,,,
nur,,,,,,,,,,
selten,seltener,seltenere,selteneres,seltenererer,seltenererere,seltenerereres,seltenster,seltenste,seltenstes,am seltensten
nur selten,,,,,,,,,,
ein bißchen,,,,,,,,,,
ein wenig,,,,,,,,,,
zeitweilig,zeitweiliger,zeitweilige,zeitweiliges,,,,,,,
sporadisch,sporadischer,sporadische,sporadisches,sporadischerer,sporadischerere,sporadischereres,sporadischster,sporadischste,sporadischstes,
vereinzelt,vereinzelter,vereinzelte,vereinzeltes,vereinzelterer,vereinzelterere,vereinzeltereres,,,,
