"","x"
"1","am seltensten"
"2","bloß"
"3","ein bißchen"
"4","ein wenig"
"5","erst"
"6","etwas"
"7","fast nicht"
"8","geringfügereres"
"9","geringfügig"
"10","geringfügige"
"11","geringfügiger"
"12","geringfügigerer"
"13","geringfügigerere"
"14","geringfügiges"
"15","geringfügigste"
"16","geringfügigster"
"17","geringfügigstes"
"18","kaum"
"19","klein"
"20","kleine"
"21","kleiner"
"22","kleinerer"
"23","kleinerere"
"24","kleinereres"
"25","kleines"
"26","kleinste"
"27","kleinster"
"28","kleinstes"
"29","knapp"
"30","knappe"
"31","knapper"
"32","knapperer"
"33","knapperere"
"34","knappereres"
"35","knappes"
"36","knappste"
"37","knappster"
"38","knappstes"
"39","mit Mühe und Not"
"40","nur"
"41","nur selten"
"42","schwach"
"43","schwache"
"44","schwacher"
"45","schwächer"
"46","schwächere"
"47","schwächeres"
"48","schwaches"
"49","schwächste"
"50","schwächster"
"51","schwächstes"
"52","selten"
"53","seltener"
"54","seltenere"
"55","seltenererer"
"56","seltenererere"
"57","seltenerereres"
"58","selteneres"
"59","seltenste"
"60","seltenster"
"61","seltenstes"
"62","sporadisch"
"63","sporadische"
"64","sporadischer"
"65","sporadischerer"
"66","sporadischerere"
"67","sporadischereres"
"68","sporadisches"
"69","sporadischste"
"70","sporadischster"
"71","sporadischstes"
"72","vereinzelt"
"73","vereinzelte"
"74","vereinzelter"
"75","vereinzelterer"
"76","vereinzelterere"
"77","vereinzeltereres"
"78","vereinzeltes"
"79","wenig"
"80","wenige"
"81","weniger"
"82","wenigerer"
"83","wenigerere"
"84","wenigereres"
"85","weniges"
"86","wenigste"
"87","wenigster"
"88","wenigstes"
"89","zeitweilig"
"90","zeitweilige"
"91","zeitweiliger"
"92","zeitweiliges"
"93","Am seltensten"
"94","Bloß"
"95","Ein bißchen"
"96","Ein wenig"
"97","Erst"
"98","Etwas"
"99","Fast nicht"
"100","Geringfügereres"
"101","Geringfügig"
"102","Geringfügige"
"103","Geringfügiger"
"104","Geringfügigerer"
"105","Geringfügigerere"
"106","Geringfügiges"
"107","Geringfügigste"
"108","Geringfügigster"
"109","Geringfügigstes"
"110","Kaum"
"111","Klein"
"112","Kleine"
"113","Kleiner"
"114","Kleinerer"
"115","Kleinerere"
"116","Kleinereres"
"117","Kleines"
"118","Kleinste"
"119","Kleinster"
"120","Kleinstes"
"121","Knapp"
"122","Knappe"
"123","Knapper"
"124","Knapperer"
"125","Knapperere"
"126","Knappereres"
"127","Knappes"
"128","Knappste"
"129","Knappster"
"130","Knappstes"
"131","mit Mühe und Not"
"132","Nur"
"133","Nur selten"
"134","Schwach"
"135","Schwache"
"136","Schwacher"
"137","Schwächer"
"138","Schwächere"
"139","Schwächeres"
"140","Schwaches"
"141","Schwächste"
"142","Schwächster"
"143","Schwächstes"
"144","Selten"
"145","Seltener"
"146","Seltenere"
"147","Seltenererer"
"148","Seltenererere"
"149","Seltenerereres"
"150","Selteneres"
"151","Seltenste"
"152","Seltenster"
"153","Seltenstes"
"154","Sporadisch"
"155","Sporadische"
"156","Sporadischer"
"157","Sporadischerer"
"158","Sporadischerere"
"159","Sporadischereres"
"160","Sporadisches"
"161","Sporadischste"
"162","Sporadischster"
"163","Sporadischstes"
"164","Vereinzelt"
"165","Vereinzelte"
"166","Vereinzelter"
"167","Vereinzelterer"
"168","Vereinzelterere"
"169","Vereinzeltereres"
"170","Vereinzeltes"
"171","Wenig"
"172","Wenige"
"173","Weniger"
"174","Wenigerer"
"175","Wenigerere"
"176","Wenigereres"
"177","Weniges"
"178","Wenigste"
"179","Wenigster"
"180","Wenigstes"
"181","Zeitweilig"
"182","Zeitweilige"
"183","Zeitweiliger"
"184","Zeitweiliges"
