"","x"
"1","aktuteste"
"2","akut"
"3","akute"
"4","akuter"
"5","akutere"
"6","akuterer"
"7","akuteres"
"8","akutes"
"9","akutester"
"10","akutestes"
"11","allerdings"
"12","ausgedehnt"
"13","ausgedehnte"
"14","ausgedehnter"
"15","ausgedehnterer"
"16","ausgedehnterere"
"17","ausgedehntereres"
"18","ausgedehntes"
"19","ausgedehnteste"
"20","ausgedehntester"
"21","ausgedehntestes"
"22","außerdordentlicher"
"23","außerordentlich"
"24","außerordentliche"
"25","außerordentliches"
"26","äußerst"
"27","äußerste"
"28","äußerster"
"29","äußerstes"
"30","bedeutend"
"31","bedeutende"
"32","bedeutender"
"33","bedeutendes"
"34","bedeutsam"
"35","bedeutsame"
"36","bedeutsamer"
"37","bedeutsames"
"38","bedeutsamste"
"39","bedeutsamster"
"40","bedeutsamstes"
"41","bedeutungsvoll"
"42","bedeutungsvolle"
"43","bedeutungsvoller"
"44","bedeutungsvollerer"
"45","bedeutungsvollerere"
"46","bedeutungsvollereres"
"47","bedeutungsvolles"
"48","bedeutungsvollste"
"49","bedeutungsvollster"
"50","bedeutungsvollstes"
"51","besondere"
"52","besonderer"
"53","besondererer"
"54","besondererere"
"55","besonderereres"
"56","besonderes"
"57","besonders"
"58","bestimmt"
"59","bestimmte"
"60","bestimmter"
"61","bestimmtes"
"62","beträchtlich"
"63","beträchtliche"
"64","beträchtlicher"
"65","beträchtlicherer"
"66","beträchtlicherere"
"67","beträchtlichereres"
"68","beträchtliches"
"69","bezeichnenderweise"
"70","bloß"
"71","bloße"
"72","bloßer"
"73","bloßes"
"74","definitiv"
"75","definitive"
"76","definitiver"
"77","definitives"
"78","derb"
"79","derbe"
"80","derber"
"81","derberer"
"82","derberere"
"83","derbereres"
"84","derbes"
"85","derbste"
"86","derbster"
"87","derbstes"
"88","deutlich"
"89","deutliche"
"90","deutlicher"
"91","deutliches"
"92","durchaus"
"93","durchdringend"
"94","durchdringende"
"95","durchdringender"
"96","durchdringendere"
"97","durchdringenderer"
"98","durchdringenderes"
"99","durchdringendes"
"100","durchdringendste"
"101","durchdringendster"
"102","durchdringendstes"
"103","echt"
"104","echte"
"105","echter"
"106","echtes"
"107","eindeutig"
"108","eindeutige"
"109","eindeutiger"
"110","eindeutiges"
"111","empfindlich"
"112","empfindliche"
"113","empfindlicher"
"114","empfindlichere"
"115","empfindlicherer"
"116","empfindlichereres"
"117","empfindliches"
"118","empfindlichestes"
"119","empfindlichste"
"120","empfindlichster"
"121","endgültig"
"122","endgültige"
"123","endgültiger"
"124","endgültiges"
"125","enorm"
"126","enorme"
"127","enormer"
"128","enormes"
"129","erheblich"
"130","erheblicher"
"131","erheblicherer"
"132","erheblichereres"
"133","erhebliches"
"134","erheblichste"
"135","erheblichster"
"136","erheblichstes"
"137","ernst"
"138","ernste"
"139","ernster"
"140","ernstes"
"141","ernsthaft"
"142","ernsthafte"
"143","ernsthafter"
"144","ernsthafterer"
"145","ernsthafterere"
"146","ernsthaftereres"
"147","ernsthafteres"
"148","ernsthafteste"
"149","ernsthaftester"
"150","ernsthaftestes"
"151","ernstlich"
"152","ernstliche"
"153","ernstlicher"
"154","ernstlicherer"
"155","ernstlicherere"
"156","ernstlichereres"
"157","ernstliches"
"158","ernstzunehmend"
"159","ernstzunehmende"
"160","ernstzunehmender"
"161","ernstzunehmenderer"
"162","ernstzunehmenderere"
"163","ernstzunehmendereres"
"164","ernstzunehmendes"
"165","ernstzunehmendste"
"166","ernstzunehmendster"
"167","ernstzunehmendstes"
"168","extra"
"169","extrem"
"170","extreme"
"171","extremer"
"172","extremes"
"173","freilich"
"174","ganz"
"175","ganz im Gegenteil"
"176","ganz und gar"
"177","gehörig"
"178","gehörige"
"179","gehöriger"
"180","gehöriges"
"181","gehörigste"
"182","gehörigster"
"183","gehörigstes"
"184","geradezu"
"185","gewaltig"
"186","gewaltige"
"187","gewaltiger"
"188","gewaltigerer"
"189","gewaltigerere"
"190","gewaltigereres"
"191","gewaltiges"
"192","gewaltigste"
"193","gewaltigster"
"194","gewaltigstes"
"195","gewiss"
"196","gewiß"
"197","gewisse"
"198","gewisser"
"199","gewisses"
"200","gravierend"
"201","gravierende"
"202","gravierender"
"203","gravierenderer"
"204","gravierendereres"
"205","gravierendes"
"206","gravierendste"
"207","gravierendstes"
"208","gravierernderere"
"209","graviersendster"
"210","groß"
"211","große"
"212","großer"
"213","großes"
"214","heftig"
"215","heftiger"
"216","heftigere"
"217","heftigeres"
"218","heftigste"
"219","heftigster"
"220","heftigstes"
"221","höchst"
"222","höchste"
"223","höchste "
"224","höchster"
"225","höchstes"
"226","immens"
"227","immense"
"228","immenser"
"229","immensere"
"230","immenseres"
"231","immenses"
"232","in der Tat"
"233","in hohem Maße"
"234","inbesonderer"
"235","insbesondere"
"236","insbesonderes"
"237","intensiv"
"238","intensive"
"239","intensiver"
"240","intensivere"
"241","intensiverer"
"242","intensivereres"
"243","intensiveres"
"244","intensives"
"245","intentsivsten"
"246","kolossal"
"247","kolossaler"
"248","kolossalste"
"249","kolossalstes"
"250","mächtig"
"251","mächtiger"
"252","mächtigere"
"253","mächtigeres"
"254","mächtigester"
"255","mächtigste"
"256","mächtigstes"
"257","maßgeblich"
"258","maßgebliche"
"259","maßgeblicher"
"260","maßgeblicherer"
"261","maßgeblicherere"
"262","maßgeblichereres"
"263","maßgebliches"
"264","maßgeblichste"
"265","maßgeblichster"
"266","maßgeblichstes"
"267","massig"
"268","massige"
"269","massiger"
"270","massigerer"
"271","massigerere"
"272","massigereres"
"273","massiges"
"274","massigste"
"275","massigster"
"276","massiv"
"277","massive"
"278","massiver"
"279","massiverer"
"280","massiverere"
"281","massivereres"
"282","massives"
"283","massivste"
"284","massivster"
"285","massivstes"
"286","masssigstes"
"287","mit Sicherheit"
"288","natürlich"
"289","nicht kalkulierbar"
"290","nicht kalkulierbarer"
"291","nicht kalukulierbare"
"292","nicht kalukulierbares"
"293","recht"
"294","riesig"
"295","riesige"
"296","riesiger"
"297","riesiges"
"298","schwer"
"299","schwerer"
"300","schwerere"
"301","schwereres"
"302","schwerste"
"303","schwerster"
"304","schwerstes"
"305","schwerwiegend"
"306","schwerwiegende"
"307","schwerwiegender"
"308","schwerwiegenderer"
"309","schwerwiegenderere"
"310","schwerwiegendereres"
"311","schwerwiegendes"
"312","schwerwiegendste"
"313","schwerwiegendster"
"314","schwerwiegendstes"
"315","sehr"
"316","sicher"
"317","sichere"
"318","sicherer"
"319","sicherere"
"320","sichereres"
"321","sicheres"
"322","sicherlich"
"323","sicherste"
"324","sicherster"
"325","sicherstes"
"326","signifikant"
"327","signifikante"
"328","signifikanter"
"329","signifikanterer"
"330","signifikanterere"
"331","signifikantereres"
"332","signifikantes"
"333","signifikanteste"
"334","signifikantester"
"335","signifikantestes"
"336","sonderlich"
"337","sonderliche"
"338","sonderlicher"
"339","sonderlicherer"
"340","sonderlicherere"
"341","sonderlichereres"
"342","sonderliches"
"343","sonderlichste"
"344","sonderlichster"
"345","sonderlichstes"
"346","stark"
"347","stärker"
"348","stärkere"
"349","stärkeres"
"350","stärkste"
"351","stärkster"
"352","stärkstes"
"353","super"
"354","tatsächlich"
"355","tatsächliche"
"356","tatsächlicher"
"357","tatsächliches"
"358","überaus"
"359","überdimensional"
"360","überdimensionale"
"361","überdimensionaler"
"362","überdimensionalerer"
"363","überdimensionalerere"
"364","überdimensionalereres"
"365","überdimensionales"
"366","überwältigend"
"367","überwältigende"
"368","überwältigender"
"369","überwältigenderer"
"370","überwältigenderere"
"371","überwältigendereres"
"372","überwältigendes"
"373","überwältigenste"
"374","überwältigenster"
"375","überwältigenstes"
"376","unabsehbar"
"377","unabsehbare"
"378","unabsehbarer"
"379","unabsehbares"
"380","unberechenbar"
"381","unberechenbare"
"382","unberechenbarer"
