"","X2005.11.22","X2006.01.24","X2006.02.20","X2006.03.20","X2006.04.24","X2006.05.24","X2006.06.21","X2006.07.21","X2006.08.22","X2006.09.20","X2006.10.20","X2006.11.22","X2006.12.20","X2007.01.22","X2007.02.23","X2007.03.23","X2007.04.23","X2007.05.23","X2007.06.21","X2007.07.20","X2007.08.21","X2007.09.21","X2007.10.23","X2007.11.21","X2007.12.19","X2008.01.21","X2008.02.20","X2008.03.25","X2008.04.21","X2008.05.21","X2008.06.25","X2008.07.21","X2008.08.22","X2008.09.24","X2008.10.21","X2008.11.25","X2008.12.19","X2009.01.23","X2009.02.25","X2009.03.31","X2009.04.24","X2009.05.25","X2009.06.25","X2009.07.24","X2009.08.25","X2009.09.25","X2009.10.23","X2009.11.25","X2009.12.21","X2010.01.25","X2010.02.25","X2010.03.24","X2010.04.23","X2010.05.25","X2010.06.25","X2010.07.23","X2010.08.25","X2010.09.23","X2010.10.22","X2010.11.25","X2010.12.21","X2011.01.25","X2011.02.24","X2011.03.24","X2011.04.21","X2011.05.24","X2011.06.21","X2011.07.21","X2011.08.25","X2011.09.21","X2011.10.25","X2011.11.23","X2011.12.20","X2012.01.24","X2012.02.22","X2012.03.23","X2012.04.23","X2012.05.25","X2012.06.25","X2012.07.25","X2012.08.24","X2012.09.25","X2012.10.25","X2012.11.23","X2012.12.21","X2013.01.25","X2013.02.25","X2013.03.25","X2013.04.25","X2013.05.23","X2013.06.25","X2013.07.25","X2013.08.23","X2013.09.26","X2013.10.25","X2013.11.25","X2013.12.20","X2014.01.23","X2014.02.24","X2014.03.24","X2014.04.25","X2014.05.22","X2014.06.25","X2014.07.25","X2014.08.25","X2014.09.25","X2014.10.23","X2014.11.24","X2014.12.19","X2015.01.23","X2015.02.25","X2015.03.25","X2015.04.24","X2015.05.22","X2015.06.24"
"1991-01","149072","149072","149072","149072","149072","149072","149072","149072","149072","149072","149072","149072","149072","149072","149072","149072","149072","149072","149072","149072","149072","149072","149072","149072","149072","149072","149072","149072","149072","149072","149072","149072","149072","149072","149072","149072","149072","149072","149072","149452","149452","149452","149452","149452","149452","149452","149452","149452","149516","149516","149516","149516","149516","149516","149516","149516","149447","149447","149447","149447","149447","149447","149447","149447","149447","149447","149470","149470","149470","149470","149470","149470","149470","149470","149470","149470","149470","149470","149470","149448","149448","149497","149497","149497","149497","149497","149497","149479","149479","149479","149479","149479","149414","149414","149414","149414","149456","149456","149456","149456","149456","149456","149456","149456","149456","149456","149456","149456","149481","149481","149481","149481","149481","149481","149481"
"1991-02","121390","121390","121390","121390","121390","121390","121390","121390","121390","121390","121390","121390","121390","121390","121390","121390","121390","121390","121390","121390","121390","121390","121390","121390","121390","121390","121390","121390","121390","121390","121390","121390","121390","121390","121390","121390","121390","121390","121390","120844","120844","120844","120844","120844","120844","120844","120844","120844","120883","120883","120883","120883","120883","120883","120883","120883","120813","120813","120813","120813","120813","120813","120813","120813","120813","120813","120811","120811","120811","120811","120811","120811","120811","120811","120811","120811","120811","120811","120811","120827","120827","120769","120769","120769","120769","120769","120769","120697","120697","120697","120697","120697","120719","120719","120719","120719","120762","120762","120762","120762","120762","120762","120762","120762","120762","120762","120762","120762","120732","120732","120732","120732","120732","120732","120732"
"1991-03","142195","142195","142195","142195","142195","142195","142195","142195","142195","142195","142195","142195","142195","142195","142195","142195","142195","142195","142195","142195","142195","142195","142195","142195","142195","142195","142195","142195","142195","142195","142195","142195","142195","142195","142195","142195","142195","142195","142195","136077","136077","136077","136077","136077","136077","136077","136077","136077","135992","135992","135992","135992","135992","135992","135992","135992","136118","136118","136118","136118","136118","136118","136118","136118","136118","136118","136126","136126","136126","136126","136126","136126","136126","136126","136126","136126","136126","136126","136126","136154","136154","136158","136158","136158","136158","136158","136158","136216","136216","136216","136216","136216","136209","136209","136209","136209","136179","136179","136179","136179","136179","136179","136179","136179","136179","136179","136179","136179","136162","136162","136162","136162","136162","136162","136162"
"1991-04","135393","135393","135393","135393","135393","135393","135393","135393","135393","135393","135393","135393","135393","135393","135393","135393","135393","135393","135393","135393","135393","135393","135393","135393","135393","135393","135393","135393","135393","135393","135393","135393","135393","135393","135393","135393","135393","135393","135393","133922","133922","133922","133922","133922","133922","133922","133922","133922","133935","133935","133935","133935","133935","133935","133935","133935","133893","133893","133893","133893","133893","133893","133893","133893","133893","133893","133906","133906","133906","133906","133906","133906","133906","133906","133906","133906","133906","133906","133906","133885","133885","133994","133994","133994","133994","133994","133994","134019","134019","134019","134019","134019","134043","134043","134043","134043","134042","134042","134042","134042","134042","134042","134042","134042","134042","134042","134042","134042","134051","134051","134051","134051","134051","134051","134051"
"1991-05","132686","132686","132686","132686","132686","132686","132686","132686","132686","132686","132686","132686","132686","132686","132686","132686","132686","132686","132686","132686","132686","132686","132686","132686","132686","132686","132686","132686","132686","132686","132686","132686","132686","132686","132686","132686","132686","132686","132686","132546","132546","132546","132546","132546","132546","132546","132546","132546","132528","132528","132528","132528","132528","132528","132528","132528","132547","132547","132547","132547","132547","132547","132547","132547","132547","132547","132519","132519","132519","132519","132519","132519","132519","132519","132519","132519","132519","132519","132519","132549","132549","132534","132534","132534","132534","132534","132534","132525","132525","132525","132525","132525","132509","132509","132509","132509","132495","132495","132495","132495","132495","132495","132495","132495","132495","132495","132495","132495","132510","132510","132510","132510","132510","132510","132510"
"1991-06","130078","130078","130078","130078","130078","130078","130078","130078","130078","130078","130078","130078","130078","130078","130078","130078","130078","130078","130078","130078","130078","130078","130078","130078","130078","130078","130078","130078","130078","130078","130078","130078","130078","130078","130078","130078","130078","130078","130078","131300","131300","131300","131300","131300","131300","131300","131300","131300","131319","131319","131319","131319","131319","131319","131319","131319","131344","131344","131344","131344","131344","131344","131344","131344","131344","131344","131353","131353","131353","131353","131353","131353","131353","131353","131353","131353","131353","131353","131353","131335","131335","131319","131319","131319","131319","131319","131319","131388","131388","131388","131388","131388","131373","131373","131373","131373","131360","131360","131360","131360","131360","131360","131360","131360","131360","131360","131360","131360","131360","131360","131360","131360","131360","131360","131360"
"1991-07","132575","132575","132575","132575","132575","132575","132575","132575","132575","132575","132575","132575","132575","132575","132575","132575","132575","132575","132575","132575","132575","132575","132575","132575","132575","132575","132575","132575","132575","132575","132575","132575","132575","132575","132575","132575","132575","132575","132575","132372","132372","132372","132372","132372","132372","132372","132372","132372","132339","132339","132339","132339","132339","132339","132339","132339","132347","132347","132347","132347","132347","132347","132347","132347","132347","132347","132353","132353","132353","132353","132353","132353","132353","132353","132353","132353","132353","132353","132353","132333","132333","132343","132343","132343","132343","132343","132343","132362","132362","132362","132362","132362","132373","132373","132373","132373","132368","132368","132368","132368","132368","132368","132368","132368","132368","132368","132368","132368","132371","132371","132371","132371","132371","132371","132371"
"1991-08","130035","130035","130035","130035","130035","130035","130035","130035","130035","130035","130035","130035","130035","130035","130035","130035","130035","130035","130035","130035","130035","130035","130035","130035","130035","130035","130035","130035","130035","130035","130035","130035","130035","130035","130035","130035","130035","130035","130035","131025","131025","131025","131025","131025","131025","131025","131025","131025","131009","131009","131009","131009","131009","131009","131009","131009","131002","131002","131002","131002","131002","131002","131002","131002","131002","131002","131006","131006","131006","131006","131006","131006","131006","131006","131006","131006","131006","131006","131006","130997","130997","131003","131003","131003","131003","131003","131003","130982","130982","130982","130982","130982","131059","131059","131059","131059","131063","131063","131063","131063","131063","131063","131063","131063","131063","131063","131063","131063","131061","131061","131061","131061","131061","131061","131061"
"1991-09","131555","131555","131555","131555","131555","131555","131555","131555","131555","131555","131555","131555","131555","131555","131555","131555","131555","131555","131555","131555","131555","131555","131555","131555","131555","131555","131555","131555","131555","131555","131555","131555","131555","131555","131555","131555","131555","131555","131555","132130","132130","132130","132130","132130","132130","132130","132130","132130","132128","132128","132128","132128","132128","132128","132128","132128","132175","132175","132175","132175","132175","132175","132175","132175","132175","132175","132174","132174","132174","132174","132174","132174","132174","132174","132174","132174","132174","132174","132174","132152","132152","132114","132114","132114","132114","132114","132114","132152","132152","132152","132152","132152","132153","132153","132153","132153","132149","132149","132149","132149","132149","132149","132149","132149","132149","132149","132149","132149","132141","132141","132141","132141","132141","132141","132141"
"1991-10","132810","132810","132810","132810","132810","132810","132810","132810","132810","132810","132810","132810","132810","132810","132810","132810","132810","132810","132810","132810","132810","132810","132810","132810","132810","132810","132810","132810","132810","132810","132810","132810","132810","132810","132810","132810","132810","132810","132810","132814","132814","132814","132814","132814","132814","132814","132814","132814","132814","132814","132814","132814","132814","132814","132814","132814","132912","132912","132912","132912","132912","132912","132912","132912","132912","132912","132860","132860","132860","132860","132860","132860","132860","132860","132860","132860","132860","132860","132860","132840","132840","132780","132780","132780","132780","132780","132780","132782","132782","132782","132782","132782","132803","132803","132803","132803","132805","132805","132805","132805","132805","132805","132805","132805","132805","132805","132805","132805","132802","132802","132802","132802","132802","132802","132802"
