Monat/Jahr,R 1,R 2,R 3,R 4,R 5,R 6
 01/1991,110.4,119,102.4,13.2,25.8,1.3
 02/1991,109.6,117.3,102.4,11.7,22.7,1.3
 03/1991,108.2,115.2,101.5,8.9,18.7,-0.5
 04/1991,108.4,115,102.1,9.3,18.2,0.7
 05/1991,107.2,113.1,101.6,7.1,14.6,-0.2
 06/1991,107.1,113.4,101.2,6.9,15.3,-1.2
 07/1991,106.4,111.7,101.3,5.5,12.1,-0.9
 08/1991,105.4,109.1,101.9,3.6,7.1,0.2
 09/1991,105.1,108.6,101.7,3,6.1,-0.1
 10/1991,106.3,109.6,103.1,5.2,8,2.6
 11/1991,104.8,107.7,101.9,2.4,4.5,0.3
 12/1991,103.5,106.8,100.2,-0.2,2.8,-3.1
 01/1992,103.2,106.6,99.8,-0.7,2.4,-3.8
 02/1992,101.5,104.6,98.6,-3.9,-1.4,-6.3
 03/1992,100.6,102.5,98.7,-5.7,-5.4,-6.1
 04/1992,99.7,102,97.5,-7.4,-6.4,-8.4
 05/1992,99.6,100.4,98.9,-7.6,-9.5,-5.7
 06/1992,99.4,99.9,98.9,-8.1,-10.5,-5.7
 07/1992,98.3,98.9,97.6,-10.2,-12.3,-8.1
 08/1992,94.8,95.8,93.9,-16.9,-18.2,-15.5
 09/1992,93.8,95.5,92.3,-18.7,-18.8,-18.7
 10/1992,90.8,92.9,88.7,-24.7,-23.7,-25.7
 11/1992,88,89.7,86.3,-30.1,-29.8,-30.4
 12/1992,89.1,91.2,87.1,-27.9,-27,-28.8
 01/1993,88.3,87.2,89.4,-29.5,-34.5,-24.2
 02/1993,86.7,84.7,88.7,-32.6,-39.2,-25.7
 03/1993,89.1,86.7,91.6,-27.9,-35.5,-19.9
 04/1993,87.9,85.6,90.3,-30.2,-37.6,-22.4
 05/1993,87.5,84,91.2,-30.9,-40.5,-20.8
 06/1993,89.5,85.3,94,-27.1,-38.1,-15.2
 07/1993,89.8,85.2,94.6,-26.6,-38.3,-14
 08/1993,92,86.9,97.3,-22.4,-35,-8.8
 09/1993,91,85.7,96.5,-24.3,-37.3,-10.3
 10/1993,91.3,84.8,98.3,-23.7,-39.1,-6.8
 11/1993,91.7,86.6,97,-22.9,-35.6,-9.3
 12/1993,93,87.3,99.1,-20.4,-34.4,-5.3
 01/1994,93.1,87,99.6,-20.4,-35,-4.4
 02/1994,95.8,90.9,101,-15,-27.6,-1.6
 03/1994,97.3,92.1,102.9,-12.1,-25.3,2.1
 04/1994,98.5,92,105.6,-9.8,-25.6,7.4
 05/1994,99.8,94.1,105.8,-7.3,-21.4,7.9
 06/1994,101.9,97,107.2,-3.2,-16.1,10.5
 07/1994,100.8,95.5,106.5,-5.4,-19,9.2
 08/1994,102.4,98.7,106.3,-2.3,-12.8,8.8
 09/1994,104.3,100.3,108.4,1.3,-9.7,13
 10/1994,105,100.5,109.7,2.7,-9.4,15.5
 11/1994,104.8,101.1,108.7,2.3,-8.2,13.5
 12/1994,104.5,102.3,106.8,1.8,-5.9,9.7
 01/1995,104.5,103.1,106,1.8,-4.4,8.2
 02/1995,104.1,103.7,104.5,1,-3.2,5.3
 03/1995,102.2,101.8,102.6,-2.7,-6.9,1.6
 04/1995,100.5,101.1,100,-5.9,-8.2,-3.5
 05/1995,101.2,102,100.5,-4.5,-6.5,-2.6
 06/1995,100.1,101.3,99,-6.7,-7.9,-5.4
 07/1995,98.2,98.2,98.1,-10.5,-13.7,-7.2
 08/1995,98.5,98.3,98.6,-9.9,-13.5,-6.2
 09/1995,98.5,98.1,98.9,-9.8,-13.9,-5.6
 10/1995,97.3,96.4,98.1,-12.2,-17.1,-7.1
 11/1995,96.7,96.1,97.4,-13.2,-17.7,-8.6
 12/1995,95.7,95.6,95.8,-15.2,-18.6,-11.8
 01/1996,95.7,96,95.3,-15.3,-17.9,-12.6
 02/1996,94.6,93.6,95.6,-17.3,-22.3,-12.2
 03/1996,92.7,91,94.5,-20.9,-27.3,-14.3
 04/1996,93.7,92.3,95.1,-19.1,-24.8,-13.1
 05/1996,93.3,91.1,95.5,-19.9,-27.1,-12.4
 06/1996,92.9,90,95.9,-20.6,-29.2,-11.6
 07/1996,95.8,93.4,98.2,-15,-22.7,-7
 08/1996,96.1,92.7,99.7,-14.4,-24,-4.2
 09/1996,97.8,94.2,101.6,-11.1,-21.3,-0.3
 10/1996,98.5,94.7,102.5,-9.8,-20.4,1.5
 11/1996,97.1,93.6,100.7,-12.6,-22.4,-2.2
 12/1996,97,94.3,99.8,-12.6,-21,-3.9
 01/1997,98.6,96.3,100.9,-9.5,-17.2,-1.6
 02/1997,98,95.5,100.6,-10.7,-18.8,-2.2
 03/1997,97.4,94.5,100.3,-11.9,-20.6,-2.8
 04/1997,99.5,98.1,100.9,-7.8,-13.8,-1.6
 05/1997,99.8,98.2,101.5,-7.2,-13.6,-0.6
 06/1997,100.4,99.3,101.5,-6.1,-11.6,-0.5
 07/1997,102.2,101.2,103.2,-2.6,-8,2.9
 08/1997,102.3,99.5,105.1,-2.4,-11.1,6.6
 09/1997,104.8,102.6,107,2.4,-5.2,10.4
 10/1997,105,103.4,106.5,2.7,-3.7,9.3
 11/1997,103.9,102.7,105,0.6,-5.1,6.4
 12/1997,104.2,104.8,103.7,1.3,-1.1,3.8
 01/1998,102.8,104,101.6,-1.5,-2.7,-0.3
 02/1998,102.9,103.9,101.8,-1.3,-2.8,0.2
 03/1998,104,105.7,102.3,0.9,0.7,1.1
 04/1998,103.8,105.2,102.3,0.4,-0.2,1.1
 05/1998,103.8,104.3,103.3,0.5,-2,3.1
 06/1998,103.7,104.6,102.9,0.4,-1.5,2.3
 07/1998,104.3,106.5,102.2,1.5,2.1,0.8
 08/1998,103.3,104.1,102.4,-0.5,-2.4,1.4
 09/1998,101.5,103.6,99.5,-3.9,-3.3,-4.5
 10/1998,100.1,101.3,98.9,-6.7,-7.7,-5.6
 11/1998,99.4,102,96.9,-8,-6.4,-9.6
 12/1998,98.8,102,95.7,-9.1,-6.4,-11.8
 01/1999,97.3,99.7,94.9,-12.1,-10.8,-13.4
 02/1999,96.2,98.2,94.2,-14.2,-13.6,-14.8
 03/1999,97.1,100.1,94.1,-12.5,-9.9,-15
 04/1999,96.5,97.6,95.5,-13.6,-14.8,-12.4
 05/1999,97.1,97.3,97,-12.4,-15.4,-9.3
 06/1999,98.8,98.9,98.8,-9.1,-12.3,-5.9
 07/1999,99.4,99,99.9,-7.9,-12.1,-3.7
 08/1999,101.3,100.3,102.3,-4.4,-9.7,1.1
 09/1999,103.1,101.5,104.7,-0.8,-7.3,5.9
 10/1999,102.8,100.8,104.8,-1.5,-8.7,6
 11/1999,104.5,104.2,104.8,1.8,-2.3,6
 12/1999,104.1,105,103.3,1.1,-0.8,3
 01/2000,103.6,103,104.2,0.1,-4.5,4.8
 02/2000,105.1,105.6,104.5,2.9,0.5,5.4
 03/2000,104.7,104.4,105.1,2.3,-1.9,6.5
 04/2000,105.5,106.5,104.5,3.7,2.1,5.4
 05/2000,106.2,107.9,104.6,5.2,4.8,5.5
 06/2000,104.8,105.8,103.7,2.3,0.9,3.8
 07/2000,104.6,105.4,103.9,2.1,0,4.2
 08/2000,105.5,107.4,103.6,3.8,3.8,3.7
 09/2000,104.9,106.4,103.4,2.6,1.9,3.2
 10/2000,104.8,105.8,103.7,2.3,0.9,3.8
 11/2000,103.7,106.2,101.4,0.4,1.5,-0.7
 12/2000,102.3,106.1,98.7,-2.4,1.3,-6.1
 01/2001,102.5,107.1,98.2,-1.9,3.2,-7
 02/2001,100.9,104.1,97.8,-5.1,-2.4,-7.7
 03/2001,100.1,103.2,97,-6.8,-4.1,-9.4
 04/2001,98.1,100.5,95.7,-10.6,-9.2,-12
 05/2001,97.2,100.1,94.3,-12.3,-9.9,-14.6
 06/2001,95.5,97.9,93.2,-15.5,-14.2,-16.8
 07/2001,96,97.2,94.8,-14.5,-15.5,-13.6
 08/2001,96.3,96.8,95.7,-14.1,-16.3,-11.8
 09/2001,92.5,93.3,91.7,-21.4,-23,-19.7
