"Sentiment data: consumers, businesses, forecasters, and journalists",,,,,,,,,,,,
,European Commission Consumer Survey,,Ifo survey,,Consensus and Focus Economics,,,,MediaTenor International,,,
,http://ec.europa.eu/economy_finance/db_indicators/surveys/time_series/index_en.htm,,http://www.cesifo-group.de/de/ifoHome/facts/Time-series-and-Diagrams/Zeitreihen/Reihen-Geschaeftsklima-Deutschland.html,,,,,,,,,
,CONS.DE.TOT.3.BS.M,CONS.DE.TOT.4.BS.M,R 5 : Geschäftsbeurteilung,R 6 : Geschäftserwartungen,,,,,,,,
,Cons_situation,Cons_expectation,Ifo_situation,Ifo_expectation,Consensus_situation,Consensus_expectation,Consensus_FE_situation,Consensus_FE_expectation,MTI_situation,MTI_expectation,MTI_all_Konjunktur,MTI_all_Arbeitsmarkt
Jan-85,-9,-4.6,,,,,,,,,,
Feb-85,-11.6,-6.9,,,,,,,,,,
Mar-85,-12.8,-7.3,,,,,,,,,,
Apr-85,-12.9,-7.6,,,,,,,,,,
May-85,-11.8,-6.2,,,,,,,,,,
Jun-85,-15.4,-9.6,,,,,,,,,,
Jul-85,-10.2,-6.2,,,,,,,,,,
Aug-85,-9.8,-6.8,,,,,,,,,,
Sep-85,-10.2,-6.1,,,,,,,,,,
Oct-85,-8.6,-5.4,,,,,,,,,,
Nov-85,-6.5,-1.5,,,,,,,,,,
Dec-85,-5.2,-1.7,,,,,,,,,,
Jan-86,-3.3,-1.9,,,,,,,,,,
Feb-86,1.6,1.1,,,,,,,,,,
Mar-86,4.5,2,,,,,,,,,,
Apr-86,5.4,2.6,,,,,,,,,,
May-86,6.3,2.5,,,,,,,,,,
Jun-86,9,3.6,,,,,,,,,,
Jul-86,8.5,4.7,,,,,,,,,,
Aug-86,10.7,5.4,,,,,,,,,,
Sep-86,7.9,1.7,,,,,,,,,,
Oct-86,9.9,2,,,,,,,,,,
Nov-86,10.2,2.4,,,,,,,,,,
Dec-86,10.9,2.6,,,,,,,,,,
Jan-87,7.1,0.1,,,,,,,,,,
Feb-87,4.4,-2.5,,,,,,,,,,
Mar-87,3.7,-3.4,,,,,,,,,,
Apr-87,3.1,-4,,,,,,,,,,
May-87,1.6,-5,,,,,,,,,,
Jun-87,0.2,-4.2,,,,,,,,,,
Jul-87,-2.3,-8.1,,,,,,,,,,
Aug-87,-4.8,-9.7,,,,,,,,,,
Sep-87,-2.9,-6.5,,,,,,,,,,
Oct-87,-5.9,-9.2,,,,,,,,,,
Nov-87,-11.1,-14.8,,,,,,,,,,
Dec-87,-14,-17.4,,,,,,,,,,
Jan-88,-19.4,-20.8,,,,,,,,,,
Feb-88,-17.1,-16.9,,,,,,,,,,
Mar-88,-16,-15.9,,,,,,,,,,
Apr-88,-13,-14.4,,,,,,,,,,
May-88,-11,-14.3,,,,,,,,,,
Jun-88,-8.8,-12.9,,,,,,,,,,
Jul-88,-11,-14.4,,,,,,,,,,
Aug-88,-9.1,-11,,,,,,,,,,
Sep-88,-7.3,-11.5,,,,,,,,,,
Oct-88,-4.8,-7.1,,,,,,,,,,
Nov-88,-0.5,-4.9,,,,,,,,,,
Dec-88,1.1,-4,,,,,,,,,,
Jan-89,-1.6,-4.4,,,,,,,,,,
Feb-89,-1.5,-6.5,,,,,,,,,,
Mar-89,-1.3,-4.4,,,,,,,,,,
Apr-89,-2.8,-4.9,,,,,,,,,,
May-89,-3.2,-3.7,,,,,,,,,,
Jun-89,5.8,0.2,,,,,,,,,,
Jul-89,8.7,3.3,,,,,,,,,,
Aug-89,7.6,1.4,,,,,,,,,,
Sep-89,11.3,2.1,,,,,,,,,,
Oct-89,5.9,-1.9,,,,,,,,,,
Nov-89,8.5,-1.7,,,,,,,,,,
Dec-89,9.7,4.7,,,,,,,,,,
Jan-90,12.3,5.3,,,,,,,,,,
Feb-90,11.1,2.7,,,,,,,,,,
Mar-90,6.1,-4.1,,,,,,,,,,
Apr-90,10.6,0.4,,,,,,,,,,
May-90,10.9,1.1,,,,,,,,,,
Jun-90,10.2,-0.4,,,,,,,,,,
Jul-90,12.2,5,,,,,,,,,,
Aug-90,10.3,2.6,,,,,,,,,,
Sep-90,0.1,-6.5,,,,,,,,,,
Oct-90,0,-6.8,,,,,,,,,,
Nov-90,-1.8,-6.4,,,,,,,,,,
Dec-90,2.2,-3.8,,,,,,,,,,
Jan-91,-1.5,-10.8,25.8,1.3,,,,,,,,
Feb-91,-4.5,-15.5,22.7,1.3,,,,,,,,
Mar-91,-10.5,-15.8,18.7,-0.5,,,,,,,,
Apr-91,-10.2,-14.7,18.2,0.7,,,,,,,,
May-91,-13.4,-12.5,14.6,-0.2,,,,,,,,
Jun-91,-15.9,-14.9,15.3,-1.2,,,,,,,,
Jul-91,-26.1,-21.4,12.1,-0.9,,,,,,,,
Aug-91,-27.6,-21.7,7.1,0.2,,,,,,,,
Sep-91,-30,-17.8,6.1,-0.1,,,,,,,,
Oct-91,-26.4,-15.3,8,2.6,,,,,,,,
Nov-91,-25.2,-13.1,4.5,0.3,,,,,,,,
Dec-91,-26.6,-15.2,2.8,-3.1,,,,,,,,
Jan-92,-25.7,-17.1,2.4,-3.8,1.534482759,2.916666667,0.37740419,-3.91876408,,,,
Feb-92,-22.7,-12.2,-1.4,-6.3,1.5375,2.915789474,0.374386949,-3.917886887,,,,
Mar-92,-24.3,-15.9,-5.4,-6.1,1.55,2.856,0.361886949,-3.858097413,,,,
Apr-92,-31.4,-23.3,-6.4,-8.4,1.806896552,2.913793103,0.104990397,-3.915890516,,,,
May-92,-38.1,-27.2,-9.5,-5.7,1.986206897,2.911111111,-0.074319948,-3.913208524,,,,
Jun-92,-36.5,-24.1,-10.5,-5.7,2.062962963,2.980769231,-0.151076014,-3.982866644,,,,
Jul-92,-33.7,-21.3,-12.3,-8.1,2.003703704,2.822222222,-0.091816755,-3.824319635,,,,
Aug-92,-32.9,-21.3,-18.2,-15.5,1.910714286,2.725,0.001172663,-3.727097413,,,,
Sep-92,-37,-23.9,-18.8,-18.7,1.853571429,2.714285714,0.05831552,-3.716383127,,,,
Oct-92,-41.4,-28.5,-23.7,-25.7,1.75862069,2.565517241,0.153266259,-3.567614654,,,,
Nov-92,-44.4,-34.6,-29.8,-30.4,1.773333333,2.4,0.138553616,-3.402097413,,,,
Dec-92,-50.4,-40.8,-27,-28.8,1.910344828,2.6,0.001542121,-3.602097413,,,,
Jan-93,-51.4,-39.7,-34.5,-24.2,2.732258065,2.948,-3.734355478,-0.476248588,,,,
Feb-93,-50.5,-37.6,-39.2,-25.7,2.903571429,3,-3.905668842,-0.528248588,,,,
Mar-93,-52.7,-41.1,-35.5,-19.9,3.11,2.996551724,-4.112097413,-0.524800312,,,,
Apr-93,-50.4,-34.7,-37.6,-22.4,3.188888889,2.969230769,-4.190986302,-0.497479357,,,,
May-93,-50.3,-36.5,-40.5,-20.8,3.044827586,3,-4.046924999,-0.528248588,,,,
Jun-93,-54.4,-38.6,-38.1,-15.2,2.707407407,2.915384615,-3.70950482,-0.443633203,,,,
Jul-93,-57.4,-40.1,-38.3,-14,2.546153846,2.965384615,-3.548251259,-0.493633203,,,,
Aug-93,-55,-36,-35,-8.8,2.465517241,2.825,-3.467614654,-0.353248588,,,,
Sep-93,-55.4,-33.9,-37.3,-10.3,2.348148148,2.703703704,-3.350245561,-0.231952292,,,,
Oct-93,-58.6,-39.8,-39.1,-6.8,2.577777778,2.663888889,-3.579875191,-0.192137477,,,,
Nov-93,-57.7,-38.2,-35.6,-9.3,2.638888889,2.747222222,-3.640986302,-0.27547081,,,,
Dec-93,-59.9,-36.3,-34.4,-5.3,2.708333333,2.772222222,-3.710430746,-0.30047081,,,,
Jan-94,-60.2,-34.1,-35,-4.4,2.961111111,2.7,-0.489359699,-1.022995635,,,,
Feb-94,-56.9,-31.3,-27.6,-1.6,3.2,2.687878788,-0.728248588,-1.010874423,,,,
Mar-94,-50,-23.3,-25.3,2.1,3.479411765,2.776470588,-1.007660353,-1.099466223,,,,
Apr-94,-45.7,-19.2,-25.6,7.4,3.620588235,2.852941176,-1.148836823,-1.175936811,,,,
May-94,-35.8,-11.7,-21.4,7.9,3.535294118,2.867647059,-1.063542706,-1.190642694,,,,
Jun-94,-25.8,-5.5,-16.1,10.5,3.602857143,2.822857143,-1.131105731,-1.145852778,,,,
Jul-94,-19.1,-5,-19,9.2,3.642857143,2.78,-1.171105731,-1.102995635,,,,
Aug-94,-17.6,-5.7,-12.8,8.8,3.552941176,2.729411765,-1.081189764,-1.0524074,,,,
Sep-94,-11.5,-2.4,-9.7,13,3.52,2.708571429,-1.048248588,-1.031567064,,,,
Oct-94,-6.9,3.1,-9.4,15.5,3.551515152,2.654545455,-1.07976374,-0.97754109,,,,
Nov-94,-5.6,4,-8.2,13.5,3.71875,2.73125,-1.246998588,-1.054245635,,,,
Dec-94,-5.4,1,-5.9,9.7,3.847222222,2.947222222,-1.37547081,-1.270217857,,,,
Jan-95,-4.7,3.5,-4.4,8.2,3.008823529,2.303225806,-1.331819164,-1.512444062,,,,
Feb-95,-5.8,1.7,-3.2,5.3,3.048387097,2.246666667,-1.371382732,-1.455884923,,,,
Mar-95,1.2,5.5,-6.9,1.6,3.106060606,2.215625,-1.429056241,-1.424843256,,,,
Apr-95,-0.6,2.7,-8.2,-3.5,3.177419355,2.263333333,-1.50041499,-1.472551589,,,,
May-95,-3,-0.1,-6.5,-2.6,3.046875,2.36875,-1.369870635,-1.577968256,,,,
Jun-95,-8.4,-4.3,-7.9,-5.4,2.932258065,2.35483871,-1.2552537,-1.564056966,,,,
Jul-95,-6.4,-4.3,-13.7,-7.2,2.794285714,2.402857143,-1.117281349,-1.612075399,,,,
Aug-95,-10.8,-9.5,-13.5,-6.2,2.726470588,2.520588235,-1.049466223,-1.729806491,,,,
Sep-95,-10.3,-10.6,-13.9,-5.6,2.837142857,2.548571429,-1.160138492,-1.757789685,,,,
Oct-95,-13.7,-12,-17.1,-7.1,2.935483871,2.590322581,-1.258479506,-1.799540837,,,,
Nov-95,-17.3,-13.7,-17.7,-8.6,3.126470588,2.658823529,-1.449466223,-1.868041785,,,,
Dec-95,-22.3,-17.4,-18.6,-11.8,3.113793103,2.610344828,-1.436788738,-1.819563084,,,,
Jan-96,-29.5,-21.4,-17.9,-12.6,2.633333333,2.447826087,-1.842551589,-0.71054745,,,,
Feb-96,-34.6,-25.5,-22.3,-12.2,1.989655172,2.110714286,-1.198873428,-0.373435649,,,,
Mar-96,-35.5,-23.5,-27.3,-14.3,1.906666667,2.134482759,-1.115884923,-0.397204122,,,,
Apr-96,-39.6,-26.6,-24.8,-13.1,1.934375,2.103125,-1.143593256,-0.365846363,,,,
May-96,-41.1,-29.8,-27.1,-12.4,2.16,2.063333333,-1.369218256,-0.326054696,,,,
Jun-96,-46.2,-33.1,-29.2,-11.6,2.185294118,2.114705882,-1.394512374,-0.377427245,,,,
Jul-96,-44,-30.7,-22.7,-7,2.225806452,2.119354839,-1.435024708,-0.382076202,,,,
Aug-96,-42.8,-30.8,-24,-4.2,2.258064516,2.177419355,-1.467282772,-0.440140718,,,,
Sep-96,-44.6,-31.2,-21.3,-0.3,2.328125,2.303125,-1.537343256,-0.565846363,,,,
Oct-96,-42.5,-30.1,-20.4,1.5,2.296875,2.28125,-1.506093256,-0.543971363,,,,
Nov-96,-41.3,-28.4,-22.4,-2.2,2.275,2.282142857,-1.484218256,-0.54486422,,,,
