,id,Source,Comment
M1,23,Buba,no consistent data available. see original papar of drechsel and scheufle 2012.
M2,25,Buba,no consistent data available. see original papar of drechsel and scheufle 2012.
M3,27,Buba,no consistent data available. see original papar of drechsel and scheufle 2012.
M1R,24,Buba,no consistent data available. see original papar of drechsel and scheufle 2012.
M2R,26,Buba,no consistent data available. see original papar of drechsel and scheufle 2012.
M3R,28,Buba,no consistent data available. see original papar of drechsel and scheufle 2012.
PMI,52,datastream,only available since 2005 and until 2013
SPR-B-A,12,ML,no access to Merrill Lynch data
SPR-HY-A,13,ML,no access to Merrill Lynch data
SPR-B-G,14,Buba/ML,no access to Merrill Lynch data
SPR-BF-G,15,Buba/ML,no access to Merrill Lynch data
SPR-HY-G,16,Buba/ML,no access to Merrill Lynch data
SPR-A-G,17,Buba/ML,no access to Merrill Lynch data
COM,92,Com,no access to Commerzbank indicator
