,zew  ,esi eu,esi ger,cli eur,cli ger,cons conf,gfk,bus exp,ip,u,dax,eur stox,gold,long rate,short rate,oil,wholesale,retail sales,manuf order,constr order,m0,m1,m2,m3,usd,eer,tot,cpi,prod,empl
15/01/1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.4,,
15/02/1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.2,,
15/03/1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,
15/04/1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.9,,
15/05/1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.8,,
15/06/1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.6,,
15/07/1950,,,,,,,,,,,,,,,4,,,,,,,,,,,,,20.3,,
15/08/1950,,,,,,,,,,,,,,,4,,,,,,,,,,,,,20.5,,
15/09/1950,,,,,,,,,,,,,,,4,,,,,,,,,,,,,20.7,,
15/10/1950,,,,,,,,,,,,,,,6,,,,,,,,,,,,,20.8,,
15/11/1950,,,,,,,,,,,,,,,6,,,,,,,,,,,,,21.1,,
15/12/1950,,,,,,,,,,,,,,,6,,,,,,,,,,,,,21.1,,
15/01/1951,,,,,,,,,,,,,,,6,,,,,,,,,,,,,21.5,,
15/02/1951,,,,,,,,,,,,,,,6,,,,,,,,,,,,,21.7,,
15/03/1951,,,,,,,,,,,,,,,6,,,,,,,,,,,,,22.1,,
15/04/1951,,,,,,,,,,,,,,,6,,,,,,,,,,,,,22.4,,
15/05/1951,,,,,,,,,,,,,,,6,,,,,,,,,,,,,22.4,,
15/06/1951,,,,,,,,,,,,,,,6,,,,,,,,,,,,,22.5,,
15/07/1951,,,,,,,,,,,,,,,6,,,,,,,,,,,,,22.2,,
15/08/1951,,,,,,,,,,,,,,,6,,,,,,,,,,,,,22.5,,
15/09/1951,,,,,,,,,,,,,,,6,,,,,,,,,,,,,22.6,,
15/10/1951,,,,,,,,,,,,,,,6,,,,,,,,,,,,,23.2,,
15/11/1951,,,,,,,,,,,,,,,6,,,,,,,,,,,,,23.5,,
15/12/1951,,,,,,,,,,,,,,,6,,,,,,,,,,,,,23.4,,
15/01/1952,,,,,,,,,,,,,,,6,,,,,,,,,,,,,23.5,,
15/02/1952,,,,,,,,,,,,,,,6,,,,,,,,,,,,,23.4,,
15/03/1952,,,,,,,,,,,,,,,6,,,,,,,,,,,,,23.2,,
15/04/1952,,,,,,,,,,,,,,,6,,,,,,,,,,,,,23.2,,
15/05/1952,,,,,,,,,,,,,,,5,,,,,,,,,,,,,22.8,,
15/06/1952,,,,,,,,,,,,,,,5,,,,,,,,,,,,,22.7,,
15/07/1952,,,,,,,,,,,,,,,5,,,,,,,,,,,,,22.4,,
15/08/1952,,,,,,,,,,,,,,,4.5,,,,,,,,,,,,,22.7,,
15/09/1952,,,,,,,,,,,,,,,4.5,,,,,,,,,,,,,22.7,,
15/10/1952,,,,,,,,,,,,,,,4.5,,,,,,,,,,,,,22.8,,
15/11/1952,,,,,,,,,,,,,,,4.5,,,,,,,,,,,,,23,,
15/12/1952,,,,,,,,,,,,,,,4.5,,,,,,,,,,,,,23,,
15/01/1953,,,,,,,,,,,,,,,4,,,,,,,,,,,,,23.1,,
15/02/1953,,,,,,,,,,,,,,,4,,,,,,,,,,,,,22.9,,
15/03/1953,,,,,,,,,,,,,,,4,,,,,,,,,,,,,22.8,,
