"","DC","JM","SN"
"1",-1,1,0
"2",-2,1,0
"3",0,0,-1
"4",1,2,2
"5",0,-1,-2
"6",0,-1,-1
"7",1,-1,0
"8",-3,-2,-3
"9",1,0,0
"10",-2,-2,-1
"11",0,1,0
"12",1,0,0
"13",0,0,0
"14",2,2,1
"15",-1,0,0
"16",0,-1,0
"17",-1,0,0
"18",0,1,0
"19",1,-1,0
"20",-1,-1,0
"21",-1,0,0
"22",-1,1,0
"23",1,-1,0
"24",-1,-2,0
"25",-2,-2,0
"26",-2,-2,0
"27",-3,-2,0
"28",-3,-3,0
"29",-3,-1,-1
"30",0,-3,-1
"31",-2,-2,-2
"32",-3,-3,-3
"33",-1,0,1
"34",1,1,1
"35",1,1,1
"36",0,2,1
"37",1,0,-1
"38",-2,-1,-1
"39",-2,-1,-1
"40",1,0,0
"41",1,2,1
"42",2,2,1
"43",-1,1,-1
"44",-2,0,-1
"45",-1,1,1
"46",-2,-1,-1
"47",-3,-2,-2
"48",-1,-2,-1
"49",-1,-2,-1
"50",-1,-2,-2
"51",-2,-3,-3
"52",-3,0,0
"53",-1,0,0
"54",2,2,0
"55",2,1,0
"56",-2,-1,-1
"57",1,1,1
"58",-1,-1,2
"59",-1,-1,-1
"60",-2,-2,-2
"61",-1,0,0
"62",-2,-1,-1
"63",-1,-1,1
"64",-1,-1,1
"65",-1,0,0
"66",0,-1,-1
"67",0,0,0
"68",0,0,0
"69",0,-1,-1
"70",-1,0,0
"71",-1,-1,0
"72",-1,0,0
"73",-1,-1,0
"74",-1,-1,0
"75",1,-1,0
"76",1,0,0
"77",-1,-2,-2
"78",-1,-2,0
"79",-2,-2,-2
"80",-1,-1,-1
"81",-2,-2,-2
"82",1,2,0
"83",1,2,0
"84",-2,-2,-2
"85",-2,-2,-1
"86",-2,-3,-1
"87",-1,-1,-1
"88",-1,0,1
"89",-2,-2,-3
"90",1,2,0
"91",3,3,3
"92",3,2,3
"93",3,2,1
"94",2,2,2
"95",1,1,-1
"96",2,2,2
"97",2,2,2
"98",-1,0,-1
"99",-2,0,-1
"100",0,1,0
"101",3,3,2
"102",2,3,2
"103",0,0,0
"104",1,2,2
"105",1,1,2
"106",1,2,3
"107",-1,0,-1
"108",1,-1,1
"109",-1,-1,-1
"110",-1,-2,-1
"111",1,-1,2
"112",-1,0,0
"113",1,-1,1
"114",-2,-2,0
"115",0,-1,0
"116",-2,-1,0
"117",1,2,0
"118",-3,-1,0
"119",-2,-2,-1
"120",-2,-2,-1
"121",-2,-2,-1
"122",-1,-1,1
"123",-1,0,0
