"","mse","rank.mean","rmse","rank.rmse","rank.rank.mean","cw.p"
"MT.all",375.904827268509,113.490384615385,19.388265194919,154,117,0.208867809700073
"MT.de",388.251636216325,108.451923076923,19.7041020149695,182,71,0.61697374870595
"MT.presence",381.94857634519,118.605769230769,19.5435047098823,168,159,0.0849700547761603
"MT.future",357.155890392766,113.836538461538,18.8985684746958,105,122,0.160506175287858
"MT.climate",365.796687814002,109.038461538462,19.1258120824712,115,80,0.149010245615455
"MT.de.present",366.014548158385,109.942307692308,19.131506688141,116,86,0.0244401506061672
"MT.de.future",369.306804444592,100.557692307692,19.2173568537557,126,37,0.174889678079804
"MT.de.climate",382.796151804499,107.605769230769,19.5651770195033,171,65,0.557228038097057
"MT.currency",374.001589265686,129.326923076923,19.3391206952562,146,209,0.108915411418841
"MT.taxation",385.342036991117,124.586538461538,19.6301308449821,178,196,0.57183329704937
"MT.cycle",327.298048392966,82.0384615384615,18.0913804999222,83,6,0.104973030963573
"MT.labor",388.559491899163,127.75,19.7119124363711,183,205,0.86194793195454
"MT.budget",373.35196068049,124.942307692308,19.322317683976,145,197,0.219484629195255
"MT.de.taxation",360.91564814199,122.942307692308,18.997780084578,109,186,0.19284692029633
"MT.de.cycle",353.432281937201,90.6634615384615,18.7997947312517,104,17,0.0614100178244565
"MT.de.labor",395.615981205391,122.317307692308,19.8900975665126,190,184,0.822125959835495
"MT.de.budget",381.0756443954,107.336538461538,19.5211588896612,167,63,0.672970444610089
"DMT.all",371.392541354241,115.028846153846,19.2715474561396,132,133,0.0814147642001146
"DMT.future",370.487082358669,110.403846153846,19.2480410005452,129,89,0.14723552738723
"DMT.presence",379.127865928441,117.875,19.4712060727743,164,151,0.188794666398531
"DMT.climate",366.632047465689,110.711538461538,19.147638169385,118,92,0.0985827614472179
"DMT.de",371.855908870483,114.067307692308,19.2835657716741,136,125,0.0997566458941018
"DMT.de.future",369.205622234813,109.442307692308,19.2147240998879,125,81,0.148222086308803
"DMT.de.present",367.739320985735,104.759615384615,19.1765304731,123,48,0.035756676369419
"DMT.de.climate",372.908994470723,113.557692307692,19.3108517282569,141,119,0.0905235046693095
"DMT.budget",362.77687173967,110.961538461538,19.0467023849188,111,96,0.106911046559303
"DMT.currency",376.720318298948,121.153846153846,19.4092843324773,156,176,0.783751128026957
"DMT.labor",375.379097684903,114.009615384615,19.374702518617,151,124,0.913395584748125
"DMT.cycle",364.858264336247,106.509615384615,19.1012634225134,114,59,0.066548652085709
"DMT.taxation",374.185371813383,116.038461538462,19.3438716862314,147,142,0.722485696294054
"DMT.de.budget",369.790433784377,107.865384615385,19.2299358757219,127,66,0.134034007832098
"DMT.de.labor",375.22349514223,113.009615384615,19.3706864912483,150,113,0.885236296532454
"DMT.de.cycle",367.530123670174,112.144230769231,19.1710751829462,122,106,0.0109317921353788
"DMT.de.taxation",366.758805022945,116.336538461538,19.1509478883669,119,144,0.195015023178692
