"","model","rmse","theilsu","rank.theilsu","cw.pvalue","in mcs","mcs.pvalue","h"
"1","MT.de.present",28.37,0.91,93,0.06,0,0,1
"2","MT.de.present",32.73,0.89,94,0.09,0,0,2
"3","MT.present",33.78,0.87,90,0.09,0,0,3
"4","MT.present",31.08,0.84,71,0.1,0,0,4
"5","MT.de.present",23.27,0.74,44,0.1,0,0.13,5
"6","MT.de.present",17.5,0.66,33,0.11,1,0.25,6
"7","MT.present",13.33,0.68,27,0.11,0,0.24,7
"8","MT.present",10.53,0.83,13,0.06,1,0.4,8
"9","MT.de.future",9.17,0.85,5,0.01,1,0.43,9
"10","MT.de.future",8.43,0.83,1,0,1,1,10
"11","MT.de.climate",8.69,0.77,1,0,1,1,11
"12","MT.de.future",8.46,0.77,1,0,1,1,12
