"","horizon","best"
"1",1,"MT.presence"
"2",2,"MT.presence"
"3",3,"MT.presence"
"4",4,"MT.presence"
"5",5,"MT.presence"
"6",6,"MT.presence"
"7",7,"MT.presence"
"8",8,"MT.presence"
"9",9,"MT.presence"
"10",10,"MT.climate"
"11",11,"MT.presence"
"12",12,"MT.presence"
