,horizon,best
1,0,sent_negv_rel_50
2,1,valuext_rel
3,2,MT.de.climate
4,3,MT.de
5,4,MT.de.climate
6,5,MT.cycle
7,6,MT.de
8,7,MT.de
9,8,MT.all
10,9,MT.de
11,10,ECCS6
12,11,ECCS6
13,12,DALQ
