"","horizon","best"
"1",1,"Dperc_nword.zeit"
"2",2,"DIS.M"
"3",3,"DlnVAC"
"4",4,"DlnVAC"
"5",5,"Dnpword.zeit.eco"
"6",6,"Dnpword.zeit.eco"
"7",7,"DGFK.EXP"
"8",8,"Dnword.zeit.eco"
"9",9,"rvalue.zeit.eco"
"10",10,"rvalue.zeit.eco"
"11",11,"DECCS11"
"12",12,"DECCS11"
