"","1","2","3","4","5","6","7","8","9","10","11","12"
"ar",0,0,0,0,0,0,0,0,1,1,1,1
"composite indicators",3,3,3,3,3,3,3,3,4,4,1,1
"financial",14,7,2,2,2,3,3,5,16,19,6,3
"media",0,0,0,0,0,0,2,11,28,24,18,17
"prices and wages",0,0,0,0,0,1,1,3,6,6,3,2
"real economy",1,0,0,0,0,0,0,0,6,5,3,1
"survey",43,24,20,18,16,19,24,39,50,44,27,23
