"","model","rmse","theilsu","rank.theilsu","cw.pvalue","in mcs","mcs.pvalue"
"1","ECBS5",12.86,0.41,1,0.09,1,1
"2","IFOMI.C",13.09,0.42,2,0.09,1,0.92
"3","ECBS7",13.09,0.42,3,0.09,1,0.92
"4","IFOMI.C",10.19,0.28,1,0.11,1,1
"5","IFOM.C",10.89,0.3,2,0.11,1,0.68
"6","ESI.INDU",11.1,0.3,3,0.11,1,0.68
"7","IFOMI.C",10.9,0.28,1,0.11,1,1
"8","IFOM.C",11.29,0.29,2,0.12,1,0.72
"9","IFOM.EXP",11.84,0.3,3,0.11,1,0.72
"10","IFOMI.C",11.14,0.3,1,0.11,1,1
"11","DOECDL2",11.18,0.3,2,0.11,1,0.96
"12","OECDL3",11.65,0.31,3,0.12,1,0.89
"13","DOECDL2",10.34,0.33,1,0.11,1,1
"14","IFOMI.C",10.65,0.34,2,0.12,1,0.75
"15","DOECDL3",11.13,0.35,3,0.12,1,0.54
"16","IFOMI.C",11.37,0.43,1,0.12,1,1
"17","DIFOMI.C",12.02,0.45,2,0.12,1,0.6
"18","IFOM.C",12.26,0.46,3,0.12,1,0.6
"19","DOECDL2",9.99,0.51,1,0.11,1,1
"20","DOECDL1",10.76,0.55,2,0.11,1,0.45
"21","DIFO.C",10.86,0.56,3,0.1,1,0.45
"22","DIFO.C",8.82,0.7,1,0.05,1,1
"23","DESI.INDU",9.59,0.76,2,0.06,1,0.4
"24","DIFOMI.C",9.62,0.76,3,0.06,1,0.4
"25","DIFO.C",8.53,0.79,1,0.02,1,1
"26","DIFOMI.C",8.74,0.81,2,0.02,1,0.43
"27","DIFOM.C",8.92,0.83,3,0.02,1,0.43
"28","MT.de.future",8.43,0.83,1,0,1,1
"29","DESI.INDU",8.59,0.84,2,0.01,1,0.84
"30","DIFOMI.C",8.84,0.87,3,0.01,1,0.74
"31","MT.de.climate",8.69,0.77,1,0,1,1
"32","DIFOMI.C",8.91,0.79,2,0.02,1,0.81
"33","MT.de",9.03,0.8,3,0.01,1,0.8
"34","MT.de.future",8.46,0.77,1,0,1,1
"35","DECCS1",9.04,0.82,2,0.07,1,0.9
"36","MT.de.climate",9.2,0.83,3,0.01,1,0.9
