"","horizon","best"
"1",1,"Drnvalue.zeit.eco"
"2",2,"DESI.SERV"
"3",3,"DECCS1"
"4",4,"DECCS1"
"5",5,"DECCS1"
"6",6,"DlnCPI.EX"
"7",7,"DlnCPI.EX"
"8",8,"DlnCPI.EX"
"9",9,"DlnCPI.EX"
"10",10,"DlnCPI.EX"
"11",11,"DlnCPI.EX"
"12",12,"DlnCPI.EX"
