"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24"
"MT.all",126,149,161,156,152,145,131,129,127,40,59,77,0.527243184993525,0.776728558225526,0.871397015690151,0.860850252677689,0.860306997692635,0.765169830212519,0.208867809700073,0.0607833013529131,0.0654487571990224,0.0305266605321162,0.0332809873874119,0.0443494414255674
"MT.de",151,160,167,164,161,159,145,130,89,87,64,97,0.936749763536751,0.842995294490406,0.867876605850121,0.864325545094077,0.857087198371457,0.841598575689182,0.61697374870595,0.0559745259817829,0.0358998548856602,0.0379068753180744,0.041516123730319,0.0679118198577493
"MT.presence",102,147,157,157,157,157,139,48,34,77,70,90,0.569442919388568,0.802648581601277,0.874126049254541,0.866974751979968,0.868462435474474,0.743516165545237,0.0849700547761603,0.0339029760577212,0.02955159589939,0.0243820306787237,0.0346483456828056,0.0520496980997031
"MT.future",140,127,134,106,100,94,91,123,121,121,135,91,0.734788313821238,0.271281415954903,0.557378722500614,0.102929828238477,0.116510380045129,0.127586158279178,0.160506175287858,0.419380745767978,0.639052282637614,0.471447299924651,0.174120905924915,0.0263804242671409
"MT.climate",91,142,156,154,150,144,100,104,132,43,98,96,0.320589662872903,0.726418401196476,0.864763741553383,0.853338768761993,0.849810711133295,0.774629461022509,0.149010245615455,0.157232813243476,0.194966963309045,0.0286970959610446,0.0381968727977267,0.0390049121011958
"MT.de.present",142,154,163,163,162,158,101,40,38,128,126,127,0.902419414524764,0.833018367584766,0.866319557843535,0.851970739024178,0.79304511626238,0.694027294165513,0.0244401506061672,0.0384032084269548,0.0260604289425366,0.0351284729131057,0.0391177783144018,0.0954553756233415
"MT.de.future",124,135,153,144,123,126,108,113,97,86,110,13,0.682206807070695,0.590432961388178,0.824682954804891,0.797146187832745,0.218593533432911,0.341634259206558,0.174889678079804,0.32946426497052,0.553981577805805,0.570806751210044,0.195782966827486,0.0546979043395514
"MT.de.climate",152,153,166,162,160,156,140,118,96,39,37,64,0.939489654294631,0.796543876780406,0.863399593036026,0.86137720791072,0.852774010896213,0.852831509950906,0.557228038097057,0.249521022918033,0.0252456563559624,0.0353922835243354,0.0470365531694186,0.061336894938238
"MT.currency",87,143,151,149,148,140,123,140,137,132,117,105,0.463515893884818,0.435148574652375,0.657237483944314,0.798253266821975,0.532828459724364,0.111182721051506,0.108915411418841,0.115437302128885,0.150769603515254,0.247532777970093,0.0472449796429533,0.0116630747624149
"MT.taxation",94,115,122,128,131,141,144,150,139,126,104,81,0.185571413137731,0.272782716238063,0.239652788252061,0.718065117754868,0.841642220281105,0.379504059375104,0.57183329704937,0.987630931735116,0.981583969036874,0.969114061505314,0.861392184329922,0.766359267976215
"MT.cycle",68,128,128,102,92,91,74,66,85,92,107,108,0.172130301490995,0.450669927658572,0.462476816872045,0.0738428609472215,0.106149996420793,0.109151784764339,0.104973030963573,0.109431955133863,0.303499590313654,0.375132048553475,0.557997272825427,0.688947494197155
"MT.labor",110,148,138,152,154,154,146,126,138,122,127,123,0.912299440184743,0.930869562688576,0.86815689743489,0.860835911922633,0.846686552406801,0.861694217632433,0.86194793195454,0.491958028902654,0.635908109343735,0.160530598362117,0.229130574193614,0.225938095532396
"MT.budget",100,150,150,107,133,133,122,75,101,138,137,126,0.484646128584709,0.945766801960822,0.959966209204442,0.157982344235827,0.336845397207728,0.319911122103117,0.219484629195255,0.106821569306223,0.124326502359809,0.795236462527143,0.619821514716413,0.443091904523054
"MT.de.taxation",69,112,109,114,116,113,94,67,99,96,89,71,0.0782208978973702,0.116765350843041,0.115554932198966,0.179086451328393,0.1690895602937,0.182773856290508,0.19284692029633,0.196253155734616,0.876025465607899,0.906338256782208,0.773889596321731,0.458128268221757
"MT.de.cycle",117,164,162,148,107,100,90,117,108,79,73,89,0.560387689913799,0.792503904023521,0.821225819159271,0.765283112158026,0.0486671405439312,0.0722597268127977,0.0614100178244565,0.0774546234483546,0.0841683219988476,0.122195806391338,0.407048106779713,0.484091277964794
"MT.de.labor",99,133,143,153,151,155,152,128,93,104,121,122,0.590408970686132,0.716104056757561,0.814450633436816,0.843302221008874,0.813477114096329,0.835802491635121,0.822125959835495,0.539732035629153,0.147849343464751,0.135111673904161,0.162831683577324,0.161448236006652
"MT.de.budget",125,141,154,155,153,153,138,55,67,142,131,128,0.68678938037355,0.823333649617523,0.883123351416005,0.859347710846167,0.82996107961476,0.834649822456102,0.672970444610089,0.0847994158033509,0.168721350068345,0.879031842905454,0.744839471594324,0.716760025248145
"DMT.all",90,88,124,125,127,130,113,105,114,72,108,113,0.386651541779056,0.0152175070484698,0.804356592938064,0.130771710949452,0.631757904482912,0.261613625715212,0.0814147642001146,0.0215459165004178,0.040905010052251,0.0155126886776773,0.0324540955727552,0.0246789812023142
"DMT.future",130,108,132,139,142,120,111,107,60,97,101,35,0.788552832277977,0.214132114289497,0.844051501948527,0.876656239324385,0.848628320314927,0.211457148736383,0.14723552738723,0.58766249960822,0.0982314626322398,0.26682472752641,0.118546028258499,0.0391364825457527
"DMT.presence",67,86,117,115,122,135,137,106,115,110,68,101,0.182840663323108,0.0337052657225632,0.115348684398745,0.110372291088791,0.278042569596449,0.826579174946578,0.188794666398531,0.0128176960843711,0.0283420499941025,0.033767625299666,0.016890946933963,0.0675405955473409
"DMT.climate",65,89,125,124,137,121,102,98,59,71,109,109,0.240945593126058,0.0239400275222132,0.80636241733369,0.0918915901104914,0.799276225982081,0.275785031607487,0.0985827614472179,0.132161702689749,0.0605445987548509,0.0648105406771319,0.0550683850768442,0.0372893016179233
"DMT.de",143,95,149,127,125,127,116,79,72,38,41,53,0.918899362288488,0.0147455816548124,0.809007280451919,0.440541974874087,0.532562994432222,0.558444793631708,0.0997566458941018,0.0305968990790151,0.0659407876612015,0.0877044838657852,0.0465296403227635,0.146127940918498
"DMT.de.future",107,113,133,140,140,116,107,95,62,44,42,27,0.752787254016929,0.282133219645132,0.835145249095202,0.885713288613114,0.814403503979345,0.162883510354309,0.148222086308803,0.0713065206816248,0.0680395269222661,0.0291859443025703,0.0117659801847119,0.0165192811238951
"DMT.de.present",129,91,144,119,120,124,105,70,76,36,32,58,0.84730705896252,0.0161831364083539,0.772864001091146,0.0505175043494251,0.103099921396202,0.324666703115636,0.035756676369419,0.0376393357069882,0.0910861466524724,0.0765427374960144,0.0678719540929175,0.17514438612794
"DMT.de.climate",147,93,123,129,132,114,119,93,88,103,84,40,0.945098832663018,0.0104882823214263,0.587320810483791,0.757378037528621,0.620938001451686,0.145025717379236,0.0905235046693095,0.0274890200805231,0.0684162689660101,0.111659742817303,0.0690304067515927,0.0549996450726918
"DMT.budget",46,110,107,99,103,101,96,82,63,52,43,42,0.0573484224797383,0.0785181529529865,0.148456582251946,0.116628386638426,0.121428731788985,0.141019615547928,0.106911046559303,0.095047090992353,0.0910744034186995,0.0984672839207134,0.0282714936211784,0.140334226648082
