"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111"
"SPR.10Y.D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,NA,NA,46,40,NA,NA,NA,NA,NA,69,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,51,NA,54,NA,NA,NA,NA,NA,53,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
"SPR.10Y.3M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,24,NA,51,NA,NA,NA,66,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPR.1D.M",NA,64,61,NA,NA,NA,NA,NA,NA,NA,NA,57,NA,63,58,NA,66,70,NA,NA,NA,NA,NA,69,65,58,NA,51,36,35,44,36,58,66,1,71,59,53,NA,4,5,5,8,NA,NA,NA,NA,50,47,47,NA,54,NA,NA,NA,NA,69,65,67,66,NA,NA,NA,63,63,NA,NA,NA,NA,60,62,NA,NA,NA,NA,47,36,36,44,55,54,42,37,36,50,52,51,57,59,60,NA,NA,52,52,50,49,40,57,46,52,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"VOLA1",NA,NA,NA,NA,NA,NA,NA,71,NA,NA,65,62,52,55,51,61,50,47,51,50,58,NA,60,41,37,38,40,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,6,6,7,6,7,7,22,22,17,10,6,5,7,7,8,9,17,36,60,65,51,61,39,37,29,26,28,21,18,20,15,15,17,11,9,19,19,26,17,26,21,26,7,7,6,9,29,35,NA,56,NA,59,59,20,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,58,NA,NA,63
"VOLA2",NA,55,NA,NA,NA,NA,NA,70,65,NA,NA,NA,NA,46,NA,44,NA,NA,NA,NA,43,NA,NA,NA,NA,NA,24,32,21,17,10,13,10,11,16,17,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,47,49,55,54,NA,NA,NA,NA,NA,NA,23,15,NA,60
"ZEW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,66,72,54,43,56,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,NA,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,5,7,11,20,16,19,21,9,NA
"GFK.EXP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,15,57,NA,NA,NA,64,25,34,29,1,2,1,1,1,1,1,1,3,1,1,3,4,7,6,3,2,7,21,46,39,33,23,19,22,26,34,22,24,28,22,18,14,17,24,25,28,29,25,34,34,40,41,34,38,38,42,42,39,40,47,40,38,36,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,20,10,14,6,5,9,16,36
"CAPA",45,21,18,NA,17,51,60,58,49,6,3,27,34,NA,69,NA,31,67,NA,NA,NA,NA,NA,64,58,60,59,41,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,71,67,52,67,69,62,59,61,59,62,60,NA,62,56,53,47,51,52,NA,NA,NA,NA,NA,NA,NA,55,45,46,48,49,52,47,45,NA,NA,NA,NA,55,42,47,NA,NA,59,44,44,NA,NA,NA,NA,NA,NA,NA,61,NA,NA
"OECDL1",NA,NA,NA,NA,NA,NA,NA,NA,59,55,67,69,NA,64,60,64,71,NA,78,72,52,43,46,54,52,52,49,52,61,51,57,NA,NA,56,61,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OECDL3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,NA,NA,NA,NA,53,44,47,55,53,NA,50,NA,NA,52,NA,NA,NA,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
