"","horizon","best"
"1",1,"IL.5"
"2",2,"MT.de.cycle"
"3",3,"qdap_negator_value_rel_mean"
"4",4,"qdap_negator_value_rel_mean"
"5",5,"qdap_negator_value_rel_mean"
"6",6,"qdap_negator_value_rel_mean"
"7",7,"qdap_negator_value_rel_mean"
"8",8,"DIL.10"
"9",9,"DIL.10"
"10",10,"DALQ"
"11",11,"DALQ"
"12",12,"DALQ"
