"","1","2","3","4","5","6","7","8","9","10","11","12"
"ar",0,0,0,0,0,0,0,0,0,0,0,0
"composite indicators",3,2,3,3,3,3,1,1,1,3,3,3
"financial",11,0,2,2,0,3,0,1,0,1,0,0
"media",0,0,0,0,0,0,0,0,0,5,6,4
"prices and wages",0,0,0,0,0,0,0,0,0,0,0,0
"real economy",0,0,0,0,0,0,0,0,0,0,0,0
"survey",30,16,11,4,2,15,0,1,2,4,1,2
