"","horizon","best"
"1",1,"MT.de"
"2",2,"DMT.currency"
"3",3,"MT.presence"
"4",4,"MT.presence"
"5",5,"qdap_negator_value_rel_mean"
"6",6,"qdap_negator_value_rel_mean"
"7",7,"qdap_negator_value_rel_mean"
"8",8,"qdap_negator_value_rel_mean"
"9",9,"qdap_negator_value_rel_mean"
"10",10,"qdap_negator_value_rel_mean"
"11",11,"qdap_negator_value_rel_mean"
"12",12,"qdap_negator_value_rel_mean"
