"","V1","V2","V3","V4"
"ar",89,53,8,20
"WHOUR",79,96,40,28
"IS.M",170,168,172,176
"IS.D",164,164,168,168
"IS.3M",168,173,177,175
"IL.3",92,52,141,140
"IL.5",83,40,134,145
"IL.10",167,36,145,149
"SPR.C.G",40,171,174,173
"SPR.10Y.M",153,144,68,130
"SPR.10Y.D",95,131,126,111
"SPR.10Y.3M",169,166,99,97
"SPR.1D.M",173,169,175,177
"VOLA1",5,170,167,172
"VOLA2",42,174,178,169
"ZEW",53,113,105,49
"GFK.EXP",143,22,51,100
"CAPA",124,165,109,69
"OECDL1",1,157,165,170
"OECDL3",2,158,164,171
"IFO.C",9,20,55,122
"IFO.EXP",11,78,129,113
"IFOM.C",12,94,120,151
"IFOM.EXP",24,150,131,21
"IFOMI.C",8,102,144,162
"IFOMI.EXP",45,162,113,34
"IFOMV.C",25,72,77,134
"IFOMV.EXP",27,117,123,78
"IFOWH.C",127,4,80,138
"IFOWH.EXP",54,11,89,70
"ESI.INDU",17,100,121,154
"ESI.SERV",62,104,157,150
"ESI.C",138,110,154,120
"ESI.TRADE",152,12,90,123
"ESI.CTR",151,161,127,148
"ESI",39,95,155,155
"ECBS2",71,98,114,157
"ECBS3",103,135,151,167
"ECBS4",145,152,117,137
"ECBS5",19,142,166,174
"ECBS6",156,64,110,129
"ECBS7",21,147,158,164
"ECCS99",138,110,154,120
"ECCS1",80,25,95,115
"ECCS2",162,119,135,112
"ECCS3",133,90,161,160
"ECCS4",55,108,149,118
"ECCS5",26,139,156,116
"ECCS6",149,167,19,10
"ECCS7",160,124,160,152
"ECCS8",166,10,116,108
"ECCS9",165,115,136,131
"ECCS10",81,145,159,163
"ECCS11",101,118,98,135
"ECCS12",126,62,124,156
"MT.all",107,31,49,5
"MT.de",115,15,44,7
"MT.presence",118,5,31,26
"MT.future",111,81,50,11
"MT.climate",90,54,60,6
"MT.de.present",96,1,75,24
"MT.de.future",98,69,14,2
"MT.de.climate",104,33,36,3
"MT.currency",120,86,64,103
"MT.taxation",147,74,115,58
"MT.cycle",88,27,72,87
"MT.labor",97,17,23,1
"MT.budget",117,38,119,124
"MT.de.taxation",155,137,147,107
"MT.de.cycle",112,46,25,47
"MT.de.labor",131,30,63,9
"MT.de.budget",129,23,67,65
"qdap_negator_value_rel_mean",134,56,85,126
"exp",139,156,146,158
"imp",132,160,150,159
"cons",159,127,73,71
"DIS.M",172,163,122,161
"DIS.D",171,151,84,117
"DIS.3M",176,172,171,178
"DIL.3",76,103,61,41
"DIL.5",105,91,28,23
"DIL.10",114,99,20,56
"DVOLA1",4,126,88,35
"DVOLA2",3,2,152,127
"DIFO.C",14,29,3,77
"DIFO.EXP",44,112,93,92
"DIFOM.C",16,70,30,54
"DIFOM.EXP",93,148,87,50
"DIFOMI.C",10,34,70,37
"DIFOMI.EXP",87,136,54,32
"DIFOMV.C",33,97,13,53
"DIFOMV.EXP",106,92,29,57
"DIFOWH.C",61,19,111,143
"DIFOWH.EXP",68,58,118,146
"DGFK.EXP",85,50,53,99
"DZEW",100,89,58,80
"DECBS2",64,133,91,73
"DECBS3",110,121,107,79
"DECBS4",142,155,104,98
"DECBS5",20,130,59,40
"DECBS6",157,105,42,48
"DECBS7",15,129,102,62
"DESI.INDU",31,73,65,55
"DESI.SERV",65,125,130,101
"DESI.C",122,44,140,82
"DESI.TRADE",43,24,34,128
"DESI.CTR",116,43,4,63
"DESI",46,76,128,125
"DECCS99",122,44,140,82
"DECCS1",51,57,74,74
"DECCS2",146,61,82,8
"DECCS3",70,8,100,147
"DECCS4",63,42,125,72
"DECCS5",59,149,148,153
"DECCS6",130,101,12,38
"DECCS7",161,120,162,136
"DECCS8",119,63,27,19
"DECCS9",84,49,1,29
"DECCS10",41,134,97,59
"DECCS11",140,111,108,90
"DECCS12",108,123,112,88
"DALQ",128,116,37,30
"DCAPA",99,107,52,17
"DWHOUR",73,106,10,14
"DOECDL1",22,153,143,94
"DOECDL2",13,114,138,109
"DOECDL3",23,154,142,93
"DMT.all",82,14,94,95
"DMT.future",69,41,83,64
"DMT.presence",102,7,76,81
"DMT.climate",77,26,92,104
"DMT.de",136,6,45,96
"DMT.de.future",66,60,48,60
"DMT.de.present",56,3,66,105
"DMT.de.climate",75,9,38,91
"DMT.budget",60,35,26,36
"DMT.currency",141,138,24,102
"DMT.labor",78,16,22,33
"DMT.cycle",58,59,71,85
"DMT.taxation",135,28,79,84
"DMT.de.budget",52,13,62,42
"DMT.de.labor",91,18,21,31
"DMT.de.cycle",67,37,47,89
"DMT.de.taxation",158,55,81,66
"Dqdap_negator_value_rel_mean",148,77,35,114
"DlnIP.CONST",177,178,176,86
"DlnIP",175,175,169,45
"DlnEX",154,87,101,44
"DlnEXR",150,83,106,43
"DlnDAX",29,132,132,46
"DlnHWWA",30,122,96,139
"DlnHWWAR",28,128,103,144
"DlnHWWA.E",121,67,32,75
"DlnHWWA.ER",125,79,39,76
"DlnHWWA.EX",74,84,46,27
"DlnHWWA.EXR",72,85,56,25
"DlnOIL",113,66,33,51
"DlnOILR",109,65,43,61
"DlnCPI",57,48,78,119
"DlnCPI.EX",144,32,41,15
"DlnTARIF",32,141,137,106
"DlnIP.VORL",178,177,170,39
"DlnORD.C",174,159,163,110
"DlnORD.I",18,176,173,18
"DlnEW",86,93,2,4
"DlnVAC",163,21,86,67
"DlnFAZ",49,140,133,68
"DDlnHWWA",7,146,69,166
"DDlnHWWAR",6,143,57,165
"DDlnHWWA.E",35,88,11,132
"DDlnHWWA.ER",34,75,6,133
"DDlnHWWA.EX",50,51,16,13
"DDlnHWWA.EXR",47,47,15,12
"DDlnOIL",38,82,7,141
"DDlnOILR",36,80,5,142
"DDlnCPI",48,68,9,52
"DDlnCPI.EX",94,39,17,22
"DDlnTARIF",37,71,18,16
