"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"ar",8,38,30,32,43,51,46,38,26,13,16,14
"WHOUR",346,340,333,277,288,284,282,268,261,248,230,228
"IS.M",317,341,343,342,338,338,335,326,324,327,322,324
"IS.D",342,337,296,240,246,274,299,261,287,296,283,298
"IS.3M",349,348,344,340,322,317,327,325,319,313,318,304
"IL.3",264,325,288,259,232,235,217,228,237,239,246,274
"IL.5",137,256,225,233,216,236,222,224,231,235,244,266
"IL.10",193,218,145,217,255,268,251,260,253,254,248,268
"SPR.C.G",347,349,348,345,339,344,339,348,347,344,343,332
"SPR.10Y.M",189,294,330,328,331,333,324,312,289,291,274,286
"SPR.10Y.D",339,339,329,287,300,285,266,306,283,268,249,259
"SPR.10Y.3M",255,292,278,283,305,305,273,230,230,252,279,229
"SPR.1D.M",197,276,258,343,349,347,347,341,330,324,324,317
"VOLA1",348,350,351,352,352,352,352,351,350,349,350,350
"VOLA2",217,344,345,347,350,350,349,347,339,297,222,215
"ZEW",324,311,328,318,319,319,318,310,292,286,272,257
"GFK.EXP",172,60,141,65,130,165,113,186,175,214,210,214
"CAPA",337,334,340,311,311,316,303,271,288,267,251,244
"OECDL1",316,330,327,327,313,332,342,346,346,347,345,342
"OECDL3",322,331,324,325,312,331,343,345,345,346,344,341
"IFO.C",329,180,235,223,201,254,264,283,295,302,284,277
"IFO.EXP",310,141,96,179,120,112,86,176,239,278,285,291
"IFOM.C",292,189,142,139,223,272,291,318,321,325,325,322
"IFOM.EXP",287,221,114,122,193,195,161,225,234,238,242,243
"IFOMI.C",143,74,198,208,167,223,306,337,333,332,335,331
"IFOMI.EXP",215,177,248,290,327,336,320,290,243,236,237,234
"IFOMV.C",176,67,234,184,195,250,256,292,301,311,310,301
"IFOMV.EXP",244,272,249,118,128,218,201,206,222,232,226,236
"IFOWH.C",295,243,251,144,38,134,163,249,265,253,258,264
"IFOWH.EXP",261,88,223,137,125,204,242,267,284,288,290,285
"ESI.INDU",262,93,238,255,264,267,295,317,314,318,316,309
"ESI.SERV",49,30,140,170,170,230,268,277,297,305,304,306
"ESI.C",156,44,184,268,238,216,238,250,272,276,268,288
