"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111"
"IPx",4,5,5,8,5,1,6,2,3,3,3,2,3,1,1,1,1,1,1,1,1,2,2,2,2,2,3,7,5,8,11,6,3,8,1,1,7,8,13,31,25,29,34,24,25,37,36,32,39,NA,NA,51,45,50,NA,NA,66,32,NA,74,42,47,53,44,40,35,36,33,40,29,29,32,29,27,31,25,22,25,21,21,20,23,22,21,20,17,17,24,26,30,31,27,23,25,26,26,26,23,17,23,5,4,6,19,18,14,6,2,12,3,4
"WHOUR",8,6,6,27,15,12,8,22,9,12,14,6,10,8,5,13,15,6,6,10,6,9,3,3,5,3,5,5,6,5,9,35,33,33,56,NA,67,43,NA,25,NA,33,30,33,41,29,28,29,NA,73,NA,NA,68,52,43,43,35,28,54,60,58,53,56,51,44,70,74,NA,NA,NA,50,47,59,NA,41,NA,46,36,41,43,41,51,NA,49,41,50,45,46,43,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,77,3,5,1,2,2,2,2,4,2,1,1
"IS.M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79,NA,NA,71,NA,62,NA,79,NA,NA,NA,NA
"IS.D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,34,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,NA,NA,NA,77,NA,NA,46,58,51,58,51,46,NA,48,66,NA,NA,NA,NA,51,54,58,59,NA,NA,NA,NA,NA,NA,NA,49,78,57,58,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,55,63,NA,NA,NA,NA,70,NA,NA,NA,67,NA,NA,NA,NA
"IS.3M",NA,NA,NA,NA,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,NA,NA,51,NA,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA
"IL.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,42,42,46,NA,NA,NA,45,59,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,NA,NA,NA,39,NA,NA,NA,NA,NA,NA,NA,61,NA,NA,NA,NA,49,53,NA,NA
"IL.5",50,48,52,NA,71,NA,NA,NA,NA,NA,NA,49,NA,NA,35,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,27,NA,NA,NA,NA,NA,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,41,NA,NA,46,NA,NA,NA,NA,NA,NA,71,NA,NA,NA,NA,NA,61,54,NA,NA
"IL.10",NA,NA,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,60,NA,NA,NA,NA,NA,NA,60,57,67,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69,NA,NA,NA,NA,NA,59,26,63,29,53,25,18,16,28,27,44,46,49,38,36,NA,NA,NA,NA,NA,NA,NA,52,71,NA,69,NA,NA,NA,NA,NA,NA,NA,53,NA,54,73,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,NA,NA,21,60,NA,8,NA,60,NA,NA
"SPR.C.G",NA,NA,NA,79,56,49,NA,NA,66,66,75,67,NA,NA,NA,NA,NA,63,NA,NA,NA,NA,NA,NA,NA,NA,67,77,NA,83,42,NA,NA,NA,NA,NA,3,2,4,19,4,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,60,NA,NA,53,53,61,NA,75,65,NA,60,80,NA,NA,NA,NA,NA,NA,46,59,NA,NA,60,NA,NA,73,NA,5
"SPR.10Y.M",25,21,13,NA,NA,70,73,NA,NA,NA,NA,72,34,NA,NA,73,NA,NA,NA,55,NA,80,51,56,NA,NA,NA,NA,NA,NA,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,30,NA,NA,9,NA,75,NA,NA
