"","V1","V2","V3","V4","V5","V6"
"fbp MT.de.future",0.19,0.74,0.21,0.58,0.2,0.63
"fbp MT.de.climate",0.18,0.58,0.2,0.58,0.23,0.68
"mean",0.19,0.56,0.2,0.51,0.21,0.51
