horizon,Inflation,DAX,USD/EUR,Industrial production,Employment,Unemployment,OIL
Nowcast,sent_negv_rel_50,,,OECDL1,,,
1,valuext_rel,Drnvalue.zeit.eco,Dperc_nword.zeit,ESI.INDU,,,
2,MT.de.climate,DESI.SERV,DIS.M,OECDL1,,,
3,MT.de,DECCS1,DlnVAC,OECDL1,,,
4,MT.de.climate,DECCS1,DlnVAC,OECDL1,,,
5,MT.cycle,DECCS1,Dnpword.zeit.eco,OECDL1,,,
6,MT.de,DlnCPI.EX,Dnpword.zeit.eco,DOECDL2,,,
7,MT.de,DlnCPI.EX,DGFK.EXP,DOECDL2,,,
8,MT.all,DlnCPI.EX,Dnword.zeit.eco,DOECDL2,,,
9,MT.de,DlnCPI.EX,rvalue.zeit.eco,DOECDL2,,,
10,ECCS6,DlnCPI.EX,rvalue.zeit.eco,MT.de.future,,,
11,ECCS6,DlnCPI.EX,DECCS11,MT.de.climate,,,
12,DALQ,DlnCPI.EX,DECCS11,MT.de.future,,,
