"Name","Link"
"Bruttoinlandsprodukt","http://www.bundesbank.de/Navigation/DE/Statistiken/Zeitreihen_Datenbanken/Makrooekonomische_Zeitreihen/its_list_node.html?listId=www_v36_2014_bip"
"Bruttowertschöpfung ausgewählter Wirtschaftsbereiche","http://www.bundesbank.de/Navigation/DE/Statistiken/Zeitreihen_Datenbanken/Makrooekonomische_Zeitreihen/its_list_node.html?listId=www_v36_2014_bws"
"In Vorjahrespreisen","http://www.bundesbank.de/Navigation/DE/Statistiken/Zeitreihen_Datenbanken/Makrooekonomische_Zeitreihen/its_list_node.html?listId=www_v36_2014_verwreal"
"In jeweiligen Preisen","http://www.bundesbank.de/Navigation/DE/Statistiken/Zeitreihen_Datenbanken/Makrooekonomische_Zeitreihen/its_list_node.html?listId=www_v36_2014_verwnom"
"Preisindizes","http://www.bundesbank.de/Navigation/DE/Statistiken/Zeitreihen_Datenbanken/Makrooekonomische_Zeitreihen/its_list_node.html?listId=www_v36_2014_verwpreise"
"Nationaleinkommen und Volkseinkommen","http://www.bundesbank.de/Navigation/DE/Statistiken/Zeitreihen_Datenbanken/Makrooekonomische_Zeitreihen/its_list_node.html?listId=www_v36_2014_bne"
"Einkommen der privaten Haushalte","http://www.bundesbank.de/Navigation/DE/Statistiken/Zeitreihen_Datenbanken/Makrooekonomische_Zeitreihen/its_list_node.html?listId=www_v36_2014_ph"
"Produktivität und Lohnkosten in der Gesamtwirtschaft","http://www.bundesbank.de/Navigation/DE/Statistiken/Zeitreihen_Datenbanken/Makrooekonomische_Zeitreihen/its_list_node.html?listId=www_v36_2014_prod"
"Lohnstückkosten in ausgewählten Wirtschaftsbereichen","http://www.bundesbank.de/Navigation/DE/Statistiken/Zeitreihen_Datenbanken/Makrooekonomische_Zeitreihen/its_list_node.html?listId=www_v36_2014_lohnkosten"
"Bruttoinlandsprodukt und Bruttowertschöpfung ausgewählter Wirtschaftsbereiche","http://www.bundesbank.de/Navigation/DE/Statistiken/Zeitreihen_Datenbanken/Makrooekonomische_Zeitreihen/its_list_node.html?listId=www_s311_b4_vgr_entst_bws"
"in Vorjahrespreisen","http://www.bundesbank.de/Navigation/DE/Statistiken/Zeitreihen_Datenbanken/Makrooekonomische_Zeitreihen/its_list_node.html?listId=www_s311_b4_vgr_verw_real"
"in jeweiligen Preisen","http://www.bundesbank.de/Navigation/DE/Statistiken/Zeitreihen_Datenbanken/Makrooekonomische_Zeitreihen/its_list_node.html?listId=www_s311_b4_vgr_verw_nominal"
"Nationaleinkommen und Volkseinkommen","http://www.bundesbank.de/Navigation/DE/Statistiken/Zeitreihen_Datenbanken/Makrooekonomische_Zeitreihen/its_list_node.html?listId=www_s311_b4_vgr_nationalek"
