"","m","month","year","ym","OECDL1","OECDL3","OECDL2"
"92",8,"08",1955,"1955-08",NA,NA,NA
"93",9,"09",1955,"1955-09",NA,NA,NA
"94",10,"10",1955,"1955-10",NA,NA,NA
"95",11,"11",1955,"1955-11",NA,NA,NA
"96",12,"12",1955,"1955-12",NA,NA,NA
"97",1,"01",1956,"1956-01",NA,NA,NA
"98",2,"02",1956,"1956-02",NA,NA,NA
"99",3,"03",1956,"1956-03",NA,NA,NA
"100",4,"04",1956,"1956-04",NA,NA,NA
"101",5,"05",1956,"1956-05",NA,NA,NA
"102",6,"06",1956,"1956-06",NA,NA,NA
"103",7,"07",1956,"1956-07",NA,NA,NA
"104",8,"08",1956,"1956-08",NA,NA,NA
"105",9,"09",1956,"1956-09",NA,NA,NA
"106",10,"10",1956,"1956-10",NA,NA,NA
"107",11,"11",1956,"1956-11",NA,NA,NA
"108",12,"12",1956,"1956-12",NA,NA,NA
"109",1,"01",1957,"1957-01",NA,NA,NA
"110",2,"02",1957,"1957-02",NA,NA,NA
"111",3,"03",1957,"1957-03",NA,NA,NA
"112",4,"04",1957,"1957-04",NA,NA,NA
"113",5,"05",1957,"1957-05",NA,NA,NA
"114",6,"06",1957,"1957-06",NA,NA,NA
"115",7,"07",1957,"1957-07",NA,NA,NA
"116",8,"08",1957,"1957-08",NA,NA,NA
"117",9,"09",1957,"1957-09",NA,NA,NA
"118",10,"10",1957,"1957-10",NA,NA,NA
"119",11,"11",1957,"1957-11",NA,NA,NA
"120",12,"12",1957,"1957-12",NA,NA,NA
"121",1,"01",1958,"1958-01",NA,NA,NA
"122",2,"02",1958,"1958-02",NA,NA,NA
"123",3,"03",1958,"1958-03",NA,NA,NA
"124",4,"04",1958,"1958-04",NA,NA,NA
"125",5,"05",1958,"1958-05",NA,NA,NA
"126",6,"06",1958,"1958-06",NA,NA,NA
"127",7,"07",1958,"1958-07",NA,NA,NA
"128",8,"08",1958,"1958-08",NA,NA,NA
"129",9,"09",1958,"1958-09",NA,NA,NA
"130",10,"10",1958,"1958-10",NA,NA,NA
"131",11,"11",1958,"1958-11",NA,NA,NA
"132",12,"12",1958,"1958-12",NA,NA,NA
"133",1,"01",1959,"1959-01",NA,NA,NA
"134",2,"02",1959,"1959-02",NA,NA,NA
"135",3,"03",1959,"1959-03",NA,NA,NA
"136",4,"04",1959,"1959-04",NA,NA,NA
"137",5,"05",1959,"1959-05",NA,NA,NA
"138",6,"06",1959,"1959-06",NA,NA,NA
"139",7,"07",1959,"1959-07",NA,NA,NA
"140",8,"08",1959,"1959-08",NA,NA,NA
"141",9,"09",1959,"1959-09",NA,NA,NA
"142",10,"10",1959,"1959-10",NA,NA,NA
"143",11,"11",1959,"1959-11",NA,NA,NA
"144",12,"12",1959,"1959-12",NA,NA,NA
"145",1,"01",1960,"1960-01",NA,NA,NA
"146",2,"02",1960,"1960-02",NA,NA,NA
"147",3,"03",1960,"1960-03",NA,NA,NA
"148",4,"04",1960,"1960-04",NA,NA,NA
"149",5,"05",1960,"1960-05",NA,NA,NA
"150",6,"06",1960,"1960-06",NA,NA,NA
"151",7,"07",1960,"1960-07",NA,NA,NA
"152",8,"08",1960,"1960-08",NA,NA,NA
"153",9,"09",1960,"1960-09",NA,NA,NA
"154",10,"10",1960,"1960-10",NA,NA,NA
"155",11,"11",1960,"1960-11",NA,NA,NA
"156",12,"12",1960,"1960-12",NA,NA,NA
"157",1,"01",1961,"1961-01",100.7045,100.6167,30.05048
"158",2,"02",1961,"1961-02",100.5364,100.4695,30.11071
"159",3,"03",1961,"1961-03",100.3391,100.2968,30.16212
"160",4,"04",1961,"1961-04",100.1227,100.1074,30.20763
"161",5,"05",1961,"1961-05",99.91564,99.92616,30.25583
"162",6,"06",1961,"1961-06",99.74064,99.77296,30.31363
"163",7,"07",1961,"1961-07",99.60115,99.65086,30.38219
"164",8,"08",1961,"1961-08",99.49343,99.55656,30.46049
"165",9,"09",1961,"1961-09",99.40791,99.48169,30.54569
"166",10,"10",1961,"1961-10",99.34943,99.4305,30.63937
"167",11,"11",1961,"1961-11",99.33266,99.41582,30.74615
"168",12,"12",1961,"1961-12",99.34019,99.42242,30.86078
"169",1,"01",1962,"1962-01",99.3572,99.4373,30.97871
"170",2,"02",1962,"1962-02",99.36513,99.44424,31.09416
"171",3,"03",1962,"1962-03",99.37186,99.45013,31.20959
"172",4,"04",1962,"1962-04",99.37613,99.45387,31.32459
"173",5,"05",1962,"1962-05",99.35982,99.43959,31.43341
"174",6,"06",1962,"1962-06",99.30337,99.39018,31.52978
"175",7,"07",1962,"1962-07",99.20439,99.30354,31.61279
"176",8,"08",1962,"1962-08",99.07598,99.19112,31.68649
"177",9,"09",1962,"1962-09",98.92445,99.05848,31.75279
"178",10,"10",1962,"1962-10",98.75553,98.91061,31.81347
"179",11,"11",1962,"1962-11",98.5889,98.76474,31.87484
"180",12,"12",1962,"1962-12",98.43367,98.62886,31.93985
"181",1,"01",1963,"1963-01",98.30881,98.51955,32.01474
"182",2,"02",1963,"1963-02",98.25021,98.46825,32.11134
"183",3,"03",1963,"1963-03",98.29807,98.51015,32.24307
"184",4,"04",1963,"1963-04",98.41714,98.61438,32.39869
"185",5,"05",1963,"1963-05",98.57077,98.74887,32.56631
"186",6,"06",1963,"1963-06",98.74144,98.89828,32.74023
"187",7,"07",1963,"1963-07",98.91828,99.05309,32.91686
"188",8,"08",1963,"1963-08",99.08868,99.20224,33.09196
"189",9,"09",1963,"1963-09",99.2534,99.34644,33.26574
"190",10,"10",1963,"1963-10",99.43089,99.50181,33.44434
"191",11,"11",1963,"1963-11",99.65046,99.69402,33.63768
"192",12,"12",1963,"1963-12",99.92218,99.93188,33.84927
"193",1,"01",1964,"1964-01",100.2464,100.2157,34.07939
"194",2,"02",1964,"1964-02",100.5608,100.4909,34.30696
"195",3,"03",1964,"1964-03",100.8227,100.7202,34.51728
"196",4,"04",1964,"1964-04",101.028,100.8999,34.70871
"197",5,"05",1964,"1964-05",101.1781,101.0313,34.88153
"198",6,"06",1964,"1964-06",101.2627,101.1053,35.03192
"199",7,"07",1964,"1964-07",101.2674,101.1094,35.15462
"200",8,"08",1964,"1964-08",101.2192,101.0673,35.25876
"201",9,"09",1964,"1964-09",101.1586,101.0142,35.35825
"202",10,"10",1964,"1964-10",101.1134,100.9746,35.46276
"203",11,"11",1964,"1964-11",101.0969,100.9602,35.57704
"204",12,"12",1964,"1964-12",101.0971,100.9604,35.69695
"205",1,"01",1965,"1965-01",101.0815,100.9468,35.81098
"206",2,"02",1965,"1965-02",101.0125,100.8863,35.90569
"207",3,"03",1965,"1965-03",100.8915,100.7804,35.98144
"208",4,"04",1965,"1965-04",100.7412,100.6489,36.04615
"209",5,"05",1965,"1965-05",100.5752,100.5035,36.10456
"210",6,"06",1965,"1965-06",100.3964,100.347,36.15771
"211",7,"07",1965,"1965-07",100.2247,100.1967,36.21275
"212",8,"08",1965,"1965-08",100.0614,100.0537,36.2702
"213",9,"09",1965,"1965-09",99.90284,99.91495,36.32881
"214",10,"10",1965,"1965-10",99.74157,99.77377,36.38588
"215",11,"11",1965,"1965-11",99.59829,99.64835,36.44902
"216",12,"12",1965,"1965-12",99.4896,99.55321,36.52445
"217",1,"01",1966,"1966-01",99.40009,99.47485,36.60665
"218",2,"02",1966,"1966-02",99.29324,99.38131,36.68224
"219",3,"03",1966,"1966-03",99.1217,99.23116,36.73371
"220",4,"04",1966,"1966-04",98.85795,99.00026,36.75063
"221",5,"05",1966,"1966-05",98.50275,98.68932,36.73307
"222",6,"06",1966,"1966-06",98.06551,98.30658,36.6843
"223",7,"07",1966,"1966-07",97.56744,97.87057,36.61208
"224",8,"08",1966,"1966-08",97.03077,97.40078,36.52464
"225",9,"09",1966,"1966-09",96.48853,96.92612,36.43442
"226",10,"10",1966,"1966-10",95.97869,96.4798,36.35587
"227",11,"11",1966,"1966-11",95.5722,96.12396,36.31614
"228",12,"12",1966,"1966-12",95.32454,95.90717,36.33686
"229",1,"01",1967,"1967-01",95.263,95.85329,36.42914
"230",2,"02",1967,"1967-02",95.37317,95.94974,36.5882
"231",3,"03",1967,"1967-03",95.6185,96.1645,36.8007
"232",4,"04",1967,"1967-04",95.96857,96.47094,37.05551
"233",5,"05",1967,"1967-05",96.40356,96.85173,37.34541
"234",6,"06",1967,"1967-06",96.90293,97.28887,37.66283
"235",7,"07",1967,"1967-07",97.43734,97.75668,37.99666
"236",8,"08",1967,"1967-08",97.98254,98.23394,38.3376
"237",9,"09",1967,"1967-09",98.49936,98.68636,38.6704
"238",10,"10",1967,"1967-10",98.95326,99.0837,38.98137
"239",11,"11",1967,"1967-11",99.32813,99.41186,39.26394
"240",12,"12",1967,"1967-12",99.61989,99.66725,39.5162
"241",1,"01",1968,"1968-01",99.85027,99.86893,39.74649
"242",2,"02",1968,"1968-02",100.0705,100.0617,39.975
"243",3,"03",1968,"1968-03",100.309,100.2705,40.21311
"244",4,"04",1968,"1968-04",100.5812,100.5088,40.46709
"245",5,"05",1968,"1968-05",100.8771,100.7678,40.73304
"246",6,"06",1968,"1968-06",101.1849,101.0372,41.00625
"247",7,"07",1968,"1968-07",101.4982,101.3115,41.28419
"248",8,"08",1968,"1968-08",101.7814,101.5594,41.55222
"249",9,"09",1968,"1968-09",102.0168,101.7655,41.80301
"250",10,"10",1968,"1968-10",102.2057,101.9309,42.03674
"251",11,"11",1968,"1968-11",102.3648,102.0701,42.26006
"252",12,"12",1968,"1968-12",102.5016,102.1899,42.47586
"253",1,"01",1969,"1969-01",102.6169,102.2908,42.68434
"254",2,"02",1969,"1969-02",102.7847,102.4377,42.91615
"255",3,"03",1969,"1969-03",102.934,102.5684,43.14172
"256",4,"04",1969,"1969-04",103.0499,102.6698,43.35461
"257",5,"05",1969,"1969-05",103.0963,102.7105,43.53933
"258",6,"06",1969,"1969-06",103.0406,102.6617,43.68164
"259",7,"07",1969,"1969-07",102.8686,102.5111,43.77487
"260",8,"08",1969,"1969-08",102.5965,102.2729,43.82534
"261",9,"09",1969,"1969-09",102.252,101.9714,43.84433
"262",10,"10",1969,"1969-10",101.8616,101.6296,43.84274
"263",11,"11",1969,"1969-11",101.4505,101.2697,43.83122
"264",12,"12",1969,"1969-12",101.0425,100.9126,43.8199
"265",1,"01",1970,"1970-01",100.6869,100.6013,43.8301
"266",2,"02",1970,"1970-02",100.419,100.3668,43.87754
"267",3,"03",1970,"1970-03",100.2213,100.1938,43.95481
"268",4,"04",1970,"1970-04",100.0784,100.0686,44.0554
"269",5,"05",1970,"1970-05",99.98089,99.98327,44.17537
"270",6,"06",1970,"1970-06",99.90873,99.9201,44.30595
"271",7,"07",1970,"1970-07",99.85471,99.87281,44.44398
"272",8,"08",1970,"1970-08",99.80503,99.82933,44.58333
"273",9,"09",1970,"1970-09",99.73708,99.76984,44.71379
"274",10,"10",1970,"1970-10",99.65655,99.69935,44.83778
"275",11,"11",1970,"1970-11",99.57819,99.63074,44.96185
"276",12,"12",1970,"1970-12",99.50269,99.56466,45.08629
"277",1,"01",1971,"1971-01",99.41309,99.48622,45.20334
"278",2,"02",1971,"1971-02",99.29593,99.38366,45.30677
"279",3,"03",1971,"1971-03",99.14075,99.24783,45.39164
"280",4,"04",1971,"1971-04",98.93716,99.0696,45.45294
"281",5,"05",1971,"1971-05",98.69816,98.86039,45.49641
"282",6,"06",1971,"1971-06",98.42857,98.6244,45.52407
"283",7,"07",1971,"1971-07",98.1399,98.3717,45.5411
"284",8,"08",1971,"1971-08",97.8596,98.12633,45.56015
"285",9,"09",1971,"1971-09",97.65981,97.95143,45.61493
"286",10,"10",1971,"1971-10",97.59822,97.89751,45.7328
"287",11,"11",1971,"1971-11",97.70601,97.99187,45.92902
"288",12,"12",1971,"1971-12",97.97018,98.22313,46.19817
"289",1,"01",1972,"1972-01",98.34901,98.55474,46.52117
"290",2,"02",1972,"1972-02",98.79495,98.94512,46.87593
"291",3,"03",1972,"1972-03",99.26651,99.35791,47.24291
"292",4,"04",1972,"1972-04",99.73342,99.76664,47.60774
"293",5,"05",1972,"1972-05",100.1765,100.1545,47.96113
"294",6,"06",1972,"1972-06",100.5964,100.522,48.30326
"295",7,"07",1972,"1972-07",100.9877,100.8646,48.63136
"296",8,"08",1972,"1972-08",101.3511,101.1827,48.9455
"297",9,"09",1972,"1972-09",101.6784,101.4693,49.24164
"298",10,"10",1972,"1972-10",101.9668,101.7217,49.51812
"299",11,"11",1972,"1972-11",102.2109,101.9354,49.77221
"300",12,"12",1972,"1972-12",102.3794,102.0829,49.98828
"301",1,"01",1973,"1973-01",102.4234,102.1214,50.14221
"302",2,"02",1973,"1973-02",102.2986,102.0122,50.21162
"303",3,"03",1973,"1973-03",102.0225,101.7705,50.20454
"304",4,"04",1973,"1973-04",101.6388,101.4346,50.14199
"305",5,"05",1973,"1973-05",101.1782,101.0314,50.03874
"306",6,"06",1973,"1973-06",100.6751,100.591,49.91164
"307",7,"07",1973,"1973-07",100.1929,100.1689,49.7921
"308",8,"08",1973,"1973-08",99.78708,99.81361,49.70786
"309",9,"09",1973,"1973-09",99.47711,99.54227,49.66902
"310",10,"10",1973,"1973-10",99.27502,99.36536,49.68199
"311",11,"11",1973,"1973-11",99.20425,99.30341,49.75898
"312",12,"12",1973,"1973-12",99.27152,99.3623,49.90388
"313",1,"01",1974,"1974-01",99.45433,99.52232,50.10591
"314",2,"02",1974,"1974-02",99.67825,99.71835,50.32795
"315",3,"03",1974,"1974-03",99.87907,99.89414,50.53775
"316",4,"04",1974,"1974-04",99.99456,99.99524,50.70374
"317",5,"05",1974,"1974-05",99.97717,99.98001,50.80163
"318",6,"06",1974,"1974-06",99.79492,99.82048,50.81481
"319",7,"07",1974,"1974-07",99.46304,99.52995,50.75066
"320",8,"08",1974,"1974-08",98.99975,99.1244,50.61815
"321",9,"09",1974,"1974-09",98.46062,98.65245,50.44547
"322",10,"10",1974,"1974-10",97.9325,98.19013,50.27711
"323",11,"11",1974,"1974-11",97.48289,97.79655,50.14798
"324",12,"12",1974,"1974-12",97.15691,97.5112,50.08169
"325",1,"01",1975,"1975-01",96.99847,97.3725,50.10144
"326",2,"02",1975,"1975-02",97.0051,97.37831,50.2066
"327",3,"03",1975,"1975-03",97.15852,97.5126,50.38831
"328",4,"04",1975,"1975-04",97.44853,97.76648,50.64185
"329",5,"05",1975,"1975-05",97.85117,98.11895,50.95527
"330",6,"06",1975,"1975-06",98.36069,98.56498,51.32602
"331",7,"07",1975,"1975-07",98.93415,99.06697,51.73207
"332",8,"08",1975,"1975-08",99.54272,99.5997,52.15858
"333",9,"09",1975,"1975-09",100.1569,100.1374,52.59027
"334",10,"10",1975,"1975-10",100.7213,100.6314,52.99797
"335",11,"11",1975,"1975-11",101.1884,101.0403,53.35662
"336",12,"12",1975,"1975-12",101.5429,101.3506,53.65776
"337",1,"01",1976,"1976-01",101.7886,101.5657,53.90301
"338",2,"02",1976,"1976-02",101.9289,101.6886,54.0939
"339",3,"03",1976,"1976-03",101.9884,101.7406,54.24306
"340",4,"04",1976,"1976-04",102.0032,101.7536,54.36945
"341",5,"05",1976,"1976-05",101.9937,101.7453,54.48382
"342",6,"06",1976,"1976-06",101.9512,101.7081,54.58136
"343",7,"07",1976,"1976-07",101.8633,101.6311,54.65527
"344",8,"08",1976,"1976-08",101.7226,101.5079,54.70143
"345",9,"09",1976,"1976-09",101.5219,101.3322,54.71564
"346",10,"10",1976,"1976-10",101.2758,101.1168,54.70558
"347",11,"11",1976,"1976-11",101.0005,100.8758,54.67979
"348",12,"12",1976,"1976-12",100.7071,100.619,54.64407
"349",1,"01",1977,"1977-01",100.4153,100.3636,54.60906
"350",2,"02",1977,"1977-02",100.1627,100.1424,54.59517
"351",3,"03",1977,"1977-03",99.94325,99.95033,54.59917
"352",4,"04",1977,"1977-04",99.7643,99.79367,54.62516
"353",5,"05",1977,"1977-05",99.63258,99.67837,54.67691
"354",6,"06",1977,"1977-06",99.54415,99.60096,54.75237
"355",7,"07",1977,"1977-07",99.50652,99.56802,54.85575
"356",8,"08",1977,"1977-08",99.52167,99.58128,54.98829
"357",9,"09",1977,"1977-09",99.56451,99.61877,55.13621
"358",10,"10",1977,"1977-10",99.60934,99.65803,55.28528
"359",11,"11",1977,"1977-11",99.62994,99.67605,55.42083
"360",12,"12",1977,"1977-12",99.61069,99.65921,55.53398
"361",1,"01",1978,"1978-01",99.55733,99.6125,55.62771
"362",2,"02",1978,"1978-02",99.51921,99.57912,55.72943
"363",3,"03",1978,"1978-03",99.54942,99.60557,55.86893
"364",4,"04",1978,"1978-04",99.67484,99.71535,56.06148
"365",5,"05",1978,"1978-05",99.89578,99.90877,56.30751
"366",6,"06",1978,"1978-06",100.1962,100.1717,56.59821
"367",7,"07",1978,"1978-07",100.5325,100.4661,56.90908
"368",8,"08",1978,"1978-08",100.8694,100.7611,57.22018
"369",9,"09",1978,"1978-09",101.1628,101.0179,57.50628
"370",10,"10",1978,"1978-10",101.3949,101.2211,57.75699
"371",11,"11",1978,"1978-11",101.5818,101.3847,57.98122
"372",12,"12",1978,"1978-12",101.7363,101.52,58.18597
"373",1,"01",1979,"1979-01",101.8826,101.648,58.3849
"374",2,"02",1979,"1979-02",102.0396,101.7855,58.5888
"375",3,"03",1979,"1979-03",102.1854,101.913,58.78492
"376",4,"04",1979,"1979-04",102.2793,101.9952,58.94976
"377",5,"05",1979,"1979-05",102.3008,102.0141,59.07122
"378",6,"06",1979,"1979-06",102.2343,101.9559,59.13987
"379",7,"07",1979,"1979-07",102.0837,101.8241,59.15776
"380",8,"08",1979,"1979-08",101.8708,101.6377,59.13712
"381",9,"09",1979,"1979-09",101.6336,101.43,59.09987
"382",10,"10",1979,"1979-10",101.4016,101.2269,59.06315
"383",11,"11",1979,"1979-11",101.1835,101.036,59.03203
"384",12,"12",1979,"1979-12",100.9923,100.8686,59.01411
"385",1,"01",1980,"1980-01",100.8113,100.7102,58.99976
"386",2,"02",1980,"1980-02",100.5984,100.5239,58.9643
"387",3,"03",1980,"1980-03",100.3258,100.2852,58.89132
"388",4,"04",1980,"1980-04",99.99277,99.99368,58.78042
"389",5,"05",1980,"1980-05",99.63519,99.68065,58.65253
"390",6,"06",1980,"1980-06",99.308,99.39423,58.54009
"391",7,"07",1980,"1980-07",99.05762,99.17505,58.47063
"392",8,"08",1980,"1980-08",98.88749,99.02612,58.44648
"393",9,"09",1980,"1980-09",98.78535,98.93672,58.46063
"394",10,"10",1980,"1980-10",98.72369,98.88274,58.49702
"395",11,"11",1980,"1980-11",98.69047,98.85365,58.54867
"396",12,"12",1980,"1980-12",98.68649,98.85017,58.61622
"397",1,"01",1981,"1981-01",98.70005,98.86205,58.69286
"398",2,"02",1981,"1981-02",98.71819,98.87792,58.77098
"399",3,"03",1981,"1981-03",98.72826,98.88674,58.84317
"400",4,"04",1981,"1981-04",98.74448,98.90093,58.91796
"401",5,"05",1981,"1981-05",98.77084,98.92401,58.99789
"402",6,"06",1981,"1981-06",98.82407,98.97061,59.09306
"403",7,"07",1981,"1981-07",98.9069,99.04311,59.20526
"404",8,"08",1981,"1981-08",99.00075,99.12527,59.32355
"405",9,"09",1981,"1981-09",99.09463,99.20745,59.44146
"406",10,"10",1981,"1981-10",99.16902,99.27258,59.54738
"407",11,"11",1981,"1981-11",99.20257,99.30194,59.62857
"408",12,"12",1981,"1981-12",99.18867,99.28978,59.6811
"409",1,"01",1982,"1982-01",99.12176,99.23119,59.70164
"410",2,"02",1982,"1982-02",99.00784,99.13148,59.69386
"411",3,"03",1982,"1982-03",98.81851,98.96574,59.64064
"412",4,"04",1982,"1982-04",98.5515,98.732,59.5406
"413",5,"05",1982,"1982-05",98.24487,98.46358,59.41675
"414",6,"06",1982,"1982-06",97.94939,98.20492,59.29985
"415",7,"07",1982,"1982-07",97.71508,97.99981,59.22036
"416",8,"08",1982,"1982-08",97.60517,97.9036,59.21688
"417",9,"09",1982,"1982-09",97.66481,97.9558,59.31717
"418",10,"10",1982,"1982-10",97.90852,98.16914,59.53049
"419",11,"11",1982,"1982-11",98.30791,98.51877,59.84003
"420",12,"12",1982,"1982-12",98.78521,98.93659,60.19883
"421",1,"01",1983,"1983-01",99.25107,99.34439,60.55262
"422",2,"02",1983,"1983-02",99.64194,99.68655,60.86264
"423",3,"03",1983,"1983-03",99.95287,99.95874,61.12578
"424",4,"04",1983,"1983-04",100.1859,100.1628,61.3432
"425",5,"05",1983,"1983-05",100.3693,100.3233,61.53207
"426",6,"06",1983,"1983-06",100.5178,100.4533,61.7014
"427",7,"07",1983,"1983-07",100.6613,100.5788,61.8695
"428",8,"08",1983,"1983-08",100.8278,100.7247,62.05373
"429",9,"09",1983,"1983-09",101.0039,100.8788,62.24576
"430",10,"10",1983,"1983-10",101.1699,101.0241,62.43365
"431",11,"11",1983,"1983-11",101.3188,101.1545,62.61297
"432",12,"12",1983,"1983-12",101.4197,101.2428,62.76461
"433",1,"01",1984,"1984-01",101.4475,101.2671,62.87288
"434",2,"02",1984,"1984-02",101.3919,101.2185,62.93122
"435",3,"03",1984,"1984-03",101.2636,101.1061,62.94604
"436",4,"04",1984,"1984-04",101.1105,100.9721,62.94695
"437",5,"05",1984,"1984-05",100.976,100.8544,62.96102
"438",6,"06",1984,"1984-06",100.8852,100.7749,63.00393
"439",7,"07",1984,"1984-07",100.8494,100.7435,63.08277
"440",8,"08",1984,"1984-08",100.8352,100.7311,63.17693
"441",9,"09",1984,"1984-09",100.8267,100.7237,63.27638
"442",10,"10",1984,"1984-10",100.8215,100.7191,63.37967
"443",11,"11",1984,"1984-11",100.8139,100.7125,63.48322
"444",12,"12",1984,"1984-12",100.8157,100.7141,63.59447
"445",1,"01",1985,"1985-01",100.8288,100.7256,63.71462
"446",2,"02",1985,"1985-02",100.8375,100.7332,63.83378
"447",3,"03",1985,"1985-03",100.8404,100.7357,63.95106
"448",4,"04",1985,"1985-04",100.8398,100.7351,64.06786
"449",5,"05",1985,"1985-05",100.8377,100.7333,64.18558
"450",6,"06",1985,"1985-06",100.8343,100.7303,64.30424
"451",7,"07",1985,"1985-07",100.8333,100.7294,64.42625
"452",8,"08",1985,"1985-08",100.8222,100.7197,64.54359
"453",9,"09",1985,"1985-09",100.7938,100.6949,64.65169
"454",10,"10",1985,"1985-10",100.7327,100.6414,64.7405
"455",11,"11",1985,"1985-11",100.6297,100.5513,64.80405
"456",12,"12",1985,"1985-12",100.4982,100.4361,64.85078
"457",1,"01",1986,"1986-01",100.3562,100.3118,64.89236
"458",2,"02",1986,"1986-02",100.2142,100.1875,64.93553
"459",3,"03",1986,"1986-03",100.0856,100.0749,64.98895
"460",4,"04",1986,"1986-04",99.97357,99.97687,65.05487
"461",5,"05",1986,"1986-05",99.85686,99.87469,65.11945
"462",6,"06",1986,"1986-06",99.74312,99.77513,65.18774
"463",7,"07",1986,"1986-07",99.61687,99.66461,65.24962
"464",8,"08",1986,"1986-08",99.4706,99.53657,65.30016
"465",9,"09",1986,"1986-09",99.31786,99.40287,65.34819
