m,month,m3,year,ym,ym3,OIL
1,1,Jan,1948,1948-01,1948Jan,NA
2,2,Feb,1948,1948-02,1948Feb,NA
3,3,Mar,1948,1948-03,1948Mar,NA
4,4,Apr,1948,1948-04,1948Apr,NA
5,5,May,1948,1948-05,1948May,NA
6,6,Jun,1948,1948-06,1948Jun,NA
7,7,Jul,1948,1948-07,1948Jul,NA
8,8,Aug,1948,1948-08,1948Aug,NA
9,9,Sep,1948,1948-09,1948Sep,NA
10,10,Oct,1948,1948-10,1948Oct,NA
11,11,Nov,1948,1948-11,1948Nov,NA
12,12,Dec,1948,1948-12,1948Dec,NA
1,1,Jan,1949,1949-01,1949Jan,NA
2,2,Feb,1949,1949-02,1949Feb,NA
3,3,Mar,1949,1949-03,1949Mar,NA
4,4,Apr,1949,1949-04,1949Apr,NA
5,5,May,1949,1949-05,1949May,NA
6,6,Jun,1949,1949-06,1949Jun,NA
7,7,Jul,1949,1949-07,1949Jul,NA
8,8,Aug,1949,1949-08,1949Aug,NA
9,9,Sep,1949,1949-09,1949Sep,NA
10,10,Oct,1949,1949-10,1949Oct,NA
11,11,Nov,1949,1949-11,1949Nov,NA
12,12,Dec,1949,1949-12,1949Dec,NA
1,1,Jan,1950,1950-01,1950Jan,NA
2,2,Feb,1950,1950-02,1950Feb,NA
3,3,Mar,1950,1950-03,1950Mar,NA
4,4,Apr,1950,1950-04,1950Apr,NA
5,5,May,1950,1950-05,1950May,NA
6,6,Jun,1950,1950-06,1950Jun,NA
7,7,Jul,1950,1950-07,1950Jul,NA
8,8,Aug,1950,1950-08,1950Aug,NA
9,9,Sep,1950,1950-09,1950Sep,NA
10,10,Oct,1950,1950-10,1950Oct,NA
11,11,Nov,1950,1950-11,1950Nov,NA
12,12,Dec,1950,1950-12,1950Dec,NA
1,1,Jan,1951,1951-01,1951Jan,NA
2,2,Feb,1951,1951-02,1951Feb,NA
3,3,Mar,1951,1951-03,1951Mar,NA
4,4,Apr,1951,1951-04,1951Apr,NA
5,5,May,1951,1951-05,1951May,NA
6,6,Jun,1951,1951-06,1951Jun,NA
7,7,Jul,1951,1951-07,1951Jul,NA
8,8,Aug,1951,1951-08,1951Aug,NA
9,9,Sep,1951,1951-09,1951Sep,NA
10,10,Oct,1951,1951-10,1951Oct,NA
11,11,Nov,1951,1951-11,1951Nov,NA
12,12,Dec,1951,1951-12,1951Dec,NA
1,1,Jan,1952,1952-01,1952Jan,NA
2,2,Feb,1952,1952-02,1952Feb,NA
3,3,Mar,1952,1952-03,1952Mar,NA
4,4,Apr,1952,1952-04,1952Apr,NA
5,5,May,1952,1952-05,1952May,NA
6,6,Jun,1952,1952-06,1952Jun,NA
7,7,Jul,1952,1952-07,1952Jul,NA
8,8,Aug,1952,1952-08,1952Aug,NA
9,9,Sep,1952,1952-09,1952Sep,NA
10,10,Oct,1952,1952-10,1952Oct,NA
11,11,Nov,1952,1952-11,1952Nov,NA
12,12,Dec,1952,1952-12,1952Dec,NA
1,1,Jan,1953,1953-01,1953Jan,NA
2,2,Feb,1953,1953-02,1953Feb,NA
3,3,Mar,1953,1953-03,1953Mar,NA
4,4,Apr,1953,1953-04,1953Apr,NA
5,5,May,1953,1953-05,1953May,NA
6,6,Jun,1953,1953-06,1953Jun,NA
7,7,Jul,1953,1953-07,1953Jul,NA
8,8,Aug,1953,1953-08,1953Aug,NA
9,9,Sep,1953,1953-09,1953Sep,NA
10,10,Oct,1953,1953-10,1953Oct,NA
11,11,Nov,1953,1953-11,1953Nov,NA
12,12,Dec,1953,1953-12,1953Dec,NA
1,1,Jan,1954,1954-01,1954Jan,NA
2,2,Feb,1954,1954-02,1954Feb,NA
3,3,Mar,1954,1954-03,1954Mar,NA
4,4,Apr,1954,1954-04,1954Apr,NA
5,5,May,1954,1954-05,1954May,NA
6,6,Jun,1954,1954-06,1954Jun,NA
7,7,Jul,1954,1954-07,1954Jul,NA
8,8,Aug,1954,1954-08,1954Aug,NA
9,9,Sep,1954,1954-09,1954Sep,NA
10,10,Oct,1954,1954-10,1954Oct,NA
11,11,Nov,1954,1954-11,1954Nov,NA
