"",BBFB1.Q.N.DE.RU.S1.S1.T.L.FA.P.F._Z._T.M.N,BBFB1.Q.N.DE.RU.S1.S1.T.L.FA.P.F._Z._T.M.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Portfolio investment / Net / Russian Federation,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:44:32,
1991-01,-,Nothing exists
1991-04,-,Nothing exists
1991-07,-,Nothing exists
1991-10,-,Nothing exists
1992-01,-,Nothing exists
1992-04,-0.039,
1992-07,-0.821,
1992-10,2.266,
1993-01,0.619,
1993-04,1.361,
1993-07,-0.779,
1993-10,6.500,
1994-01,67.235,
1994-04,86.214,
1994-07,-106.865,
1994-10,64.391,
1995-01,41.989,
1995-04,870.708,
1995-07,-310.215,
1995-10,-189.845,
1996-01,421.176,
1996-04,127.205,
1996-07,-123.300,
1996-10,794.960,
1997-01,-643.307,
1997-04,145.311,
1997-07,84.888,
1997-10,-536.807,
1998-01,-579.678,
1998-04,451.548,
1998-07,251.497,
1998-10,-421.211,
1999-01,-416.693,
1999-04,32.530,
1999-07,-69.951,
1999-10,-120.575,
2000-01,-2.184,
2000-04,-5.226,
2000-07,-141.671,
2000-10,85.527,
2001-01,330.525,
2001-04,258.195,
2001-07,349.610,
2001-10,-141.829,
2002-01,-363.020,
2002-04,34.421,
2002-07,-89.451,
2002-10,-1000.091,
2003-01,20.995,
2003-04,140.726,
2003-07,63.758,
2003-10,-54.659,
2004-01,85.018,
2004-04,467.622,
2004-07,340.920,
2004-10,180.761,
2005-01,696.011,
2005-04,51.389,
2005-07,424.292,
2005-10,299.145,
2006-01,218.331,
2006-04,639.673,
2006-07,288.473,
2006-10,1758.586,
2007-01,346.669,
2007-04,1270.285,
2007-07,-236.210,
2007-10,3870.259,
2008-01,5388.680,
2008-04,186.056,
2008-07,1398.154,
2008-10,2104.184,
2009-01,-2460.520,
2009-04,4668.024,
2009-07,858.393,
2009-10,1529.672,
2010-01,2965.790,
2010-04,5139.768,
2010-07,2991.694,
2010-10,1225.903,
2011-01,970.458,
2011-04,2674.753,
2011-07,-87.223,
2011-10,2095.783,
2012-01,946.452,
2012-04,518.177,
2012-07,814.203,
2012-10,656.283,
2013-01,2640.068,
2013-04,1813.427,
2013-07,3296.869,
2013-10,1826.546,
2014-01,1587.656,Provisional value
2014-04,183.816,Provisional value
2014-07,3746.086,Provisional value
2014-10,-160.164,Provisional value
