"",BBEX3.M.HNL.USD.CA.AB.A01,BBEX3.M.HNL.USD.CA.AB.A01_FLAGS
"",Exchange rates for the US dollar in Honduras / USD 1 = HNL ... (selling),
unit,HNL (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:17:48,
1991-01,5.3800,
1991-02,5.3800,
1991-03,5.3800,
1991-04,5.3800,
1991-05,5.3800,
1991-06,5.3800,
1991-07,5.3800,
1991-08,5.3800,
1991-09,5.3800,
1991-10,5.3800,
1991-11,5.4800,
1991-12,5.4800,
1992-01,5.4800,
1992-02,5.4800,
1992-03,5.4800,
1992-04,5.4800,
1992-05,5.4800,
1992-06,5.4800,comment
1992-07,5.6200,
1992-08,5.6500,
1992-09,5.7600,
1992-10,5.9100,
1992-11,5.9400,
1992-12,5.9200,
1993-01,5.9300,
1993-02,5.9500,
1993-03,5.9600,
1993-04,6.0600,
1993-05,6.2100,
1993-06,6.4000,
1993-07,6.9000,
1993-08,6.9900,
1993-09,7.0100,
1993-10,7.0800,
1993-11,7.3500,
1993-12,7.3400,
1994-01,7.4000,
1994-02,7.6000,
1994-03,7.7000,comment
1994-04,8.0900,
1994-05,8.3000,
1994-06,8.7900,
1994-07,8.9037,
1994-08,9.0826,
1994-09,9.1735,
1994-10,9.2652,
1994-11,9.4515,
1994-12,9.3570,
1995-01,9.2705,
1995-02,9.1779,
1995-03,9.2696,
1995-04,9.2696,
1995-05,9.2697,
1995-06,9.4560,
1995-07,9.5505,
1995-08,9.7425,
1995-09,9.8400,
1995-10,9.9382,
1995-11,10.2911,
1995-12,10.4462,
1996-01,10.6036,
1996-02,10.9258,
1996-03,11.1459,
1996-04,11.2307,
1996-05,11.3299,
1996-06,11.7953,
1996-07,12.2928,
1996-08,12.5578,
1996-09,12.6765,
1996-10,12.7882,
1996-11,12.8432,
1996-12,13.0200,
1997-01,13.2285,
1997-02,12.9752,
1997-03,12.9359,
1997-04,13.2189,
1997-05,13.2563,
1997-06,13.2665,
1997-07,13.2744,
1997-08,13.2803,
1997-09,13.2832,
1997-10,13.2878,
1997-11,13.2925,
1997-12,13.2949,
1998-01,13.3302,
1998-02,13.3962,
1998-03,13.3593,
1998-04,13.4378,
1998-05,13.4888,
1998-06,13.5280,comment
1998-07,13.5837,
1998-08,13.6596,comment
1998-09,13.7488,
1998-10,13.8459,comment
1998-11,13.8950,
1998-12,14.0157,
1999-01,14.0759,
1999-02,14.1290,
1999-03,14.2026,
1999-04,14.2570,
1999-05,14.3454,
1999-06,14.4055,
1999-07,14.4563,
1999-08,14.5290,
1999-09,14.5844,
1999-10,14.6206,
1999-11,14.6836,
1999-12,14.7215,
2000-01,14.7717,comment
2000-02,14.8444,
2000-03,14.8849,
2000-04,14.8866,
2000-05,15.0118,
2000-06,15.0371,
2000-07,15.0967,
2000-08,15.1657,
2000-09,15.2396,
2000-10,15.0562,
2000-11,15.3388,
2000-12,15.3573,
2001-01,15.4077,
2001-02,15.4558,
2001-03,15.5115,
2001-04,15.5625,
2001-05,15.6180,
2001-06,15.6796,
2001-07,15.7357,
2001-08,15.7814,
2001-09,15.8785,
2001-10,15.9992,
2001-11,16.0888,
2001-12,16.1585,
2002-01,16.2698,
2002-02,16.3509,
2002-03,16.4341,
2002-04,16.5096,
2002-05,16.5856,
2002-06,16.6743,
2002-07,16.7478,
2002-08,16.8300,
2002-09,16.9232,
2002-10,17.0296,
2002-11,17.0931,
2002-12,17.1771,
2003-01,17.2522,
2003-02,17.3185,
2003-03,17.3194,
2003-04,17.3922,
2003-05,17.4422,
2003-06,17.5346,
2003-07,17.6111,
2003-08,17.6794,
2003-09,17.7409,
2003-10,17.8330,
2003-11,17.8876,
2003-12,17.9865,
2004-01,18.0299,
2004-02,18.0839,
2004-03,18.1565,
2004-04,18.2697,
2004-05,18.3465,
2004-06,18.4115,
2004-07,18.4860,
2004-08,18.5745,
2004-09,18.6469,
2004-10,18.7199,
